bin_left_log10,bin_right_log10,count_all,count_test,count_random,count_quantile
-0.9148066974981344,-0.8901807782002749,1,1,0,0
-0.8901807782002749,-0.8655548589024153,0,0,0,0
-0.8655548589024153,-0.8409289396045558,0,0,0,0
-0.8409289396045558,-0.8163030203066963,0,0,0,0
-0.8163030203066963,-0.7916771010088368,0,0,0,0
-0.7916771010088368,-0.7670511817109773,0,0,0,0
-0.7670511817109773,-0.7424252624131178,1,0,0,1
-0.7424252624131178,-0.7177993431152583,1,0,0,1
-0.7177993431152583,-0.6931734238173988,0,0,0,0
-0.6931734238173988,-0.6685475045195393,1,1,0,0
-0.6685475045195393,-0.6439215852216797,0,0,0,0
-0.6439215852216797,-0.6192956659238202,1,1,0,0
-0.6192956659238202,-0.5946697466259607,0,0,0,0
-0.5946697466259607,-0.5700438273281012,1,0,0,1
-0.5700438273281012,-0.5454179080302417,2,2,0,0
-0.5454179080302417,-0.5207919887323822,3,0,0,3
-0.5207919887323822,-0.4961660694345227,1,1,0,0
-0.4961660694345227,-0.47154015013666317,3,1,0,2
-0.47154015013666317,-0.44691423083880366,0,0,0,0
-0.44691423083880366,-0.42228831154094415,3,0,0,3
-0.42228831154094415,-0.39766239224308464,1,0,0,1
-0.39766239224308464,-0.37303647294522513,2,0,0,2
-0.37303647294522513,-0.3484105536473656,4,1,0,3
-0.3484105536473656,-0.3237846343495061,4,0,0,4
-0.3237846343495061,-0.2991587150516466,5,0,0,5
-0.2991587150516466,-0.2745327957537871,4,1,0,3
-0.2745327957537871,-0.24990687645592757,7,2,0,5
-0.24990687645592757,-0.22528095715806806,17,4,0,13
-0.22528095715806806,-0.20065503786020855,16,2,0,14
-0.20065503786020855,-0.17602911856234904,17,3,1,13
-0.17602911856234904,-0.15140319926448953,14,5,0,9
-0.15140319926448953,-0.12677727996663002,15,4,1,10
-0.12677727996663002,-0.10215136066877051,12,1,3,8
-0.10215136066877051,-0.077525441370911,19,3,0,16
-0.077525441370911,-0.052899522073051486,12,3,0,9
-0.052899522073051486,-0.028273602775191975,16,2,4,10
-0.028273602775191975,-0.003647683477332464,27,6,2,19
-0.003647683477332464,0.020978235820527047,33,5,6,22
0.020978235820527047,0.04560415511838656,64,10,16,38
0.04560415511838656,0.07023007441624607,56,7,21,28
0.07023007441624607,0.09485599371410558,47,13,13,21
0.09485599371410558,0.11948191301196509,50,12,12,26
0.11948191301196509,0.1441078323098246,63,14,21,28
0.1441078323098246,0.1687337516076841,55,14,16,25
0.1687337516076841,0.19335967090554362,78,11,29,38
0.19335967090554362,0.21798559020340313,104,19,43,42
0.21798559020340313,0.24261150950126265,135,19,54,62
0.24261150950126265,0.26723742879912216,142,21,54,67
0.26723742879912216,0.29186334809698167,138,30,51,57
0.29186334809698167,0.3164892673948412,140,27,50,63
0.3164892673948412,0.3411151866927007,142,29,55,58
0.3411151866927007,0.3657411059905602,172,42,62,68
0.3657411059905602,0.3903670252884197,166,39,60,67
0.3903670252884197,0.4149929445862792,227,51,80,96
0.4149929445862792,0.43961886388413873,185,33,76,76
0.43961886388413873,0.46424478318199824,204,41,80,83
0.46424478318199824,0.48887070247985775,224,43,91,90
0.48887070247985775,0.5134966217777173,282,45,126,111
0.5134966217777173,0.5381225410755768,287,57,114,116
0.5381225410755768,0.5627484603734363,331,75,144,112
0.5627484603734363,0.5873743796712958,367,74,157,136
0.5873743796712958,0.6120002989691553,338,61,159,118
0.6120002989691553,0.6366262182670148,337,64,143,130
0.6366262182670148,0.6612521375648743,359,72,162,125
0.6612521375648743,0.6858780568627338,396,79,165,152
0.6858780568627338,0.7105039761605934,411,83,171,157
0.7105039761605934,0.7351298954584529,376,74,175,127
0.7351298954584529,0.7597558147563124,332,72,137,123
0.7597558147563124,0.7843817340541719,343,66,154,123
0.7843817340541719,0.8090076533520314,322,70,147,105
0.8090076533520314,0.8336335726498909,221,47,101,73
0.8336335726498909,0.8582594919477504,141,26,62,53
0.8582594919477504,0.8828854112456099,113,26,44,43
0.8828854112456099,0.9075113305434694,59,15,18,26
0.9075113305434694,0.932137249841329,49,12,11,26
0.932137249841329,0.9567631691391885,28,5,9,14
0.9567631691391885,0.981389088437048,19,4,3,12
0.981389088437048,1.0060150077349075,6,0,1,5
1.0060150077349075,1.030640927032767,6,1,1,4
1.030640927032767,1.0552668463306265,5,1,1,3
1.0552668463306265,1.079892765628486,0,0,0,0
1.079892765628486,1.1045186849263455,0,0,0,0
1.1045186849263455,1.129144604224205,1,1,0,0
1.129144604224205,1.1537705235220646,1,0,0,1
1.1537705235220646,1.178396442819924,0,0,0,0
1.178396442819924,1.2030223621177836,0,0,0,0
1.2030223621177836,1.227648281415643,0,0,0,0
1.227648281415643,1.2522742007135026,0,0,0,0
1.2522742007135026,1.276900120011362,0,0,0,0
1.276900120011362,1.3015260393092216,0,0,0,0
1.3015260393092216,1.3261519586070811,0,0,0,0
1.3261519586070811,1.3507778779049406,0,0,0,0
1.3507778779049406,1.3754037972028001,0,0,0,0
1.3754037972028001,1.4000297165006597,0,0,0,0
1.4000297165006597,1.4246556357985192,0,0,0,0
1.4246556357985192,1.4492815550963787,0,0,0,0
1.4492815550963787,1.4739074743942382,0,0,0,0
1.4739074743942382,1.4985333936920977,0,0,0,0
1.4985333936920977,1.5231593129899572,0,0,0,0
1.5231593129899572,1.5477852322878165,1,0,0,1
