---- START at 2025-08-18 09:57:06, Target=1779/1779 ----
[53/1779] GERWEH_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2685.6s, Completed=42/1779, ETA=2025-08-21 04:15:19
[50/1779] VIWLEU_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3091.4s, Completed=43/1779, ETA=2025-08-21 04:22:53
[59/1779] CUCSAU_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2034.6s, Completed=44/1779, ETA=2025-08-21 05:39:44
[64/1779] GEDDAW_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1403.7s, Completed=45/1779, ETA=2025-08-21 04:19:52
[19/1779] PAVMAB_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=6062.2s, Completed=46/1779, ETA=2025-08-21 03:04:36
[57/1779] FEQSIF_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2698.1s, Completed=47/1779, ETA=2025-08-21 03:50:27
[33/1779] PEYVEV_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=5574.6s, Completed=48/1779, ETA=2025-08-21 04:46:42
[27/1779] XUNHAQ_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=6500.1s, Completed=49/1779, ETA=2025-08-21 03:30:19
[68/1779] MEGBEH_manual_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1717.0s, Completed=50/1779, ETA=2025-08-21 02:16:01
[55/1779] PIJJOI_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3309.5s, Completed=51/1779, ETA=2025-08-21 02:28:40
[41/1779] CANYIB_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=5151.8s, Completed=52/1779, ETA=2025-08-21 02:47:15
[65/1779] PAKFAL_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2258.7s, Completed=53/1779, ETA=2025-08-21 03:02:31
[3/1779] VIQQUJ_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=7069.1s, Completed=54/1779, ETA=2025-08-21 02:38:34
[72/1779] HOGTOM_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1474.3s, Completed=55/1779, ETA=2025-08-21 01:49:47
[60/1779] NUCPEI_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3182.2s, Completed=56/1779, ETA=2025-08-21 02:48:36
[69/1779] GEFYUN_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2567.9s, Completed=57/1779, ETA=2025-08-21 02:12:14
[71/1779] YUZRAO_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2514.0s, Completed=58/1779, ETA=2025-08-21 03:46:41
[74/1779] TOVHET_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1738.0s, Completed=59/1779, ETA=2025-08-21 03:00:18
[63/1779] PIBPIA_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3350.8s, Completed=60/1779, ETA=2025-08-21 02:22:12
[76/1779] VIXCUB_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1849.3s, Completed=61/1779, ETA=2025-08-21 02:02:37
[79/1779] cm503311x_alf300K_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1480.4s, Completed=62/1779, ETA=2025-08-21 01:33:33
[85/1779] PEWLUA_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1143.4s, Completed=63/1779, ETA=2025-08-21 02:41:13
[62/1779] ACUJOZ_manual_O2_293.0K_5.0bar_14.0 Done. TimeForThis=4040.8s, Completed=64/1779, ETA=2025-08-21 02:42:49
[86/1779] IYOCIK_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1079.5s, Completed=65/1779, ETA=2025-08-21 02:02:11
[78/1779] FUTYOK_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2066.6s, Completed=66/1779, ETA=2025-08-21 02:01:35
[58/1779] COQLAX_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=4962.2s, Completed=67/1779, ETA=2025-08-21 01:42:22
[56/1779] CUNWEO_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=5284.9s, Completed=68/1779, ETA=2025-08-21 01:32:24
[46/1779] WEDQED_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=6200.7s, Completed=69/1779, ETA=2025-08-21 00:38:44
[91/1779] PATNAB_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=861.2s, Completed=70/1779, ETA=2025-08-20 23:52:57
[81/1779] TOWLIC_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2140.7s, Completed=71/1779, ETA=2025-08-20 23:12:03
[70/1779] OZUKUR_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3919.8s, Completed=72/1779, ETA=2025-08-20 23:43:57
[82/1779] NEVVAM01_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2235.0s, Completed=73/1779, ETA=2025-08-20 23:15:57
[93/1779] FENROG_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1490.9s, Completed=74/1779, ETA=2025-08-21 03:01:14
[51/1779] LUWMOH_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=6995.8s, Completed=75/1779, ETA=2025-08-21 02:26:37
