run,R2,MAE,RMSE,MAPE_percent,n_train,n_test,quant_seed,rand_seed,N_bins,gamma,shift
1,0.9374309632051595,0.2783338990898357,0.20575628367549156,7.385037112748612,6212.0,1554.0,1001.0,2001.0,10,0.5,0.0
2,0.9376837684646719,0.2778757992632954,0.20492494163547512,7.381378144240129,6212.0,1554.0,1002.0,2002.0,10,0.5,0.0
3,0.9375225898977704,0.2775154216807502,0.20545497221661607,7.355648623536651,6212.0,1554.0,1003.0,2003.0,10,0.5,0.0
4,0.9374740020824838,0.27812393741082175,0.2056147516988872,7.3718888676384235,6212.0,1554.0,1004.0,2004.0,10,0.5,0.0
5,0.9374055637362013,0.27826126545313357,0.20583980901978138,7.378609759438061,6212.0,1554.0,1005.0,2005.0,10,0.5,0.0
mean,0.9375033774772573,0.27802206457956735,0.20551815164925027,7.374512501520376,6212.0,1554.0,,,10,0.5,0.0
