---- START at 2025-08-08 15:20:13, Target=8268/8268 ----
[23/8268] QUSSAA_clean_argon_273.0K_0.01bar_14.0 FAILED: Command '/home/yongsang/PSID_SIMULATION_TOOLS/RASPA/bin/simulate simulation.input' died with <Signals.SIGINT: 2>.
[3/8268] FITHIA_clean_argon_273.0K_0.01bar_14.0 FAILED: Command '/home/yongsang/PSID_SIMULATION_TOOLS/RASPA/bin/simulate simulation.input' died with <Signals.SIGINT: 2>.

---- RESTART at 2025-08-08 15:20:18, Remain=8268/8268 ----
[22/8268] LUDCUK_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=199.4s, Completed=39/8268, ETA=2025-08-09 03:04:54
[37/8268] ja102862j_si_005_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=148.3s, Completed=40/8268, ETA=2025-08-09 02:55:10
[54/8268] OVUCOY_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=77.6s, Completed=41/8268, ETA=2025-08-09 02:56:06
[58/8268] CURBOH_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=60.7s, Completed=42/8268, ETA=2025-08-09 02:40:54
[50/8268] PENNAZ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=94.0s, Completed=43/8268, ETA=2025-08-09 02:33:27
[23/8268] QUSSAA_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=212.6s, Completed=44/8268, ETA=2025-08-09 02:26:04
[60/8268] cm501138g_si_005_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=68.2s, Completed=45/8268, ETA=2025-08-09 02:36:21
[51/8268] GAJYUN_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=106.2s, Completed=46/8268, ETA=2025-08-09 02:33:14
[57/8268] SEFWEH_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=82.9s, Completed=47/8268, ETA=2025-08-09 02:30:29
[65/8268] NIGGAM_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=53.6s, Completed=48/8268, ETA=2025-08-09 02:18:44
[41/8268] GEZYUH_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=171.8s, Completed=49/8268, ETA=2025-08-09 02:28:48
[59/8268] KINDOC_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=93.9s, Completed=50/8268, ETA=2025-08-09 02:34:44
[35/8268] HAWZEM_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=205.0s, Completed=51/8268, ETA=2025-08-09 02:48:44
[40/8268] IQECIS_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=195.1s, Completed=52/8268, ETA=2025-08-09 02:50:29
[56/8268] GALCAZ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=121.3s, Completed=53/8268, ETA=2025-08-09 02:43:13
[73/8268] FARFOU_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=58.9s, Completed=54/8268, ETA=2025-08-09 02:46:37
[64/8268] FAKMAH_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=94.3s, Completed=55/8268, ETA=2025-08-09 02:34:12
[55/8268] HUDWUA_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=137.8s, Completed=56/8268, ETA=2025-08-09 02:24:11
[66/8268] VAGTAA01_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=87.2s, Completed=57/8268, ETA=2025-08-09 02:19:59
[47/8268] FECKAA_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=172.8s, Completed=58/8268, ETA=2025-08-09 02:11:00
[69/8268] YAYPOF_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=79.8s, Completed=59/8268, ETA=2025-08-09 02:12:31
[34/8268] CAVMIX_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=249.0s, Completed=60/8268, ETA=2025-08-09 02:33:20
[83/8268] EPOTAF_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=34.7s, Completed=61/8268, ETA=2025-08-09 02:32:07
[70/8268] DEYLUQ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=99.8s, Completed=62/8268, ETA=2025-08-09 02:30:23
[68/8268] RATSAI_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=103.2s, Completed=63/8268, ETA=2025-08-09 02:21:21
[78/8268] YUBFOR_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=76.9s, Completed=64/8268, ETA=2025-08-09 02:19:36
[52/8268] XALCUJ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=190.0s, Completed=65/8268, ETA=2025-08-09 02:14:18
[63/8268] EBIJAC_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=147.2s, Completed=66/8268, ETA=2025-08-09 02:11:24
[76/8268] RORRIB_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=93.6s, Completed=67/8268, ETA=2025-08-09 02:14:44
[89/8268] TAZYAV_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=44.9s, Completed=68/8268, ETA=2025-08-09 02:17:07
[79/8268] GOGWAB_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=90.5s, Completed=69/8268, ETA=2025-08-09 02:15:52
[80/8268] IWOSAP_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=92.6s, Completed=70/8268, ETA=2025-08-09 02:24:25
[87/8268] RUYVIS_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=75.4s, Completed=71/8268, ETA=2025-08-09 02:36:18
[93/8268] ATIXAE_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=58.5s, Completed=72/8268, ETA=2025-08-09 02:50:46
[77/8268] OJIWIO_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=140.1s, Completed=73/8268, ETA=2025-08-09 02:56:16
[97/8268] CUGYOU_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=56.7s, Completed=74/8268, ETA=2025-08-09 02:58:28
[67/8268] IGIZEF_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=185.0s, Completed=75/8268, ETA=2025-08-09 02:52:02
[16/8268] TONKIR_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=378.4s, Completed=76/8268, ETA=2025-08-09 02:46:22
[94/8268] YENLUA_ion_b_argon_273.0K_0.01bar_14.0 Done. TimeForThis=84.6s, Completed=77/8268, ETA=2025-08-09 02:59:42
[84/8268] ORIVUI_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=137.4s, Completed=78/8268, ETA=2025-08-09 03:18:07
[45/8268] ja5109535_si_002_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=316.4s, Completed=79/8268, ETA=2025-08-09 03:24:41
