GAS,TEMP,MODEL,SAMPLING,LOW,R2_MEAN_HIGH_1,R2_MEAN_HIGH_5,R2_MEAN_HIGH_15,R2_STD_HIGH_1,R2_STD_HIGH_5,R2_STD_HIGH_15,MAE_MEAN_HIGH_1,MAE_MEAN_HIGH_5,MAE_MEAN_HIGH_15,MAE_STD_HIGH_1,MAE_STD_HIGH_5,MAE_STD_HIGH_15,INPUT_HIGH_1,INPUT_HIGH_5,INPUT_HIGH_15
Ar,273,cat,random_struct,0.01,0.9599358588118386,0.9399824598420452,0.9452734382047816,0.0159788062541914,0.0087791570553758,0.0067119909745561,0.0309274582853368,0.1357297724427972,0.275067206232589,0.0026859918076119,0.0067822900353476,0.010046492930475,struct+input,struct+input,struct+input
Ar,273,cat,random_struct,0.05,0.9712590834676522,0.9416947450159132,0.9468928551616572,0.0083553790533066,0.0084638569688456,0.0069807987001549,0.0273272914917185,0.131747354736867,0.2699240464755423,0.0022679137637818,0.0060348313755403,0.011103473181986,struct+input,struct+input,struct+input
Ar,273,cat,random_struct,0.1,0.9735300799007216,0.9437675564512016,0.94726612928817,0.0091964872400357,0.0083306810222692,0.0063658170456599,0.0260853123380765,0.1295427123255576,0.2683522772767561,0.0022302281027511,0.0064101320643562,0.0093043466801713,struct+input,struct+input,struct+input
Ar,273,cat,random_struct,0.5,0.985716600880701,0.955004409774446,0.9532347290878064,0.0084276891916089,0.007215743176889,0.0064520980821934,0.0164250683203645,0.1153149264220972,0.2533417623357694,0.0009959731660658,0.0058863097439724,0.0105678543494682,struct+input,struct+input,struct+input
Ar,273,gbm,random_struct,0.01,0.9587264095996516,0.935277830570256,0.9439160283291368,0.0143567233334622,0.007382983551532,0.0055310369804869,0.0305746796684415,0.1404722096503912,0.2803979358722814,0.0027119875876175,0.0067529804770666,0.0108206783522476,struct+input,struct+input,struct+input
Ar,273,gbm,random_struct,0.05,0.9689602257924772,0.9359534621761296,0.94501938310768,0.0083877060933898,0.0082769208024453,0.0049385402943975,0.0270115039098301,0.1371662984217165,0.2763227881264862,0.0023149814101642,0.0076170891979416,0.0097485971838212,struct+input,struct+input,struct+input
Ar,273,gbm,random_struct,0.1,0.9731353961315384,0.9379783002724148,0.944810489869644,0.0091084426151612,0.0075839745119821,0.00584172891197,0.0251356871338932,0.1345076609973259,0.2749525448630958,0.00208785483337,0.006248902413262,0.0110264797249191,struct+input,struct+input,struct+input
Ar,273,gbm,random_struct,0.5,0.992884880984146,0.9512020441739956,0.951269098214846,0.0030772742797864,0.0066070006063454,0.0058895882097493,0.0141017442059467,0.1189080828047585,0.2600629475987794,0.0008194299277689,0.0064198806546309,0.009974857109465,struct+input,struct+input,struct+input
Ar,273,rf,random_struct,0.01,0.9603524771112448,0.9330618648958662,0.940576317322616,0.010535766761737,0.0067931416317755,0.0056398016249524,0.0304959319762468,0.1362074552058764,0.2732436683362155,0.0021740048757205,0.0072969660485894,0.0124243438653236,struct+input,struct+input,struct+input
Ar,273,rf,random_struct,0.05,0.9669240323125076,0.9351511456844224,0.941726031325868,0.0094734977463921,0.006678058065605,0.0060037936551958,0.0277239446075866,0.1328453795367998,0.2698891601203471,0.0020816260572138,0.0074889412240074,0.0125249174190821,struct+input,struct+input,struct+input
