,fold1,fold2,fold3,fold4,fold5,mean_importance
ASA_m2_g,0.2641076287739936,0.3049512104220171,0.43221240584847775,0.32196570657457946,0.2399171403290371,0.31263081838962103
AV_cm3_g,0.3236782225256419,0.2937748346263734,0.13441507073400327,0.2474844642137039,0.33432454568283554,0.2667354275565116
cm3_g,0.08427725596377747,0.08443996413666989,0.09927684691703267,0.09979930526190538,0.09394987053481543,0.09234864856284017
AV_VF,0.0705587609398787,0.0742359372659314,0.07384500277405762,0.07168338196614767,0.07027088605873084,0.07211879380094924
PLD,0.06329448720507269,0.06818942353999145,0.06701214464907092,0.06403881753034539,0.06734998324717639,0.06597697123433137
ASA_m2_cm3,0.05522210352563048,0.05384585653808613,0.05163111643737824,0.055993497410914854,0.05533300795627244,0.054405116373656436
LCD,0.044940502138506706,0.04490737813033444,0.044766467247645526,0.045665125074609784,0.04395470109487572,0.04484683473719444
LFPD,0.04032910277769326,0.03955302632725248,0.04260322589660356,0.040283169822606366,0.044349959412684395,0.041423696847368005
NASA_m2_g,0.020731818110350297,0.010072134572051498,0.021564757153991674,0.017482323349293172,0.018279649480822294,0.017626136533301785
NASA_m2_cm3,0.01565358746786938,0.00853366810800308,0.015500032339866283,0.01852007734340796,0.01498831462204173,0.014639135976237685
Has_OMS,0.01273878558192214,0.012880945907334818,0.013580970858929373,0.01374623941561435,0.012882415805358755,0.013165871513831886
NAV_cm3_g,0.004467744989663562,0.004615620425954465,0.0035919591429430728,0.0033378920368717035,0.004399525775349456,0.004082548474156452
