---- START at 2025-08-16 12:11:23, Target=2039/2039 ----
[47/2039] LAQZOV_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=264.7s, Completed=43/2039, ETA=2025-08-16 19:56:38
[3/2039] GEGBEB_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=593.8s, Completed=44/2039, ETA=2025-08-16 19:50:02
[52/2039] UGEPEB_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=188.0s, Completed=45/2039, ETA=2025-08-16 19:43:14
[58/2039] CAKXET_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=160.4s, Completed=46/2039, ETA=2025-08-16 19:38:42
[30/2039] OQUXIJ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=436.8s, Completed=47/2039, ETA=2025-08-16 19:30:34
[48/2039] LUQGAG_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=261.9s, Completed=48/2039, ETA=2025-08-16 19:32:47
[54/2039] JOQZUM_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=237.4s, Completed=49/2039, ETA=2025-08-16 19:45:24
[59/2039] OHIHUJ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=184.9s, Completed=50/2039, ETA=2025-08-16 19:41:38
[60/2039] ja5b02777_si_008_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=169.7s, Completed=51/2039, ETA=2025-08-16 19:35:26
[71/2039] DIBXAO_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=70.5s, Completed=52/2039, ETA=2025-08-16 19:33:08
[65/2039] UVEWIC01_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=116.0s, Completed=53/2039, ETA=2025-08-16 19:26:20
[53/2039] NEVJOP_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=262.0s, Completed=54/2039, ETA=2025-08-16 19:18:25
[44/2039] ASECUY_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=381.3s, Completed=55/2039, ETA=2025-08-16 19:12:10
[67/2039] LATCIS_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=97.1s, Completed=56/2039, ETA=2025-08-16 19:05:44
[57/2039] UMABIV_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=257.3s, Completed=57/2039, ETA=2025-08-16 19:00:41
[55/2039] JOJLOK_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=270.0s, Completed=58/2039, ETA=2025-08-16 18:58:16
[56/2039] TASWER_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=272.9s, Completed=59/2039, ETA=2025-08-16 18:53:54
[68/2039] QISNEN_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=117.1s, Completed=60/2039, ETA=2025-08-16 18:51:08
[61/2039] IXOFEH_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=216.5s, Completed=61/2039, ETA=2025-08-16 18:51:01
[50/2039] LITCUO_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=398.8s, Completed=62/2039, ETA=2025-08-16 19:14:48
[28/2039] JADMIN_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=610.0s, Completed=63/2039, ETA=2025-08-16 19:08:33
[70/2039] WUPZUE_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=179.9s, Completed=64/2039, ETA=2025-08-16 19:04:36
[74/2039] LAVZOA_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=137.4s, Completed=65/2039, ETA=2025-08-16 19:05:29
[72/2039] NAYGUR_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=200.2s, Completed=66/2039, ETA=2025-08-16 19:07:14
[73/2039] UZIGOB_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=201.8s, Completed=67/2039, ETA=2025-08-16 19:09:56
[76/2039] YOZSAJ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=160.3s, Completed=68/2039, ETA=2025-08-16 19:04:31
[66/2039] TARWAK_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=267.5s, Completed=69/2039, ETA=2025-08-16 19:07:27
[51/2039] WIRMOB_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=446.5s, Completed=70/2039, ETA=2025-08-16 19:01:41
[75/2039] TAFBEJ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=185.9s, Completed=71/2039, ETA=2025-08-16 18:57:26
[80/2039] MIZPUI_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=177.6s, Completed=72/2039, ETA=2025-08-16 18:56:39
[62/2039] FAJYAS_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=374.6s, Completed=73/2039, ETA=2025-08-16 19:00:37
[84/2039] KIXKOS_ion_b_helium_313.0K_5.0bar_14.0 Done. TimeForThis=191.2s, Completed=74/2039, ETA=2025-08-16 19:00:05
[64/2039] QUXQUX_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=367.8s, Completed=75/2039, ETA=2025-08-16 19:03:47
[46/2039] acs.inorgchem.5b02378_ic5b02378_si_002_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=601.5s, Completed=76/2039, ETA=2025-08-16 18:59:47
[82/2039] MOTVOI_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=233.2s, Completed=77/2039, ETA=2025-08-16 18:57:16
[78/2039] MEJQID_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=246.2s, Completed=78/2039, ETA=2025-08-16 18:54:10
[79/2039] KEJBOQ_clean_h_helium_313.0K_5.0bar_14.0 Done. TimeForThis=246.5s, Completed=79/2039, ETA=2025-08-16 18:49:19
[77/2039] KEFWAV_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=259.4s, Completed=80/2039, ETA=2025-08-16 18:48:42
[89/2039] MIDRAT_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=165.6s, Completed=81/2039, ETA=2025-08-16 18:47:20
[92/2039] FEFDAX_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=138.0s, Completed=82/2039, ETA=2025-08-16 18:50:34
[86/2039] VOHQIS_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=250.2s, Completed=83/2039, ETA=2025-08-16 18:47:31
[85/2039] YIBMON01_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=262.8s, Completed=84/2039, ETA=2025-08-16 18:43:13
[90/2039] VIFBOD_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=198.3s, Completed=85/2039, ETA=2025-08-16 18:47:20
[91/2039] NUFBEX_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=190.2s, Completed=86/2039, ETA=2025-08-16 18:45:40
[69/2039] INIGET_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=423.9s, Completed=87/2039, ETA=2025-08-16 18:48:56
[87/2039] TUPDOZ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=250.8s, Completed=88/2039, ETA=2025-08-16 18:46:34
[93/2039] GARLAP_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=238.0s, Completed=89/2039, ETA=2025-08-16 18:57:55
[105/2039] REXCUU_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=149.0s, Completed=90/2039, ETA=2025-08-16 19:00:50
[63/2039] UKAJOH_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=573.1s, Completed=91/2039, ETA=2025-08-16 19:01:40
[81/2039] FERVUV_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=418.3s, Completed=92/2039, ETA=2025-08-16 18:58:06
[96/2039] QOHTUD_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=256.4s, Completed=93/2039, ETA=2025-08-16 18:55:04
[97/2039] NADZID_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=255.6s, Completed=94/2039, ETA=2025-08-16 18:54:12
[111/2039] CUGLIB_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=134.0s, Completed=95/2039, ETA=2025-08-16 18:56:16
[102/2039] QAGDIO_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=215.7s, Completed=96/2039, ETA=2025-08-16 18:53:17
[109/2039] DAPXEZ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=179.5s, Completed=97/2039, ETA=2025-08-16 18:53:35
[107/2039] KEXKAB_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=197.6s, Completed=98/2039, ETA=2025-08-16 18:53:55
[94/2039] LADWAR_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=317.7s, Completed=99/2039, ETA=2025-08-16 18:50:25
[99/2039] YILJAG_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=279.1s, Completed=100/2039, ETA=2025-08-16 18:48:40
[98/2039] JIWKUW_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=296.5s, Completed=101/2039, ETA=2025-08-16 18:46:56
[106/2039] OCIMEV_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=245.7s, Completed=102/2039, ETA=2025-08-16 18:47:41
[103/2039] GALJAG_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=277.5s, Completed=103/2039, ETA=2025-08-16 18:47:58
[113/2039] NAVFUM_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=182.1s, Completed=104/2039, ETA=2025-08-16 18:45:16
