MOF,Total time (s)
1499489-acs.cgd.6b01265_1499490_clean,418.3
ACOCOM_clean,1025.6
ACOCUS_clean,1117.9
ACODAZ_clean,1071.3
acs.cgd.5b01554_VAGNUP1452791_clean,297.0
acs.chemmater.5b03723_cm5b03723_si_004_clean,456.8
acs.chemmater.5b03723_cm5b03723_si_005_clean,295.2
acscombsci.5b00188_34903_clean,532.8
acscombsci.5b00188_5013797_clean,219.0
acs.inorgchem.5b02316_ic5b02316_si_002_clean,2681.4
acs.inorgchem.5b02378_ic5b02378_si_002_clean,2540.8
acs.inorgchem.6b00136_ic6b00136_si_002_clean,530.4
acs.inorgchem.6b00276_ic6b00276_si_006_clean,3386.8
acs.inorgchem.6b01211_ic6b01211_si_002_clean,253.8
acs.inorgchem.6b01416_ic6b01416_si_004_clean,300.1
acs.inorgchem.6b01762_ic6b01762_si_002_clean,264.3
acs.jpcc.6b04690_jp6b04690_si_005_clean,797.9
ADOBIF_clean,196.7
AFEKAX_clean,216.6
AGUBUA_clean,238.7
AHIYOH_clean,521.0
AHUFIU_clean,268.6
AKOXIJ_clean,1261.1
am301365h_si_002_clean,286.0
AMIZIG_clean,343.8
ANOMOG_clean,203.7
APEBII_clean,642.5
APEBOO_clean,1379.6
AQEGUY_clean,302.1
AQERUL_clean,6061.0
AQIXUU_clean,364.2
AQOLOJ_clean,295.9
AQOTIK_clean,143.3
ASANAL_clean,331.6
ASEKAM_clean,280.6
ASEXED_clean,817.1
ASIVEF_clean,246.3
ATEJOA_clean,1065.2
ATEZEG_clean,216.7
ATEZIK_clean,216.7
ATUZEW_clean,276.1
AVETAY_clean,148.8
AWEJES_clean,399.1
AWEWOP_clean,402.9
AWUPOZ_clean,160.4
AXIGAR_clean,209.3
AXINAX_clean,277.0
BABREE_clean,471.0
BADXAI_clean,767.2
BAKYIY_clean,219.6
BEGDEY_clean,578.0
BERQIA_clean,718.0
BETDOV_clean,268.9
BETFOX_clean,274.7
BEWCUD_clean,151.1
BEWVEG_clean,248.3
BEXTUV_clean,288.2
BEXVAD01_clean,259.8
BEXVAD_clean,261.7
BEXVIL_clean,157.5
BICDAU_clean,151.1
BIHBEB_clean,244.5
BIJFAD_clean,313.6
BINMIW_clean,426.5
BIPBAF_clean,236.7
BIRGIU_clean,312.3
BIWSOQ_clean,326.8
BOHWOM_clean,316.0
BORBEQ_clean,252.2
BOSHIC_clean,402.2
BOWSOW_clean,187.1
BUBDIL_clean,3642.3
BUCSAU_clean,385.5
BUCSIC01_clean,419.6
BUKMUQ_clean,124.8
BUPDOH_clean,309.2
BUVVIZ_clean,434.7
BUVVOF_clean,482.1
BUXTUL_clean,633.8
c4dt02048k_c4dt02048k2_clean,316.9
c4ra13058h_c4ra13058h2_clean,672.1
c5cc09935h_c5cc09935h2_clean,279.6
c5ce00923e_c5ce00923e2_clean,527.5
c5ce00931f_c5ce00931f2_clean,265.5
c5ce01790d_c5ce01790d1_clean,515.9
c5ce02503f_c5ce02503f2_clean,6526.9
c5dt01100k_c5dt01100k2_clean,353.6
c5dt02651b_c5dt02651b2_clean,341.0
c5dt03038b_c5dt03038b2_clean,201.4
c5dt03710g_c5dt03710g2_clean,197.2
c5dt04943a_c5dt04943a2_clean,217.0
c5dt05023e_c5dt05023e2_clean,375.1
c5nj02236c_c5nj02236c2_clean,378.5
c5nj03044g_c5nj03044g2_clean,537.5
c5qi00128e_c5qi00128e2_clean,439.5
c5sc00614g_c5sc00614g2_clean,1208.6
c5ta03835a_c5ta03835a2_clean,372.9
c5ta05481h_c5ta05481h2_clean,1019.9
c5ta09507g_c5ta09507g2_clean,2012.4
c5ta10401g_c5ta10401g2_clean,1622.7
c6cc00589f_c6cc00589f2_clean,279.7
c6cc00589f_c6cc00589f3_clean,92.5
c6cc01597b_c6cc01597b2_clean,333.8
c6cc03787a_c6cc03787a2_clean,339.6
c6ce00465b_c6ce00465b2_clean,129.1
c6dt01288d_c6dt01288d2_clean,690.9
c6ta07145g_c6ta07145g2_clean,1017.0
CACNOM_clean,297.9
CASWIE_clean,146.6
CAVMIX_clean,521.7
CAXSUR_SL,257.4
CAYQIE_clean,196.1
CAYQOK_clean,371.8
CAYQUQ_clean,232.8
CEDFOI_clean,502.8
CEDFUO_clean,371.8
CEKNIQ_clean,395.7
CEMKOV_clean,231.2
CESFIQ_clean,339.8
CESFOW_clean,242.5
CEYYIQ_clean,260.5
cg050585esi20051105_115011_clean,332.4
cg100357q_si_002_clean,499.5
cg2007167_si_002_clean,436.8
cg3002866_si_001_clean,726.2
cg300979c_si_002_clean,400.8
cg3015354_si_002_clean,327.3
cg4012185_si_002_clean,1536.3
cg500192d_si_002_clean,401.8
cg5008236_si_002_clean,2472.5
cg501141m_si_003_clean,440.7
cg801267m_si_001_clean,366.6
cg801267m_si_002_clean,366.8
cg801267m_si_003_clean,317.3
cg801267m_si_004_clean,317.8
CILFIN_clean,184.0
CIPLIX_clean,181.2
CIQQIE_clean,732.5
cm071462f-file004_clean,187.1
CODVAU_clean,3108.1
COJMIZ_clean,432.3
COJMOF02_clean,387.4
comp2_clean,541.3
COQJID_clean,416.3
COQJOJ_clean,370.3
COQJUP_clean,388.7
COWDEZ_clean,768.4
COXDIE_clean,495.0
COYMIN_clean,641.9
CUFQUR_clean,268.8
CUGLIB_clean,175.1
CUGYIO_clean,179.9
CUGZAH_clean,174.7
CUHLUO_clean,2036.6
CUPHIG_clean,230.9
CUQRUD_clean,195.2
CURZAR_clean,518.2
CUSXIY_clean,323.3
CUSXOE_clean,598.0
CUTCAX_clean,289.9
CUTFII_clean,283.6
CUVTIX_clean,2836.9
CUVVOG_clean,400.1
CUWHUZ_clean,1511.5
CUWXAV_clean,265.3
CUXFUX_clean,625.4
DACSAE_clean,587.6
DACSEI_clean,617.9
DADXUE_clean,639.9
DAFXUG_clean,769.3
DALVEU_clean,472.6
DAMRAN_clean,226.0
DANZOJ_neutral,195.8
DAZCAK_clean,582.4
DEKPUF_clean,259.6
DEYDOA_clean,183.1
DEYLOJ_clean,324.2
DIMQIB_clean,371.1
DITPED_clean,838.2
DIWMUT_clean,427.0
DIZVAK_clean,204.5
DOFTID_clean,251.8
DOFTOJ_clean,250.0
DOGBAE_clean,590.3
DOJXOR_clean,423.1
DOLWEI_clean,619.1
DOMGAP_clean,382.7
DONXOV_clean,598.1
DOTFOJ_clean,681.4
DUDKIY_clean,272.9
DUKNEE_clean,762.4
DUNYOC_clean,513.4
DUQRUD_clean,531.2
DUSHEG_clean,2366.8
DUSHIK_clean,2371.1
DUXZIG01_clean,97.5
DUZKAM_clean,287.1
DUZKEQ_clean,229.9
EBEWUG_clean,212.4
EBEXAN_clean,201.3
EBEXIU02_clean,256.8
EBEXIV_clean,197.7
EBOXEA_clean,307.9
ECEZAO_clean,253.8
EDUSOL_clean,2200.5
EDUTUS_clean,149.8
EDUVAA_clean,275.9
EDUVEE_clean,986.1
EDUVII_clean,201.7
EDUWAB_clean,129.3
EFEGEC_clean,563.2
EFESIT_clean,1002.2
EGABAR_clean,276.1
EGEJOQ_clean,673.8
EGEJUW_clean,501.4
EHUSUX_clean,485.3
EHUTAE_clean,603.6
EJATIS_clean,1330.2
EJESUJ_clean,219.4
EKADIF_clean,1450.6
EKEKIQ_clean,256.6
EKEKOW_clean,682.5
EKEMEO_clean,775.3
ELECIJ_clean,498.1
ELEROE_clean,526.2
ELOZIQ_clean,1016.9
EMIREX_clean,414.7
ENCDBZ01_clean,189.7
ENCDBZ_clean,109.1
ENCNBZ01_clean,116.7
ENEQUL_clean,471.7
EPECOT_clean,580.9
EPUSUE_clean,332.0
EQOCOC01_clean,317.0
ERALEQ_clean,630.2
ERALIU_clean,393.4
ERAMUH_clean,1237.3
ERANES_clean,281.7
ERANOC_clean,281.1
ERAQAR_clean,192.3
ERUNUC_clean,1020.7
ESARIB_clean,2029.2
ESEBOV_clean,110.3
ETIPII_clean,437.3
ETIXAI_clean,516.9
ETIYEN_clean,636.4
EVADEK_clean,1108.6
EVADIO_clean,1420.9
EVOTIT_SL,807.9
EWETOR_clean,717.8
EYOCUS_clean,517.9
EZIMEG_clean,347.5
EZIMIK_clean,340.6
EZOBUR01_clean,2299.0
EZOFUV_clean,152.1
FAKHIK_clean,515.5
FALRIV01_clean,398.5
FALRIV_clean,410.7
FALROB_clean,406.4
FALSAO_clean,411.9
FASGIS_clean,372.2
FAVDAK_clean,331.6
FAVDEO_clean,291.2
FAVDIS_clean,308.9
FAVFOA_clean,2353.9
FAYLIC_clean,133.4
FECFAV_clean,393.2
FECJUT_clean,555.5
FECYOD_clean,789.0
FEVNEA_charged,432.3
FEVNOL_clean,7143.3
FEWWEL_clean,920.5
FEWWIP_clean,1253.4
FEWXEM_clean,624.3
FEWXIQ_clean,591.7
FEYJID_clean,355.2
FEYQUW_clean,283.5
FEYZUF_clean,401.4
FEZCIX_clean,245.4
FIDMIP_clean,456.7
FIHHOV_clean,210.0
FIHHUB_SL,398.0
FIJCUX_clean,241.7
FIJFIO_clean,271.7
FIJFOU_clean,306.4
FIPJEV_clean,380.6
FIPWUY_clean,481.1
FIQCEN_clean,177.0
FIQKIB_clean,432.2
FISGOF_clean,177.4
FISXEM_clean,366.9
FIWKUT_clean,406.1
FOCZEE_clean,406.2
FOFCIO_clean,365.5
FOFHEO_clean,319.8
FOFTOL_clean,248.9
FOPFAS_clean,2589.2
