MOF,Total time (s)
ASOVEL_clean,588.0
ASOYOY_clean,1968.1
ASUBIB_clean,899.2
ASUKEE01_clean,2336.6
ASUKEE_clean,2318.1
ASUWUI_clean,900.6
ATAFIK_clean,1350.8
ATAYAX_clean,1600.0
ATAYEB_clean,1630.6
ATEJOA_clean,2749.2
ATEYED_clean,573.7
ATEYOP_clean,2722.8
ATEYUV_clean,2863.9
ATEZAC_clean,509.0
ATEZEG_clean,737.8
ATEZIK_clean,734.3
ATIBAG_clean,420.8
ATIBOU01_clean,430.6
ATIBOU02_clean,414.5
ATIBOU_clean,430.9
ATIBUA_clean,423.3
ATICAH_clean,413.7
ATICEL_clean,406.4
ATIJUJ_manual,503.8
ATIRUS_clean,698.2
ATIXAE_clean,479.3
ATIXUX_clean,3561.6
ATOGEV_clean,497.1
ATOWIQ_clean,1594.4
ATOWOW_clean,779.1
ATULIM_clean,548.3
ATUXIY_clean,3414.8
ATUZEW_clean,1725.0
AVAGIP_clean,424.9
AVAGOV_clean,441.2
AVAGUB_clean,1378.6
AVAJUE_clean,8222.2
AVAKAL_clean,201.1
AVAKEP_clean,302.4
AVAQIX01_clean,1429.3
AVAQIX_clean,1583.6
AVEHAM_clean,2374.9
AVELOD_clean,2941.3
AVELUJ_clean,2937.6
AVEMAQ_clean,2813.1
AVEQID_clean,1416.5
AVESOL_clean,2159.5
AVESUR_clean,1434.9
AVETAY_clean,647.9
AVETEC_clean,683.8
AVEVEE_clean,677.4
AVIHIY_clean,500.4
AVIHOE_clean,459.2
AVILEY_clean,1008.3
AVIMIC_clean,753.2
AVIMOI_clean,2650.6
AVIMUO_clean,1093.3
AVIPAX_clean,892.4
AVIPOL_clean,1384.8
AVITUU_clean,2088.2
AVIVAC_clean,2212.1
AVIVEG_clean,2231.7
AVIVIK_clean,2164.4
AVIVOQ_clean,2174.6
AVIVUW_clean,2189.3
AVUCEA_clean,1032.8
AVUDAX_clean,1969.3
AWAGEL_clean,1568.2
AWAGOV_clean,3069.0
AWAHEM_clean,477.0
AWAKEQ_clean,450.6
AWAREV_clean,914.8
AWARIZ_clean,919.9
AWASAU_clean,366.6
AWASEY_clean,510.4
AWASOI_clean,909.6
AWAWUR_clean,2317.4
AWEGEP_clean,1042.1
AWEJIW_clean,1134.1
AWEVIJ_clean,3719.4
AWEWOP_clean,2686.5
AWEZOS01_clean,1406.7
AWEZOS_clean,1546.0
