MOF,Total time (s)
1499489-acs.cgd.6b01265_1499490_clean,427.6
ACOCOM_clean,1025.5
ACOCUS_clean,1040.3
ACODAZ_clean,1026.8
acs.cgd.5b01554_VAGNUP1452791_clean,282.5
acs.chemmater.5b03723_cm5b03723_si_004_clean,466.7
acs.chemmater.5b03723_cm5b03723_si_005_clean,264.1
acscombsci.5b00188_34903_clean,297.2
acscombsci.5b00188_5013797_clean,203.8
acs.inorgchem.5b02316_ic5b02316_si_002_clean,1860.0
acs.inorgchem.5b02378_ic5b02378_si_002_clean,1617.8
acs.inorgchem.6b00136_ic6b00136_si_002_clean,412.3
acs.inorgchem.6b00276_ic6b00276_si_006_clean,2409.3
acs.inorgchem.6b01211_ic6b01211_si_002_clean,243.0
acs.inorgchem.6b01416_ic6b01416_si_004_clean,270.4
acs.inorgchem.6b01762_ic6b01762_si_002_clean,227.3
acs.jpcc.6b04690_jp6b04690_si_005_clean,731.6
ADOBIF_clean,193.0
AFEKAX_clean,211.6
AGUBUA_clean,164.2
AHIYOH_clean,487.4
AHUFIU_clean,246.3
AKOXIJ_clean,772.9
am301365h_si_002_clean,263.9
AMIZIG_clean,328.4
ANOMOG_clean,199.9
APEBII_clean,434.1
APEBOO_clean,851.2
AQEGUY_clean,305.5
AQERUL_clean,4237.5
AQIXUU_clean,368.3
AQOLOJ_clean,283.8
AQOTIK_clean,137.1
ASANAL_clean,334.4
ASEKAM_clean,280.0
ASEXED_clean,470.9
ASIVEF_clean,241.2
ATEJOA_clean,716.8
ATEZEG_clean,206.3
ATEZIK_clean,203.2
ATUZEW_clean,277.7
AVETAY_clean,146.2
AWEJES_clean,425.1
AWEWOP_clean,395.6
AWUPOZ_clean,151.1
AXIGAR_clean,196.1
AXINAX_clean,265.7
BABREE_clean,480.3
BADXAI_clean,701.9
BAKYIY_clean,225.7
BEGDEY_clean,377.4
BERQIA_clean,555.6
BETDOV_clean,268.6
BETFOX_clean,270.4
BEWCUD_clean,129.3
BEWVEG_clean,242.3
BEXTUV_clean,287.5
BEXVAD01_clean,258.6
BEXVAD_clean,260.0
BEXVIL_clean,152.5
BICDAU_clean,139.4
BIHBEB_clean,241.4
BIJFAD_clean,300.0
BINMIW_clean,434.5
BIPBAF_clean,234.3
BIRGIU_clean,301.5
BIWSOQ_clean,296.3
BOHWOM_clean,314.2
BORBEQ_clean,245.5
BOSHIC_clean,364.5
BOWSOW_clean,165.3
BUBDIL_clean,3006.6
BUCSAU_clean,361.4
BUCSIC01_clean,357.9
BUKMUQ_clean,117.6
BUPDOH_clean,289.8
BUVVIZ_clean,416.2
BUVVOF_clean,434.0
BUXTUL_clean,661.4
c4dt02048k_c4dt02048k2_clean,301.0
c4ra13058h_c4ra13058h2_clean,388.0
c5cc09935h_c5cc09935h2_clean,278.4
c5ce00923e_c5ce00923e2_clean,353.5
c5ce00931f_c5ce00931f2_clean,265.3
c5ce01790d_c5ce01790d1_clean,512.1
c5ce02503f_c5ce02503f2_clean,5242.1
c5dt01100k_c5dt01100k2_clean,351.9
c5dt02651b_c5dt02651b2_clean,309.6
c5dt03038b_c5dt03038b2_clean,199.8
c5dt03710g_c5dt03710g2_clean,193.1
c5dt04943a_c5dt04943a2_clean,216.8
c5dt05023e_c5dt05023e2_clean,372.3
c5nj02236c_c5nj02236c2_clean,341.6
c5nj03044g_c5nj03044g2_clean,450.9
c5qi00128e_c5qi00128e2_clean,354.8
c5sc00614g_c5sc00614g2_clean,667.4
c5ta03835a_c5ta03835a2_clean,365.4
c5ta05481h_c5ta05481h2_clean,619.9
c5ta09507g_c5ta09507g2_clean,1531.1
c5ta10401g_c5ta10401g2_clean,986.3
c6cc00589f_c6cc00589f2_clean,260.4
c6cc00589f_c6cc00589f3_clean,74.7
c6cc01597b_c6cc01597b2_clean,234.3
c6cc03787a_c6cc03787a2_clean,324.8
c6ce00465b_c6ce00465b2_clean,127.5
c6dt01288d_c6dt01288d2_clean,603.8
c6ta07145g_c6ta07145g2_clean,988.7
CACNOM_clean,295.9
CASWIE_clean,144.3
CAVMIX_clean,514.4
CAXSUR_SL,249.9
CAYQIE_clean,194.3
CAYQOK_clean,351.9
CAYQUQ_clean,233.6
CEDFOI_clean,485.4
CEDFUO_clean,363.0
CEKNIQ_clean,322.3
CEMKOV_clean,219.5
CESFIQ_clean,360.8
CESFOW_clean,240.4
CEYYIQ_clean,245.0
cg050585esi20051105_115011_clean,333.2
cg100357q_si_002_clean,492.0
cg2007167_si_002_clean,424.7
cg3002866_si_001_clean,703.6
cg300979c_si_002_clean,368.8
cg3015354_si_002_clean,324.3
cg4012185_si_002_clean,863.9
cg500192d_si_002_clean,381.1
cg5008236_si_002_clean,2529.3
cg501141m_si_003_clean,432.6
cg801267m_si_001_clean,360.0
cg801267m_si_002_clean,364.0
cg801267m_si_003_clean,314.2
cg801267m_si_004_clean,315.3
CILFIN_clean,184.9
CIPLIX_clean,182.2
CIQQIE_clean,772.7
cm071462f-file004_clean,184.3
CODVAU_clean,2553.4
COJMIZ_clean,433.9
COJMOF02_clean,384.8
comp2_clean,534.7
COQJID_clean,424.6
COQJOJ_clean,369.7
COQJUP_clean,386.5
COWDEZ_clean,645.0
COXDIE_clean,501.6
COYMIN_clean,629.2
CUFQUR_clean,229.5
CUGLIB_clean,136.5
CUGYIO_clean,137.5
CUGZAH_clean,137.9
CUHLUO_clean,1091.1
CUPHIG_clean,228.5
CUQRUD_clean,192.9
CURZAR_clean,496.7
CUSXIY_clean,290.7
CUSXOE_clean,560.7
CUTCAX_clean,291.5
CUTFII_clean,283.2
CUVTIX_clean,1601.7
CUVVOG_clean,393.5
CUWHUZ_clean,916.4
CUWXAV_clean,265.2
CUXFUX_clean,499.7
DACSAE_clean,398.4
DACSEI_clean,406.2
DADXUE_clean,519.7
DAFXUG_clean,469.5
DALVEU_clean,403.5
DAMRAN_clean,228.6
DANZOJ_neutral,191.2
DAZCAK_clean,592.7
DEKPUF_clean,260.2
DEYDOA_clean,161.8
DEYLOJ_clean,276.2
DIMQIB_clean,338.7
DITPED_clean,828.0
DIWMUT_clean,423.3
DIZVAK_clean,198.2
DOFTID_clean,249.9
DOFTOJ_clean,246.6
DOGBAE_clean,592.3
DOJXOR_clean,424.5
DOLWEI_clean,640.4
DOMGAP_clean,378.0
DONXOV_clean,358.0
DOTFOJ_clean,645.1
DUDKIY_clean,268.8
DUKNEE_clean,754.5
DUNYOC_clean,489.4
DUQRUD_clean,480.8
DUSHEG_clean,2328.6
DUSHIK_clean,2271.7
DUXZIG01_clean,86.4
DUZKAM_clean,261.9
DUZKEQ_clean,193.5
EBEWUG_clean,190.1
EBEXAN_clean,182.6
EBEXIU02_clean,239.1
EBEXIV_clean,175.2
EBOXEA_clean,278.7
ECEZAO_clean,255.5
EDUSOL_clean,1164.1
EDUTUS_clean,140.6
EDUVAA_clean,273.5
EDUVEE_clean,801.2
EDUVII_clean,184.0
EDUWAB_clean,121.1
EFEGEC_clean,373.1
EFESIT_clean,773.2
EGABAR_clean,273.4
EGEJOQ_clean,683.1
EGEJUW_clean,502.2
EHUSUX_clean,501.1
EHUTAE_clean,606.7
EJATIS_clean,1092.9
EJESUJ_clean,211.1
EKADIF_clean,1496.5
EKEKIQ_clean,225.2
EKEKOW_clean,522.5
EKEMEO_clean,564.5
ELECIJ_clean,399.9
ELEROE_clean,548.4
ELOZIQ_clean,699.5
EMIREX_clean,358.2
ENCDBZ01_clean,177.8
ENCDBZ_clean,107.6
ENCNBZ01_clean,115.7
ENEQUL_clean,481.4
EPECOT_clean,560.0
EPUSUE_clean,299.6
EQOCOC01_clean,319.5
ERALEQ_clean,385.9
ERALIU_clean,318.4
ERAMUH_clean,893.8
ERANES_clean,274.3
ERANOC_clean,287.4
ERAQAR_clean,189.5
ERUNUC_clean,1018.9
ESARIB_clean,1616.7
ESEBOV_clean,89.9
ETIPII_clean,340.5
ETIXAI_clean,499.8
ETIYEN_clean,435.1
EVADEK_clean,788.8
EVADIO_clean,908.8
EVOTIT_SL,883.4
EWETOR_clean,699.6
EYOCUS_clean,512.9
EZIMEG_clean,327.5
EZIMIK_clean,334.1
EZOBUR01_clean,1370.1
EZOFUV_clean,149.1
FAKHIK_clean,490.4
FALRIV01_clean,394.2
FALRIV_clean,421.7
FALROB_clean,399.1
FALSAO_clean,426.4
FASGIS_clean,359.2
FAVDAK_clean,337.6
FAVDEO_clean,280.1
FAVDIS_clean,305.6
FAVFOA_clean,1335.7
FAYLIC_clean,137.6
FECFAV_clean,328.6
FECJUT_clean,524.9
FECYOD_clean,558.3
FEVNEA_charged,440.7
FEVNOL_clean,5059.9
FEWWEL_clean,577.4
FEWWIP_clean,672.4
FEWXEM_clean,526.9
FEWXIQ_clean,520.8
FEYJID_clean,343.6
FEYQUW_clean,286.9
FEYZUF_clean,382.8
FEZCIX_clean,221.0
FIDMIP_clean,462.7
FIHHOV_clean,197.1
FIHHUB_SL,410.2
FIJCUX_clean,238.4
FIJFIO_clean,274.0
FIJFOU_clean,295.5
FIPJEV_clean,332.5
FIPWUY_clean,399.2
FIQCEN_clean,172.4
FIQKIB_clean,413.4
FISGOF_clean,159.6
FISXEM_clean,365.1
FIWKUT_clean,448.7
FOCZEE_clean,401.3
FOFCIO_clean,368.7
FOFHEO_clean,272.6
FOFTOL_clean,248.7
FOPFAS_clean,2544.2
FOPTOU_clean,640.3
FOQNIK_clean,237.6
FOQNOQ01_clean,220.0
FOQNOQ02_clean,220.7
FOQNOQ_clean,211.2
FOQNUW01_clean,221.7
FOQNUW02_clean,216.9
FOQNUW_clean,217.5
FOQPAE01_clean,229.7
FOQPAE02_clean,228.7
FORWAL_clean,271.3
FORXAM_clean,2025.5
FOSTOY_clean,1300.3
FUDQIF_clean,157.9
FUHJOJ_clean,462.2
FUSWIA_clean,152.6
FUTZIF_clean,287.6
FUVBOP_clean,285.8
FUVDEH01_clean,791.9
FUVDEH02_clean,787.3
FUVDEH03_clean,819.1
FUVDEH04_clean,762.2
FUVDEH05_clean,927.6
FUVDEH09_clean,794.3
FUVDEH10_clean,764.9
FUVDEH11_clean,775.4
FUVDEH13_clean,782.4
FUVDEH_clean,789.3
FUVGAG02_clean,767.3
FUWFUA_clean,353.6
FUWQIZ_clean,267.8
FUYCAE_clean,202.0
FUYCUZ_clean,815.5
GABYUG_clean,476.5
GACBIY_clean,346.8
GACYER_clean,313.8
GAFGEC_clean,361.9
GAHSEQ_clean,355.1
GALFAB_clean,378.5
GANBAZ01_clean,327.2
GANBAZ02_clean,166.8
GANBAZ_clean,302.2
GANBED02_clean,273.5
GANBED_clean,279.2
GANBIH_clean,385.7
GASTIG_clean,272.5
GATQIE_clean,382.8
GATQOK_clean,699.2
GAYFOD_clean,166.1
GEBPEK_clean,125.6
GEBSAJ_clean,3703.3
GEDPAH_clean,176.5
GESNIC_clean,316.7
GEYFIB_clean,654.6
GEZYUH_clean,420.2
GIFKIP_clean,172.5
GIJXAA_clean,251.9
GINNUO_clean,424.6
GITSUY_clean,623.0
GITVAH01_clean,826.8
GITVAH_clean,939.3
GOBTAT_clean,396.0
GOLDAO_clean,545.1
GONMUT_clean,1475.3
GONSUZ_clean,206.1
GOPLUS_clean,243.6
GOQWOY_clean,204.4
GORJEE_clean,592.7
GORWUF_clean,221.0
GUKCIA_clean,376.1
GUPBOJ03_clean,372.0
GUPCEA_clean,1268.0
GURPOZ_clean,741.7
GUZVOO_clean,303.3
HABCEV_clean,261.8
HABCIZ_clean,244.8
HABCOF_clean,248.6
HABDAS_clean,241.7
HABRUZ_clean,280.2
HACDOH_clean,488.6
HACDUN_clean,647.0
HACRAH_clean,441.7
HACREL_clean,531.9
HAFQOW_clean,250.8
HAFQUC_clean,172.9
HAMJUC_clean,571.6
HANKIS_clean,2929.8
HANKOY_clean,3182.6
HAWGIY_clean,433.8
HAXNOJ_clean,128.3
HEGKAP_clean,711.6
HEXNII_clean,244.5
HICGEG_clean,492.5
HICZIE_clean,239.5
HIDDAB_clean,237.8
HIQKID_clean,240.0
HIVSAI_clean,277.0
HIWMAD_clean,253.0
HIZSEQ_clean,199.7
HIZTUG_clean,292.0
HOGJET_clean,242.9
HOJJUN_clean,295.6
HONXAL_clean,878.9
HOQNOS_clean,302.7
HOVGEG_clean,437.4
HOZFIN_clean,223.2
HUBQEC_clean,451.1
HUCSEF_clean,432.7
HUDCEQ_clean,195.2
HUGTOT_clean,1004.6
HUHBUJ_clean,1335.8
HUNCIE_clean,209.9
HURFIL_clean,398.7
HURFOR_clean,340.8
HUVNAP_clean,959.4
HUXHUF_clean,305.8
HUYFAJ_clean,444.5
HUZYEI_clean,654.5
HUZYIM_clean,811.9
IBAPOS_clean,156.6
IBAQAF_clean,163.4
IBAQEJ_clean,163.1
IBIYUO_clean,612.3
IBURAZ_clean,245.8
ic062019u-file003_clean,448.0
ic1010083_si_002_clean,1169.6
ic200054b_si_002_clean,354.8
ic302758g_si_002_clean,685.0
ic403175w_si_002_clean,383.9
ic5005374_si_003_clean,517.1
ic502478u_si_003_clean,735.7
ic502488c_si_002_clean,438.9
ic502643m_si_011_clean,172.9
ic502643m_si_012_clean,224.2
ic5b00096_si_002_clean,1014.5
ic5b00561_si_002_clean,626.1
ic8008859_si_001_clean,768.8
ic801677y_si_001_clean,316.6
ICAREL_clean,437.1
ICIKAH_clean,1678.8
ICITIY_clean,295.8
ICIVEW_clean,166.4
IDUYOX_clean,240.8
IFEPUG01_clean,871.3
IFEPUG02_clean,764.7
IFEPUG03_clean,772.0
IFEPUG04_clean,790.2
IFEPUG05_clean,772.9
IFEPUG06_clean,795.3
IFEPUG07_clean,782.7
IFEPUG08_clean,834.6
IFEPUG09_clean,925.2
IFEPUG10_clean,901.9
IFEQER_clean,773.2
IFUPAC_clean,281.7
IGORUS_clean,173.2
IGUCEU_clean,761.8
IJAPIU_clean,296.5
IJAPOA_clean,294.3
IJENIV_clean,433.2
IJENOB_clean,518.0
IJEXUS_clean,248.7
IKOTEH_clean,446.9
ILITON_clean,233.4
ILOWAI_clean,414.0
IMACZN01_clean,289.0
IMAXOL_clean,323.3
IMULEH_clean,496.3
IMUVES_clean,1790.2
INASAT_clean,385.9
INECIP_clean,457.4
INECOV_clean,328.6
INEPEY_clean,280.4
INEXEG_clean,388.5
INIROO_clean,356.4
IPEBEM_clean,966.6
IPIVOT_clean,358.2
IREGOD_clean,360.1
IRUVUO_clean,838.0
ISEQIH_clean,249.6
IVEKEA_clean,1112.2
IVIPEK_clean,371.3
IWAHIZ_clean,434.7
IWAHUK_clean,836.6
IWEVUD_clean,273.5
IWEWAK_clean,276.0
IWEWEO_clean,252.5
IWEWIS_clean,286.3
IWEWOY_clean,411.8
IXIKOR01_clean,978.6
IXIKOR_clean,1042.3
IYALUR_clean,2199.6
IYIHUU_manual,242.9
IYITOB_clean,212.8
IYOCUW_clean,213.3
IYOVEY_clean,187.4
IYUHOB_clean,265.1
IZIHIK_clean,400.6
IZULUL_clean,435.4
IZUSEC_clean,428.1
ja0660047si20060818_060256_clean,317.7
ja0660047si20060818_060458_clean,381.2
ja0734952si20070516_030528_clean,807.3
ja078060t-file002_clean,972.8
ja101440z_si_001_clean,260.9
ja102862j_si_005_clean,359.3
ja111042f_si_002_clean,130.3
ja202154j_si_003_clean,355.3
ja206029a_si_003_clean,357.8
ja4015666_si_002_clean,183.0
ja4015666_si_003_clean,177.6
ja4015666_si_005_clean,180.7
ja403810k_si_003_clean,1904.9
ja406030p_si_010_clean,1369.0
ja410368j_si_002_clean,359.3
ja501810r_si_002_clean,156.5
ja507119n_si_002_clean,528.2
ja507971r_si_004_clean,219.8
