MOF,HENRY_AR_313_CORE,time_below_50_313_0.01,time_below_50_313_0.05,time_below_50_313_0.1,time_below_50_313_0.5,time_below_50_313_1,5bar_AR_313_CORE,15bar_AR_313_CORE
ACOLOV_clean,329.1,113.8,177.5,242.7,338.9,351.0,638.9,1793.0
ACUBAB_clean,234.2,100.6,189.7,240.5,273.7,282.1,875.7,1660.1
ACUFEK_clean,331.2,109.2,140.2,174.2,283.6,305.9,379.5,1004.0
ACUJOZ_manual,834.3,289.7,370.2,445.6,670.1,687.9,1274.4,3966.7
ACUTOI_clean,361.6,124.7,213.5,281.5,376.0,380.9,708.1,1411.2
ADARAA_clean,1498.6,528.5,671.7,785.9,1022.6,1055.4,2091.7,5446.8
ADASEF_clean,272.0,86.2,101.1,117.5,192.7,221.9,236.0,455.4
ADASIJ_clean,313.7,109.2,170.7,214.5,327.5,317.2,592.1,1797.3
ADASOP_clean,214.6,68.9,92.4,112.9,193.2,203.3,229.8,621.0
ADASUV_clean,225.0,74.0,93.2,112.1,192.8,212.0,234.3,558.3
ADATAC_clean,298.0,95.2,109.3,126.6,205.2,228.0,248.5,537.0
ADATEG_manual,543.7,162.3,207.7,246.0,398.7,390.2,482.1,1235.2
ADATIK_clean,317.4,101.0,120.4,135.8,217.6,240.8,290.1,543.1
ADATOQ_clean,657.5,248.2,402.2,514.8,682.3,663.6,1811.1,5520.1
ADATUW_clean,668.2,245.4,393.4,515.0,684.4,670.3,1806.0,5383.6
ADAVAE_clean,752.0,245.7,416.9,536.8,683.8,685.8,1858.2,5628.8
ADAVEI_clean,685.2,249.4,421.1,532.8,682.0,666.3,1913.5,5671.8
ADAXEK_clean,202.4,75.7,123.8,162.8,229.3,224.9,396.0,808.7
ADAXIO_clean,280.9,106.6,178.7,229.6,319.4,315.6,564.3,1165.6
ADIQEL_clean,239.1,119.9,229.8,262.8,286.0,343.9,1066.9,1660.0
ADOBIF_clean,203.3,61.7,91.6,117.2,193.0,196.7,249.2,589.3
ADOCEC_clean,195.2,57.8,85.3,111.6,184.9,191.5,229.4,539.2
ADODOO_clean,192.9,65.1,102.2,135.9,213.0,218.8,260.5,502.1
ADODUU_clean,193.6,66.2,103.6,137.4,214.0,217.9,266.4,508.4
ADOGEH_clean,1022.2,632.2,991.1,1046.7,1291.1,2360.8,8072.3,19023.3
ADUROI_clean,1490.6,521.1,608.4,729.8,1077.4,1118.5,1281.3,3830.6
ADUWIH_clean,389.1,149.5,238.0,316.5,434.1,423.4,1033.2,3079.2
ADUWON_clean,318.2,97.4,114.4,132.2,209.9,230.9,247.1,527.8
AFEJOK_ion_b,270.6,100.7,171.2,225.6,314.2,317.9,692.9,1669.7
AFENEE_clean,232.7,64.3,99.8,128.9,211.9,222.8,284.6,704.2
AFIPAH_clean,183.8,64.1,103.2,135.5,212.0,216.8,320.2,740.1
AFITEP_clean,206.1,80.3,141.5,184.0,238.6,237.8,528.0,1026.4
AFITUF_clean,267.6,87.8,131.2,171.1,265.7,284.2,356.5,796.7
AFIXAO_clean,451.4,168.4,251.6,342.4,471.6,479.8,844.7,2040.3
AFIXES_clean,449.7,161.2,263.5,346.2,492.4,488.0,854.0,2041.2
AFOTOF_clean,187.2,65.6,109.0,143.0,221.2,215.3,355.7,876.9
AFOTUL_clean,189.4,65.5,105.8,142.9,212.4,216.6,349.6,875.7
AFOVAT_clean,188.5,66.0,106.3,141.7,213.1,216.0,352.2,886.8
AFOVEX_clean,186.1,64.8,106.4,140.1,212.6,217.1,339.1,857.1
AFOVIB_clean,188.7,66.4,108.4,145.9,211.4,218.1,358.9,886.2
AFOVOH_clean,192.1,68.3,107.3,143.7,215.6,219.4,359.8,889.7
AFOYAW_clean,309.2,114.8,204.8,257.6,350.1,349.9,839.5,2054.7
AFOYEB_clean,253.6,69.5,100.9,131.3,237.1,245.9,258.2,411.0
AFOYIE_clean,145.0,43.4,57.1,72.0,132.0,145.7,158.3,408.5
AFOYOK_clean,292.5,98.8,157.5,210.3,321.7,331.3,542.0,1516.2
AFUKET_clean,427.8,163.6,302.8,383.1,436.6,440.9,1118.3,2525.1
AFUKIX_clean,362.9,122.1,177.3,228.7,361.9,386.7,502.3,1410.3
AFUPEX_clean,140.1,48.2,76.9,103.8,159.7,162.3,275.0,705.2
AGABIU_clean,103.8,33.2,39.0,47.9,86.8,111.9,122.9,185.7
AGARUW_clean,198.2,61.3,92.1,119.1,198.8,206.8,257.8,612.8
AGIREP_clean,493.7,215.8,394.7,496.5,553.8,556.1,2331.8,6457.6
AGOFEJ_clean,457.8,144.8,180.4,219.6,337.7,378.7,410.6,1040.2
