MOF,Total time (s)
1499489-acs.cgd.6b01265_1499490_clean,1377.6
ABAYIO_clean,4053.7
ABAYOU_clean,4185.9
ABESUX_clean,381.7
ABETAE_clean,385.9
ABETIN_clean,2595.3
ABEXEM_clean,357.1
ABEXEN_clean,502.5
ABEXOW_clean,354.8
ABEXUC_clean,347.8
ABEYAJ_clean,347.1
ABEYEN_clean,345.3
ABEYIR_clean,340.1
ABIXOZ_clean,174.2
ABIYIV_clean,515.6
ABULOB_clean,981.4
ABUWOJ_clean,405.0
ACAJIY_clean,736.1
ACAJIZ_clean,948.4
ACAJOF_clean,296.9
ACIBOE_clean,241.7
ACOCOM_clean,1693.4
ACOCUS_clean,1771.9
ACODAZ_clean,1758.0
ACODON_clean,472.4
ACOGAB_clean,440.5
ACOGEF_clean,444.0
ACOLIP_clean,672.5
ACOLOV_clean,638.9
ACUBAB_clean,875.7
ACUFEK_clean,379.5
ACUJOZ_manual,1274.4
ACUTOI_clean,708.1
ADARAA_clean,2091.7
ADASEF_clean,236.0
ADASIJ_clean,592.1
ADASOP_clean,229.8
ADASUV_clean,234.3
ADATAC_clean,248.5
ADATEG_manual,482.1
ADATIK_clean,290.1
ADATOQ_clean,1811.1
ADATUW_clean,1806.0
ADAVAE_clean,1858.2
ADAVEI_clean,1913.5
ADAXEK_clean,396.0
ADAXIO_clean,564.3
ADIQEL_clean,1066.9
ADOBIF_clean,249.2
ADOCEC_clean,229.4
ADODOO_clean,260.5
ADODUU_clean,266.4
ADOGEH_clean,8072.3
ADUROI_clean,1281.3
ADUWIH_clean,1033.2
ADUWON_clean,247.1
AFEJOK_ion_b,692.9
AFENEE_clean,284.6
AFIPAH_clean,320.2
AFITEP_clean,528.0
AFITUF_clean,356.5
AFIXAO_clean,844.7
AFIXES_clean,854.0
AFOTOF_clean,355.7
AFOTUL_clean,349.6
AFOVAT_clean,352.2
AFOVEX_clean,339.1
AFOVIB_clean,358.9
AFOVOH_clean,359.8
AFOYAW_clean,839.5
AFOYEB_clean,258.2
AFOYIE_clean,158.3
AFOYOK_clean,542.0
AFUKET_clean,1118.3
AFUKIX_clean,502.3
AFUPEX_clean,275.0
AGABIU_clean,122.9
AGARUW_clean,257.8
AGIREP_clean,2331.8
AGOFEJ_clean,410.6
AGONAM_clean,438.6
