MOF,Total time (s)
DUDKIY_clean,151.3
DUKNEE_clean,517.0
DUNYOC_clean,254.4
DUQRUD_clean,247.0
DUSHEG_clean,1873.7
DUSHIK_clean,1850.5
DUXZIG01_clean,36.8
DUZKAM_clean,134.7
DUZKEQ_clean,103.9
EBEWUG_clean,89.1
EBEXAN_clean,83.7
EBEXIU02_clean,187.1
EBEXIV_clean,81.0
EBOXEA_clean,131.8
ECEZAO_clean,131.4
EDUSOL_clean,624.9
EDUTUS_clean,72.1
EDUVAA_clean,163.8
EDUVEE_clean,630.9
EDUVII_clean,96.7
EDUWAB_clean,54.0
EFEGEC_clean,260.2
EFESIT_clean,624.0
EGABAR_clean,185.5
EGEJOQ_clean,479.3
EGEJUW_clean,287.9
EHUSUX_clean,342.1
EHUTAE_clean,451.3
EJATIS_clean,312.0
EJESUJ_clean,101.5
EKADIF_clean,1147.6
EKEKIQ_clean,98.8
EKEKOW_clean,433.1
EKEMEO_clean,444.8
ELECIJ_clean,320.0
ELEROE_clean,330.3
ELOZIQ_clean,587.4
EMIREX_clean,152.7
ENCDBZ01_clean,79.4
ENCDBZ_clean,51.7
ENCNBZ01_clean,61.9
ENEQUL_clean,274.5
EPECOT_clean,435.7
EPUSUE_clean,130.4
EQOCOC01_clean,194.0
ERALEQ_clean,320.8
ERALIU_clean,260.9
ERAMUH_clean,337.3
ERANES_clean,157.5
ERANOC_clean,171.8
ERAQAR_clean,122.6
ERUNUC_clean,700.2
ESARIB_clean,649.8
ESEBOV_clean,54.0
ETIPII_clean,287.4
ETIXAI_clean,376.1
ETIYEN_clean,374.7
EVADEK_clean,690.5
EVADIO_clean,774.1
EVOTIT_SL,595.5
EWETOR_clean,435.9
EYOCUS_clean,399.6
EZIMEG_clean,256.2
EZIMIK_clean,244.6
EZOBUR01_clean,1080.1
EZOFUV_clean,74.8
FAKHIK_clean,363.0
FALRIV01_clean,258.1
FALRIV_clean,264.7
FALROB_clean,251.8
FALSAO_clean,258.6
FASGIS_clean,229.2
FAVDAK_clean,240.9
FAVDEO_clean,170.0
FAVDIS_clean,165.8
FAVFOA_clean,1060.8
FAYLIC_clean,84.6
FECFAV_clean,146.8
FECJUT_clean,329.2
FECYOD_clean,474.3
FEVNEA_charged,255.6
FEVNOL_clean,729.0
FEWWEL_clean,484.3
FEWWIP_clean,529.6
FEWXEM_clean,326.6
FEWXIQ_clean,310.3
FEYJID_clean,179.2
FEYQUW_clean,146.1
FEYZUF_clean,238.3
FEZCIX_clean,95.6
FIDMIP_clean,248.9
FIHHOV_clean,93.4
FIHHUB_SL,211.4
FIJCUX_clean,118.3
FIJFIO_clean,146.7
FIJFOU_clean,147.1
FIPJEV_clean,267.2
FIPWUY_clean,322.8
FIQCEN_clean,81.7
FIQKIB_clean,247.8
FISGOF_clean,69.2
FISXEM_clean,240.6
FIWKUT_clean,273.2
FOCZEE_clean,206.7
FOFCIO_clean,188.9
FOFHEO_clean,218.6
FOFTOL_clean,132.8
FOPFAS_clean,1899.0
FOPTOU_clean,342.5
FOQNIK_clean,129.9
FOQNOQ01_clean,114.3
FOQNOQ02_clean,114.6
FOQNOQ_clean,99.3
FOQNUW01_clean,111.6
FOQNUW02_clean,113.2
FOQNUW_clean,110.9
FOQPAE01_clean,125.2
FOQPAE02_clean,124.9
FORWAL_clean,125.8
FORXAM_clean,1564.2
FOSTOY_clean,937.9
FUDQIF_clean,116.9
FUHJOJ_clean,262.6
FUSWIA_clean,69.0
FUTZIF_clean,184.1
FUVBOP_clean,155.4
FUVDEH01_clean,487.5
FUVDEH02_clean,474.0
FUVDEH03_clean,460.0
FUVDEH04_clean,453.5
FUVDEH05_clean,610.2
FUVDEH09_clean,501.2
FUVDEH10_clean,484.2
FUVDEH11_clean,484.0
FUVDEH13_clean,470.7
FUVDEH_clean,506.3
FUVGAG02_clean,351.2
FUWFUA_clean,206.5
FUWQIZ_clean,157.9
FUYCAE_clean,106.8
FUYCUZ_clean,702.2
GABYUG_clean,343.1
GACBIY_clean,241.6
GACYER_clean,205.7
GAFGEC_clean,224.9
