MOF,Total time (s)
1499489-acs.cgd.6b01265_1499490_clean,445.7
ABAYIO_clean,732.7
ABAYOU_clean,684.9
ABESUX_clean,156.5
ABETAE_clean,157.9
ABETIN_clean,719.7
ABEXEM_clean,231.8
ABEXEN_clean,248.0
ABEXOW_clean,229.5
ABEXUC_clean,228.9
ABEYAJ_clean,232.1
ABEYEN_clean,231.7
ABEYIR_clean,233.7
ABIXOZ_clean,146.4
ABIYIV_clean,411.0
ABULOB_clean,190.7
ABUWOJ_clean,188.0
ACAJIY_clean,339.8
ACAJIZ_clean,518.9
ACAJOF_clean,276.2
ACIBOE_clean,158.3
ACOCOM_clean,1567.3
ACOCUS_clean,1629.7
ACODAZ_clean,1527.0
ACODON_clean,235.4
ACOGAB_clean,225.3
ACOGEF_clean,235.1
ACOLIP_clean,294.2
ACOLOV_clean,329.1
ACUBAB_clean,234.2
ACUFEK_clean,331.2
ACUJOZ_manual,834.3
ACUTOI_clean,361.6
ADARAA_clean,1498.6
ADASEF_clean,272.0
ADASIJ_clean,313.7
ADASOP_clean,214.6
ADASUV_clean,225.0
ADATAC_clean,298.0
ADATEG_manual,543.7
ADATIK_clean,317.4
ADATOQ_clean,657.5
ADATUW_clean,668.2
ADAVAE_clean,752.0
ADAVEI_clean,685.2
ADAXEK_clean,202.4
ADAXIO_clean,280.9
ADIQEL_clean,239.1
ADOBIF_clean,203.3
ADOCEC_clean,195.2
ADODOO_clean,192.9
ADODUU_clean,193.6
ADOGEH_clean,1022.2
ADUROI_clean,1490.6
ADUWIH_clean,389.1
ADUWON_clean,318.2
AFEJOK_ion_b,270.6
AFENEE_clean,232.7
AFIPAH_clean,183.8
AFITEP_clean,206.1
AFITUF_clean,267.6
AFIXAO_clean,451.4
AFIXES_clean,449.7
AFOTOF_clean,187.2
AFOTUL_clean,189.4
AFOVAT_clean,188.5
AFOVEX_clean,186.1
AFOVIB_clean,188.7
AFOVOH_clean,192.1
AFOYAW_clean,309.2
AFOYEB_clean,253.6
AFOYIE_clean,145.0
AFOYOK_clean,292.5
AFUKET_clean,427.8
AFUKIX_clean,362.9
AFUPEX_clean,140.1
AGABIU_clean,103.8
AGARUW_clean,198.2
AGIREP_clean,493.7
AGOFEJ_clean,457.8
AGONAM_clean,195.9
AGONEQ_clean,134.4
AGOVOJ_clean,141.0
AGUBUA_clean,151.6
AHAMAY_clean,279.4
AHEQAH_clean,163.1
AHIYOH_clean,510.9
AHOKIR01_clean,223.6
AHOKIR_clean,185.3
AHOKOX_clean,174.7
AHUFIU_clean,272.7
AJAKON_clean,296.2
AJAYIT_clean,342.2
AJIGIL_clean,653.9
AJOTEY_clean,116.1
AJOVEB_clean,393.3
AJOXAA_clean,223.2
AKEDIF_clean,222.8
AKOBAF_clean,432.7
AKOHEO_clean,209.3
AKOXIJ_clean,435.7
AKUKUO_clean,231.3
ALAHUS_clean,364.6
ALAMUW_clean,147.1
ALANAD_clean,221.7
ALEJAE_clean,216.9
ALEJEI_clean,586.2
ALEJIM_clean,601.8
ALEQIT_clean,254.7
ALIBUT_clean,504.9
ALICAA_clean,504.9
ALIXAU_clean_h,234.3
ALIXOJ_clean,203.9
ALIXUP_clean,226.6
ALOLES_ion_b,248.6
ALOLIY_clean,238.4
ALONEV_clean,520.7
ALUJEX_clean,233.1
ALUJIB_clean,227.8
ALUJOH_clean,226.9
ALUKIC_clean,158.1
ALUKOI_clean,156.9
ALUKUO_clean,157.0
ALULAV_clean,156.5
ALULEZ_clean,216.9
ALULID_clean,153.9
ALURAB_clean,382.2
ALUREF_clean,396.5
ALURIJ_clean,391.9
AMAFOK_clean,255.9
AMAGAX_clean,486.6
AMILOY_clean,405.6
AMILUE_clean,329.6
AMIMAL_clean,409.4
AMIMEP_clean,356.4
AMIZIG_clean,348.9
AMODUC_clean,168.7
AMOFAK_clean,180.0
AMOYOR_clean,339.3
AMUFOF_clean,222.4
AMUPOP_clean,482.6
AMUWUB_clean,197.9
AMUXAI_clean,234.1
ANAWIX_clean,188.6
ANAWOD_clean,255.3
ANEHEI_clean,260.7
ANENEN_clean,221.6
ANENIR_clean,233.9
ANIDIL_clean,838.0
ANOMOG_clean,198.2
ANOMUM_clean,150.9
ANONAT_manual,154.9
ANUGEW_clean,295.4
ANUGIA_clean,141.5
ANUGOG_clean,193.8
APACAX_clean,157.2
APARAM_clean,280.1
APAYIB_clean,283.3
APAYOH_clean,287.5
APAYUN_clean,206.6
APAZAU_clean,267.6
APAZEY_clean,266.1
APAZIC_clean,268.5
APAZOI_clean,276.1
APEBED_clean,196.7
APEBEE_clean,260.0
APEBII_clean,384.0
APEBOO_clean,466.6
APEBUU_clean,426.1
APUPEH_clean,86.6
AQEGUY_clean,267.7
AQEQES_clean,152.4
AQEQIW_clean,156.8
AQERUL_clean,1241.2
AQIQAU_clean,450.8
AQIXUU_clean,313.6
AQIXUV_clean,476.4
AQOLEZ_clean,217.0
AQOLID_clean,1753.8
AQOLOJ_clean,248.2
AQOLUP_clean,1258.1
AQOMAW_clean,254.0
AQOMEA01_clean,1503.0
AQOMEA_clean,1388.8
AQOTIK_clean,135.3
AQUCOF_clean,255.9
AQUCOG_clean,295.9
AQUCUM_clean,298.8
AQUDAS_clean,256.1
AQUDAT_clean,286.4
AQUDEX_clean,290.9
AQUDIB_clean,301.7
AQUDOH_clean,290.2
ARADEE_clean,245.2
ARAFEF_clean,207.5
ARAFIJ_clean,213.9
ARAFOP_clean,324.8
ARAGOR_clean,278.1
ARINOF_clean,333.3
ARINUL_clean,355.7
AROFAP_clean,220.6
AROFET_clean,200.0
ARUYES_clean,230.0
ARUYUH01_clean,197.6
ARUYUH_clean,197.8
ASACON_clean,212.7
ASADAA_clean,223.9
ASAHEJ_clean,260.4
ASANAL_clean,311.6
ASECUY_clean,419.3
ASEJOZ01_clean,321.4
ASEJOZ_clean,201.4
ASEKAM_clean,240.8
ASINAT_clean,310.7
ASINEX_clean,2520.4
ASINIB_clean,2723.6
ASIQEA_clean,249.7
ASIQIE_clean,249.4
ASIVAB_clean,251.2
ASIVEF_clean,315.3
ASOHUL_clean,146.3
ASOSUY_clean,220.5
ASOVEL_clean,229.9
ASOYOY_clean,434.5
ASUBIB_clean,189.6
ASUKEE01_clean,642.4
ASUKEE_clean,619.1
ASUWUI_clean,292.9
ATAFIK_clean,194.4
ATAYAX_clean,226.9
ATAYEB_clean,232.5
ATEJOA_clean,367.3
ATEYED_clean,179.9
ATEYOP_clean,663.5
ATEYUV_clean,622.6
ATEZAC_clean,211.5
ATEZEG_clean,246.3
ATEZIK_clean,241.8
ATIBAG_clean,214.1
ATIBOU01_clean,213.1
ATIBOU02_clean,206.5
ATIBOU_clean,212.8
ATIBUA_clean,212.7
ATICAH_clean,212.7
ATICEL_clean,212.4
ATIJUJ_manual,241.8
ATIRUS_clean,392.4
ATIXAE_clean,160.5
ATIXUX_clean,366.6
ATOGEV_clean,127.1
ATOWIQ_clean,261.3
ATOWOW_clean,198.0
ATULIM_clean,234.6
ATUXIY_clean,340.5
ATUZEW_clean,268.3
AVAGIP_clean,284.6
AVAGOV_clean,289.5
AVAGUB_clean,394.0
AVAJUE_clean,1862.2
AVAKAL_clean,157.2
AVAKEP_clean,232.3
AVAQIX01_clean,226.3
AVAQIX_clean,247.0
AVEHAM_clean,524.6
AVELOD_clean,463.2
AVELUJ_clean,446.8
AVEMAQ_clean,458.1
AVEQID_clean,206.2
AVESOL_clean,212.9
AVESUR_clean,223.0
AVETAY_clean,157.7
AVETEC_clean,162.7
AVEVEE_clean,192.5
AVIHIY_clean,134.2
AVIHOE_clean,125.3
AVILEY_clean,554.5
AVIMIC_clean,356.2
AVIMOI_clean,384.8
AVIMUO_clean,305.2
AVIPAX_clean,196.1
AVIPOL_clean,219.5
AVITUU_clean,399.3
AVIVAC_clean,401.1
AVIVEG_clean,410.7
AVIVIK_clean,406.6
AVIVOQ_clean,408.5
AVIVUW_clean,402.2
AVUCEA_clean,279.2
AVUDAX_clean,406.5
AWAGEL_clean,358.3
AWAGOV_clean,565.6
AWAHEM_clean,171.1
AWAKEQ_clean,279.3
AWAREV_clean,334.0
AWARIZ_clean,336.7
AWASAU_clean,174.1
AWASEY_clean,252.4
AWASOI_clean,326.1
AWAWUR_clean,357.2
AWEGEP_clean,267.3
AWEJIW_clean,248.3
AWEVIJ_clean,1127.8
AWEWOP_clean,377.4
AWEZOS01_clean,1156.8
AWEZOS_clean,1187.9
AWIBAK_clean,1194.3
AWIBAL_clean,250.7
AWIBEO_clean,1247.8
AWIBIS_clean,1176.2
AWOFOI_clean,199.3
AWUPAL_clean,165.4
AWUPOZ_clean,166.3
AXAFAG_clean,217.3
AXIGAR_clean,182.6
AXIMUP_clean,265.5
AXINAX01_clean,176.2
AXINAX_clean,308.6
AXINEA_clean,574.5
AXINIF_clean,341.0
AXIPEE01_clean,161.0
AXIPEE02_clean,461.9
AXIPEE03_clean,165.2
AXIPEE_clean,156.9
AXUBAW_manual,169.8
AXUBOL_clean,261.5
AXUHAD_clean,646.7
AXUHEH_clean,474.0
AYOQEM_clean,869.1
AYOXUJ_clean,409.4
AYUJIP_clean,1257.3
AZAFIS_clean,127.3
AZAVOO_clean,244.6
AZAVUU_clean,214.7
AZAWAB_clean,426.6
AZEBUE_clean,194.8
AZEWEH_clean,185.6
AZIVAI_clean,225.4
AZIXUD_clean,228.4
BABREE_clean,423.9
BACGAQ_clean,329.3
BADXAI_clean,769.8
BADYAJ_clean,222.7
BAEDTA01_clean,379.9
BAFHAU_clean,95.2
BAKGIF_manual,237.3
BAKJEE_clean,190.1
BAKJII_clean,273.3
BAKJOO_clean,281.1
BAKYIY_clean,219.5
BAKYOE_clean,196.4
BAMKIM_clean,259.3
BAMKOS_clean,261.6
BANMAG_clean,205.1
BAPDAA_clean,244.9
BAQWIC_clean,271.1
BARZUR_clean,289.3
BASJUB_clean,424.6
BAWROI_clean,280.0
BAWRUO_clean,151.9
BAXFIR01_clean,283.8
BAXFIR02_clean,291.3
BAXSIE_clean,202.2
BAZFUF01_clean,340.6
BAZFUF_clean,361.4
BAZGAM_clean,198.2
BAZGEQ_clean,683.9
BAZJET_clean,186.3
BAZJIX_clean,209.3
BEDYEQ_clean,212.6
BEFGEA_manual,345.4
BEFLUV_clean,120.7
BEFMAC_clean,132.0
BEGDEY_clean,421.5
BEJZAS_clean,142.1
BELJIL_clean,381.7
BELTOD_clean,601.9
BELTUJ_clean,590.3
BENXUP_clean,258.9
BENZOL_clean,171.8
BENZUR_clean,169.2
BEPBAB_clean,172.5
BEPLUF_clean,188.2
BEPMAM_clean,188.0
BEPMIU_clean,202.4
BEPNIV_clean,184.3
BEPNOB_clean,185.5
BEPNUH_clean,199.4
BEPPAP_clean,199.9
BEPPIX_clean,231.2
BEPPOD_clean,228.5
BEPREV01_clean,539.6
BEPREV02_clean,519.4
BEPREV03_clean,548.6
BEPREV_clean,551.4
BEPRIZ_clean,200.7
BEPROF_clean,238.9
BEPVEZ_clean,279.7
BEPVID_clean,295.0
BEPVOJ01_clean,283.6
BEPVOJ_clean,269.1
BEPWEA_clean,254.3
BERQIA_clean,764.0
BETDAH_clean,166.7
BETDEL_clean,229.5
BETDIP_clean,236.7
BETDOV_clean,251.5
BETDUB_clean,168.4
BETFAJ_clean,169.9
BETFEN_clean,168.1
BETFOX_clean,254.5
BETFUD_clean,172.0
BETGAK_clean,169.3
BETGEO_clean,216.1
BETGIS_clean,217.8
BETGOY_clean,209.7
BETGUE_clean,169.7
BETHEP_clean,204.0
BETHIT_clean,170.3
BETZOR_clean,316.5
BEVWAB_clean,500.3
BEWCUD_clean,214.4
BEWVEG_clean,220.6
BEWVOQ_clean,114.2
BEWWEH_clean,128.5
BEXPAX_clean,139.3
BEXQIF_clean,169.6
BEXQOL_clean,134.0
BEXQUR_clean,135.2
BEXRAY_clean,103.6
BEXREC_clean,104.3
BEXRIG_clean,104.5
BEXRUT_clean,224.8
BEXSAA_clean,220.5
BEXSEE_clean,218.4
BEXSII_clean,168.6
BEXTUV_clean,248.6
BEXVAD01_clean,228.0
BEXVAD_clean,229.3
BEXVEH_clean,232.2
BEXVIL_clean,140.0
BEYKEX_clean,290.3
BEYSEF_clean,274.9
BIBXIV_clean,750.3
BIBXOB_clean,182.0
BIBXUH_clean,157.1
BICPOT_clean,253.6
BICPUA_clean,208.0
BIDPOV_clean,303.0
BIFGOO_clean,278.9
