MOF,15bar_AR_313_CORE,5bar_AR_313_CORE,HENRY_AR_313_CORE,time_below_50_313_0.01,time_below_50_313_0.05,time_below_50_313_0.1,time_below_50_313_0.5,time_below_50_313_1
NEJSAY_clean,2544.7,1260.5,340.3,146.9,279.6,357.7,402.2,406.2
NEJSEC_clean,1091.5,574.3,243.9,100.2,172.7,224.9,290.6,287.4
NEJSOM_clean,1093.9,495.0,204.9,78.4,134.4,177.4,250.6,244.7
NEKBEL_clean,246.2,215.1,179.0,56.7,67.5,78.8,145.4,185.3
NEKMUN_clean,1780.2,991.9,280.4,130.1,242.4,298.9,328.5,337.4
NEKREB_clean,561.3,266.8,199.9,69.9,105.9,138.2,220.3,229.5
NELVAC_clean,1012.4,657.6,230.9,102.7,195.6,241.3,263.3,271.6
NELVEG_clean,1074.3,752.9,222.9,110.4,206.2,244.6,257.1,301.6
NENFAN_clean,4482.9,2785.0,243.2,184.8,285.6,292.7,469.2,904.8
NENHAQ_clean,1104.1,360.4,252.8,86.2,125.5,162.0,274.2,288.0
NENHEU_clean,7444.4,3134.1,445.7,228.8,401.4,449.3,483.9,710.8
NEPWIQ_clean,1743.8,812.8,247.1,104.1,189.5,241.9,303.8,301.9
NERMON_clean,302.2,275.4,226.6,75.5,85.1,102.3,185.0,233.3
NERNON_charged,,,,143.4,246.8,327.4,418.1,414.8
NERTAH_clean,2211.7,1091.1,510.0,199.4,341.2,435.7,595.1,580.0
NERVAJ_clean,1046.1,716.2,988.6,327.9,382.2,417.1,651.9,720.2
NERVEN_clean,984.7,720.1,1084.3,339.4,347.1,398.6,614.2,688.9
NESVAK_charged,,,,105.9,174.5,235.7,328.7,329.7
NESVEO_charged,,,,70.5,112.7,150.1,221.9,225.6
NETHOJ_clean_h,900.9,366.0,191.1,71.2,112.2,147.3,229.5,235.8
NETYIV01_clean,1288.6,438.7,279.3,98.8,143.7,190.1,313.0,314.1
NETYIV_clean,1219.5,422.8,273.4,96.7,140.6,184.9,300.0,315.4
NEVJEF_clean,960.3,391.1,285.7,96.2,145.1,192.4,308.7,323.8
NEVPOU_clean,1129.5,469.6,212.4,78.2,129.8,175.9,250.4,248.6
NEVPUA_charged,,,,92.3,150.9,196.9,290.6,297.2
NEVQAH_charged,,,,93.5,158.2,200.2,289.9,290.5
NEVVAM01_clean,703.6,305.7,206.3,72.9,108.7,145.9,237.6,242.8
NEVVAM02_clean,803.7,344.5,207.7,75.1,116.0,154.4,246.1,252.7
NEVVAM_clean,769.1,331.5,192.5,68.9,111.1,146.4,231.8,232.5
NEVVEQ_clean,1563.4,989.5,255.8,124.6,235.6,278.1,306.2,336.6
NEXDOK_charged,,,,233.4,348.9,452.3,690.3,708.0
NEXVET_clean,2747.7,845.1,356.2,138.0,212.7,278.0,398.9,398.6
NEXVUI_clean,475.9,307.4,317.9,101.3,124.1,145.6,247.3,297.3
NEXXEV_clean,1757.4,654.8,280.8,105.1,176.1,233.6,325.7,334.1
NEXXIZ_clean,1838.5,708.5,298.8,111.0,185.2,244.0,346.4,343.6
NEYVEU_clean,7001.3,2423.5,664.1,263.4,459.9,572.9,711.7,695.2
NEYYUN_clean,1133.9,534.2,128.4,56.4,106.9,134.8,162.3,162.0
