MOF,Total time (s)
1499489-acs.cgd.6b01265_1499490_clean,381.2
ACOCOM_clean,740.8
ACOCUS_clean,780.5
ACODAZ_clean,755.4
acs.cgd.5b01554_VAGNUP1452791_clean,177.6
acs.chemmater.5b03723_cm5b03723_si_004_clean,387.2
acs.chemmater.5b03723_cm5b03723_si_005_clean,178.0
acscombsci.5b00188_34903_clean,222.0
acscombsci.5b00188_5013797_clean,116.2
acs.inorgchem.5b02316_ic5b02316_si_002_clean,587.7
acs.inorgchem.5b02378_ic5b02378_si_002_clean,653.9
acs.inorgchem.6b00136_ic6b00136_si_002_clean,377.7
acs.inorgchem.6b00276_ic6b00276_si_006_clean,2261.3
acs.inorgchem.6b01211_ic6b01211_si_002_clean,165.5
acs.inorgchem.6b01416_ic6b01416_si_004_clean,210.4
acs.inorgchem.6b01762_ic6b01762_si_002_clean,133.0
acs.jpcc.6b04690_jp6b04690_si_005_clean,706.4
ADOBIF_clean,117.2
AFEKAX_clean,174.5
AGUBUA_clean,159.7
AHIYOH_clean,432.3
AHUFIU_clean,138.5
AKOXIJ_clean,451.0
am301365h_si_002_clean,147.2
AMIZIG_clean,192.0
ANOMOG_clean,131.1
APEBII_clean,374.1
APEBOO_clean,408.6
AQEGUY_clean,248.6
AQERUL_clean,1213.3
AQIXUU_clean,322.7
AQOLOJ_clean,252.1
AQOTIK_clean,102.2
ASANAL_clean,224.9
ASEKAM_clean,219.7
ASEXED_clean,427.0
ASIVEF_clean,147.2
ATEJOA_clean,420.2
ATEZEG_clean,132.4
ATEZIK_clean,127.6
ATUZEW_clean,229.5
AVETAY_clean,101.9
AWEJES_clean,288.3
AWEWOP_clean,323.7
AWUPOZ_clean,89.4
AXIGAR_clean,112.4
AXINAX_clean,160.6
BABREE_clean,400.3
BADXAI_clean,433.6
BAKYIY_clean,155.8
BEGDEY_clean,353.9
BERQIA_clean,544.6
BETDOV_clean,177.7
BETFOX_clean,184.4
BEWCUD_clean,81.4
BEWVEG_clean,150.5
BEXTUV_clean,253.5
BEXVAD01_clean,196.4
BEXVAD_clean,225.9
BEXVIL_clean,84.8
BICDAU_clean,78.7
BIHBEB_clean,206.1
BIJFAD_clean,190.7
BINMIW_clean,409.9
BIPBAF_clean,155.1
BIRGIU_clean,179.0
BIWSOQ_clean,222.0
BOHWOM_clean,232.4
BORBEQ_clean,157.5
BOSHIC_clean,339.1
BOWSOW_clean,138.3
BUBDIL_clean,1352.1
BUCSAU_clean,332.7
BUCSIC01_clean,339.1
BUKMUQ_clean,71.4
BUPDOH_clean,257.1
BUVVIZ_clean,237.7
BUVVOF_clean,249.2
BUXTUL_clean,548.4
c4dt02048k_c4dt02048k2_clean,164.7
c4ra13058h_c4ra13058h2_clean,282.8
c5cc09935h_c5cc09935h2_clean,195.7
c5ce00923e_c5ce00923e2_clean,302.1
c5ce00931f_c5ce00931f2_clean,216.1
c5ce01790d_c5ce01790d1_clean,395.3
c5ce02503f_c5ce02503f2_clean,2442.6
c5dt01100k_c5dt01100k2_clean,226.8
c5dt02651b_c5dt02651b2_clean,165.3
c5dt03038b_c5dt03038b2_clean,161.0
c5dt03710g_c5dt03710g2_clean,158.7
c5dt04943a_c5dt04943a2_clean,148.2
c5dt05023e_c5dt05023e2_clean,315.2
c5nj02236c_c5nj02236c2_clean,317.9
c5nj03044g_c5nj03044g2_clean,438.7
c5qi00128e_c5qi00128e2_clean,335.8
c5sc00614g_c5sc00614g2_clean,569.7
c5ta03835a_c5ta03835a2_clean,244.0
c5ta05481h_c5ta05481h2_clean,472.8
c5ta09507g_c5ta09507g2_clean,1539.6
c5ta10401g_c5ta10401g2_clean,750.7
c6cc00589f_c6cc00589f2_clean,147.6
c6cc00589f_c6cc00589f3_clean,40.1
c6cc01597b_c6cc01597b2_clean,222.4
c6cc03787a_c6cc03787a2_clean,196.3
c6ce00465b_c6ce00465b2_clean,85.2
c6dt01288d_c6dt01288d2_clean,563.7
c6ta07145g_c6ta07145g2_clean,899.8
CACNOM_clean,254.4
CASWIE_clean,122.4
CAVMIX_clean,431.7
CAXSUR_SL,144.4
CAYQIE_clean,143.7
CAYQOK_clean,315.2
CAYQUQ_clean,170.8
CEDFOI_clean,438.4
CEDFUO_clean,314.4
CEKNIQ_clean,216.6
CEMKOV_clean,173.7
CESFIQ_clean,284.9
CESFOW_clean,170.5
CEYYIQ_clean,137.7
cg050585esi20051105_115011_clean,289.4
cg100357q_si_002_clean,441.6
cg2007167_si_002_clean,244.6
cg3002866_si_001_clean,613.5
cg300979c_si_002_clean,211.8
cg3015354_si_002_clean,202.3
cg4012185_si_002_clean,531.9
cg500192d_si_002_clean,344.4
cg5008236_si_002_clean,2072.5
cg501141m_si_003_clean,377.3
cg801267m_si_001_clean,296.2
cg801267m_si_002_clean,298.8
cg801267m_si_003_clean,225.0
cg801267m_si_004_clean,221.1
CILFIN_clean,148.0
CIPLIX_clean,138.4
CIQQIE_clean,632.1
cm071462f-file004_clean,130.2
CODVAU_clean,1155.9
COJMIZ_clean,370.8
COJMOF02_clean,280.8
comp2_clean,390.0
COQJID_clean,361.3
COQJOJ_clean,304.4
COQJUP_clean,336.0
COWDEZ_clean,624.8
COXDIE_clean,360.3
COYMIN_clean,541.4
CUFQUR_clean,139.7
CUGLIB_clean,75.1
CUGYIO_clean,75.2
CUGZAH_clean,77.9
CUHLUO_clean,816.8
CUPHIG_clean,156.7
CUQRUD_clean,137.4
CURZAR_clean,310.7
CUSXIY_clean,175.1
CUSXOE_clean,387.4
CUTCAX_clean,225.1
CUTFII_clean,228.2
CUVTIX_clean,559.6
CUVVOG_clean,310.2
CUWHUZ_clean,905.4
CUWXAV_clean,189.1
CUXFUX_clean,468.9
DACSAE_clean,377.4
DACSEI_clean,361.4
DADXUE_clean,496.4
DAFXUG_clean,333.2
DALVEU_clean,379.7
DAMRAN_clean,154.3
DANZOJ_neutral,121.8
DAZCAK_clean,424.9
DEKPUF_clean,201.2
DEYDOA_clean,86.0
DEYLOJ_clean,148.9
DIMQIB_clean,313.7
DITPED_clean,722.8
DIWMUT_clean,353.2
DIZVAK_clean,171.8
DOFTID_clean,193.8
DOFTOJ_clean,203.4
DOGBAE_clean,431.2
DOJXOR_clean,348.8
DOLWEI_clean,555.5
DOMGAP_clean,279.6
DONXOV_clean,325.5
DOTFOJ_clean,591.1
DUDKIY_clean,197.5
DUKNEE_clean,664.1
DUNYOC_clean,325.7
DUQRUD_clean,307.3
DUSHEG_clean,2161.4
DUSHIK_clean,2101.9
DUXZIG01_clean,47.0
DUZKAM_clean,151.8
DUZKEQ_clean,119.9
EBEWUG_clean,112.0
EBEXAN_clean,103.4
EBEXIU02_clean,224.5
EBEXIV_clean,101.1
EBOXEA_clean,157.0
ECEZAO_clean,177.3
EDUSOL_clean,642.2
EDUTUS_clean,86.7
EDUVAA_clean,210.7
EDUVEE_clean,716.4
EDUVII_clean,110.0
EDUWAB_clean,69.1
EFEGEC_clean,267.1
EFESIT_clean,734.2
EGABAR_clean,234.8
EGEJOQ_clean,634.3
EGEJUW_clean,366.5
EHUSUX_clean,421.9
EHUTAE_clean,559.4
EJATIS_clean,477.3
EJESUJ_clean,130.4
EKADIF_clean,1367.9
EKEKIQ_clean,122.5
EKEKOW_clean,492.1
EKEMEO_clean,469.8
ELECIJ_clean,371.7
ELEROE_clean,357.9
ELOZIQ_clean,652.5
EMIREX_clean,192.0
ENCDBZ01_clean,105.1
