MOF_Name,0.050000,0.100000,0.150000,0.200000,0.250000,0.300000,0.350000,0.400000,0.450000,0.500000,0.550000,0.600000,0.650000,0.700000,0.750000,0.800000
1499489-acs.cgd.6b01265_1499490_clean,0.262208,0.440661,0.097933,0.420812,0.396106,0.331663,0.183572,0.219248,0.000000,0.216769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ABAYIO_clean,0.164109,0.322538,0.507524,0.163058,0.629904,0.000000,0.000000,0.000000,0.339415,0.000000,0.000000,0.276097,0.395713,0.000000,0.000000,0.000000
ABAYOU_clean,0.179764,0.295946,0.483914,0.000000,0.590473,0.212525,0.000000,0.242524,0.335058,0.000000,0.239507,0.000000,0.427876,0.000000,0.000000,0.268426
ABESUX_clean,0.085999,0.120429,0.093992,0.067197,0.049440,0.000000,0.079558,0.000000,0.085743,0.000000,0.068589,0.075369,0.000000,0.058551,0.057004,0.000000
ABETAE_clean,0.000000,0.135706,0.094322,0.071561,0.000000,0.077466,0.084453,0.089070,0.000000,0.115671,0.000000,0.000000,0.090844,0.000000,0.110833,0.000000
ABETIN_clean,0.219971,0.225183,0.194705,0.000000,0.282905,0.000000,0.283369,0.219262,0.000000,0.247671,0.205035,0.255601,0.255504,0.000000,0.000000,0.000000
ABEXEM_clean,0.011036,0.099459,0.033466,0.019033,0.003850,0.076493,0.004543,0.059338,0.000000,0.032582,0.029512,0.000000,0.000000,0.000000,0.000000,0.006844
ABEXEN_clean,0.238855,0.117136,0.000000,0.302247,0.081312,0.000000,0.213233,0.000000,0.000000,0.000000,0.036078,0.000000,0.000000,0.000000,0.065074,0.076736
ABEXOW_clean,0.010046,0.009557,0.036057,0.028875,0.073428,0.071444,0.033588,0.062874,0.055510,0.010369,0.000000,0.039300,0.000000,0.000000,0.043326,0.069262
ABEXUC_clean,0.000000,0.042776,0.000000,0.023970,0.031902,0.026062,0.024967,0.031986,0.000000,0.023609,0.000000,0.037536,0.000000,0.040799,0.000000,0.015424
ABEYAJ_clean,0.075067,0.032500,0.008058,0.040474,0.072977,0.043516,0.065940,0.000000,0.081902,0.000000,0.000000,0.052940,0.000000,0.077969,0.000000,0.000000
ABEYEN_clean,0.071570,0.028486,0.026438,0.031938,0.000000,0.026725,0.000000,0.000000,0.070982,0.010761,0.035802,0.060780,0.000000,0.051671,0.000000,0.000000
ABEYIR_clean,0.052354,0.028082,0.031533,0.044535,0.023257,0.000000,0.000000,0.000000,0.000000,0.012210,0.000000,0.041154,0.000000,0.000000,0.000000,0.000000
ABIXOZ_clean,0.127089,0.065756,0.028142,0.029219,0.037638,0.009274,0.000000,0.000000,0.029822,0.000000,0.052387,0.000000,0.006667,0.000000,0.000000,0.000000
ABIYIV_clean,0.131558,0.111199,0.104362,0.086212,0.050392,0.000000,0.115037,0.092695,0.086388,0.000000,0.000000,0.000000,0.126415,0.000000,0.000000,0.000000
ABULOB_clean,0.245046,0.000000,0.515295,0.382864,0.000000,0.349152,0.000000,0.330955,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ABUWOJ_clean,0.244649,0.172517,0.138711,0.198480,0.160586,0.038432,0.138706,0.123977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.136221,0.082975
ACAJIY_clean,0.567698,0.424758,0.542531,0.456693,0.714127,0.685323,0.573306,0.576507,0.666997,0.637708,0.000000,0.531997,0.451493,0.640575,0.000000,0.000000
ACAJIZ_clean,0.029358,0.000000,0.028249,0.053083,0.033156,0.021272,0.008145,0.031877,0.021413,0.000000,0.047297,0.019791,0.000000,0.000000,0.000000,0.000000
ACAJOF_clean,0.084596,0.042836,0.033496,0.000000,0.028264,0.048392,0.000000,0.000000,0.085041,0.017470,0.000000,0.015823,0.019265,0.000000,0.000000,0.000000
ACIBOE_clean,0.000000,0.110077,0.066427,0.050532,0.000000,0.041079,0.000000,0.091765,0.078335,0.032558,0.103387,0.000000,0.043893,0.000000,0.042928,0.000000
ACOCOM_clean,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.109178,0.000000,0.154010,0.219845,0.145026,0.000000,0.000000,0.000000
ACOCUS_clean,0.160855,0.172125,0.193973,0.243260,0.169444,0.305947,0.272341,0.219629,0.000000,0.000000,0.291982,0.273726,0.238602,0.286321,0.000000,0.237222
ACODAZ_clean,0.228734,0.283709,0.318682,0.264324,0.264213,0.375112,0.336466,0.326571,0.357824,0.327816,0.325357,0.310019,0.000000,0.335333,0.331220,0.000000
ACODON_clean,0.198157,0.065567,0.000000,0.053582,0.065114,0.136033,0.000000,0.000000,0.000000,0.009512,0.000000,0.000000,0.000000,0.000000,0.000000,0.057073
ACOGAB_clean,0.000000,0.159138,0.083606,0.144055,0.227308,0.052105,0.212066,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ACOGEF_clean,0.132646,0.139301,0.103658,0.000000,0.146953,0.000000,0.187648,0.144666,0.155190,0.122135,0.000000,0.142864,0.000000,0.086716,0.000000,0.000000
ACOLIP_clean,0.146405,0.205623,0.031225,0.000000,0.218152,0.118650,0.000000,0.154570,0.000000,0.103564,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ACOLOV_clean,0.157906,0.048169,0.100675,0.085543,0.000000,0.105537,0.000000,0.113173,0.068940,0.000000,0.059570,0.066365,0.000000,0.080035,0.000000,0.089630
