,importance
LCD,0.005157497845462147
PLD,0.004309608264759162
LFPD,0.005441326482915818
cm3_g,0.012730689272589257
ASA_m2_cm3,0.010191320899046306
ASA_m2_g,0.0125308489900385
NASA_m2_cm3,0.002106633197787368
NASA_m2_g,0.0018374235707662564
AV_VF,0.007796464757602579
AV_cm3_g,0.014703099650149652
NAV_cm3_g,0.00010157614682539886
Has_OMS,0.0007606261454877548
