,fold1,fold2,fold3,fold4,fold5,mean_importance
Input,0.3652277346931489,0.383506105321613,0.38229887908748966,0.37258927119843854,0.365766782059616,0.37387775447206123
ASA_m2_g,0.23164441837670063,0.2703914792401771,0.4190633253931765,0.30608058437545155,0.2192820388633343,0.28929236924976803
AV_cm3_g,0.2901952699015945,0.2662505868333445,0.09341608122386323,0.21737944315766675,0.30467591396527954,0.23438345901634974
AV_VF,0.029971306536520807,0.021844709296262168,0.029339066734717527,0.02549363940355597,0.028802727221670956,0.027090289838545483
ASA_m2_cm3,0.023223407854898993,0.020293949855509554,0.018961179829359617,0.02170177185880975,0.021175275139311844,0.02107111690757795
LFPD,0.013553636359896535,0.006670063069035036,0.013642693538801357,0.0136312918920276,0.015567743222754764,0.012613085616503058
PLD,0.013781065482557612,0.010830358359380695,0.013168387421773045,0.013370082423836006,0.011821938158973548,0.012594366369304184
LCD,0.012846679622928193,0.006601410464445725,0.012856005896476211,0.012171419049138982,0.014193922748775789,0.01173388755635298
cm3_g,0.010746006275491543,0.00780502008491108,0.008388303454437957,0.008826657367433518,0.009856824118057637,0.009124562260066346
NASA_m2_cm3,0.003434405057212216,0.0019806369622680656,0.003049924521974125,0.0031595968376461944,0.002817993864659847,0.0028885114487520896
NASA_m2_g,0.002813378792598766,0.0017801108433390482,0.0027560946226825537,0.0030386169162597496,0.00317453048682707,0.0027125463323414375
Has_OMS,0.001982224341553432,0.0015405182596336044,0.002429193613831428,0.001960617505635471,0.0022535074050858495,0.0020332122251479567
NAV_cm3_g,0.0005804667048977292,0.0005050514100805023,0.0006308646614167927,0.0005970080141000252,0.0006108027456529054,0.0005848387072295909
