GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
Ar,293,0.5,1,struct+input,random_struct,rf,0.9908785274215747,0.003010263212064355,0.009455152859890282,0.0005985309606417368
Ar,273,0.1,1,struct+input,random_struct,gbm,0.9672439113908148,0.01062659065586386,0.02448756945714816,0.0015210787262694677
He,293,0.1,15,struct+input,random_struct,rf,0.9906683305826608,0.01104803269200076,0.006971763472626199,0.0006925334659809539
He,293,Henry,5,struct+input,random_struct,cat,0.9937400276071628,0.003663286590533247,0.00207865274500896,0.00017267870563712065
He,273,0.1,5,struct+input,random_struct,rf,0.988735303929167,0.01313042978617325,0.00274975398480374,0.00021792348411069087
Ar,313,0.01,5,struct+input,random_struct,rf,0.9296588988063366,0.01205292076597741,0.061521256431534235,0.002081854174525671
Ar,293,0.05,5,struct+input,random_struct,rf,0.9586843509638097,0.005469526664773528,0.07814656588427718,0.0027009466207207683
He,313,0.05,15,struct+input,random_struct,cat,0.9927876553284183,0.002845872087117188,0.00946363132179498,0.0005163116334710276
Ar,273,0.01,15,struct+input,random_struct,cat,0.9462999400669025,0.002248779199507177,0.27109405293842315,0.003905650222510073
Ar,313,0.1,15,struct+input,random_struct,rf,0.9596339321156074,0.00256466280024166,0.1309033195224073,0.0031577704336513026
N2,293,0.01,5,struct+input,random_struct,rf,0.9022770834492659,0.03837548275147011,0.07615989831377426,0.0035360753318387397
He,293,0.01,5,struct+input,random_struct,rf,0.9877179296327094,0.009495262246721481,0.00462994102043286,0.0002343271444858429
Ar,313,0.05,5,struct+input,random_struct,cat,0.9376104365931051,0.012482651888247848,0.05753814512815018,0.0021626166431760164
Ar,293,0.5,15,struct+input,random_struct,cat,0.9690437370135753,0.0058132537502119126,0.16852805060356962,0.0038032112056973857
Ar,293,0.01,1,struct+input,random_struct,gbm,0.9570464292173083,0.012927450969939051,0.01863962548507786,0.0010255577973000572
Ar,293,0.5,1,struct+input,random_struct,gbm,0.9934930884836737,0.0017157149704035576,0.0086193223144215,0.0003055354515540109
Ar,293,0.01,1,struct+input,random_struct,rf,0.9610733083467384,0.014701979000276278,0.01828125812754074,0.001038847015694292
He,313,0.01,15,struct+input,random_struct,gbm,0.9726711915463027,0.04120131507601818,0.012888184925758678,0.0010979614000039837
He,313,0.5,5,struct+input,random_struct,cat,0.9921115215671021,0.004390513205264776,0.0023338059062894202,0.00019574504914541144
Ar,273,0.1,15,struct+input,random_struct,gbm,0.9463609582661426,0.002332013371711188,0.2709133791874033,0.00585363258532131
He,293,0.05,1,struct+input,random_struct,cat,0.9919343464816844,0.003906344545000753,0.0006866335416055001,3.7264224659411e-05
Ar,273,0.1,5,struct+input,random_struct,cat,0.9391947260542555,0.008137257774678783,0.12758241961843667,0.0031867144663509156
He,273,0.05,1,struct+input,random_struct,cat,0.9901715676609779,0.0061085430440809265,0.0007707417357610601,5.770318100526931e-05
He,313,0.5,5,struct+input,random_struct,gbm,0.9890155398020679,0.015745387998932756,0.0014408783467259399,0.00024494875938255465
Ar,293,0.05,15,struct+input,random_struct,gbm,0.9621044539408314,0.0038896817954281737,0.18594990503451175,0.003479961624019928
Ar,273,0.5,15,struct+input,random_struct,rf,0.9523208243796196,0.0030524467227956496,0.2477039454636682,0.005490150973551502
Ar,293,0.05,1,struct+input,random_struct,gbm,0.966426047909391,0.014306083758156733,0.01619498294859828,0.0013040352636956353
He,293,0.1,1,struct+input,random_struct,cat,0.9918147560009316,0.005187042196326223,0.0005917093070592001,4.6400799286443885e-05
He,273,0.01,15,struct+input,random_struct,rf,0.984379809941329,0.015163147403852065,0.015279857474780941,0.0006869635596334341
Ar,293,0.1,15,struct+input,random_struct,cat,0.9643973539753603,0.005569870389740091,0.1790472026944539,0.0037867012165059923
Ar,293,0.01,5,struct+input,random_struct,gbm,0.958624195014217,0.004986401862079024,0.08379720192754356,0.0028204326160008327
He,313,0.5,1,struct+input,random_struct,gbm,0.9881493818506863,0.0187962246250272,0.00031030834858238,5.604819491183474e-05
He,313,0.5,1,struct+input,random_struct,cat,0.9930959593352459,0.0035137114141437506,0.0004806172928227,4.333020457487187e-05
Ar,273,0.5,15,struct+input,random_struct,gbm,0.9533459285705786,0.0028999180798730175,0.2562815958614707,0.0042256416636010374
He,273,0.5,1,struct+input,random_struct,gbm,0.9833579458433777,0.02612203260771923,0.00040002352933354,7.959901883694517e-05
He,293,0.01,5,struct+input,random_struct,gbm,0.9821871705873788,0.021510108865960182,0.00470539702305878,0.00031440464906524226
