GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
Ar,293,0.05,1,struct+input,random_struct,rf,0.9549073663462408,0.01700355258056151,0.01616071295750208,0.0011215127683226011
Ar,313,0.05,5,struct+input,random_struct,rf,0.9367235377942986,0.01614964922184851,0.05784740304561738,0.003572272461898807
Ar,273,0.1,15,struct+input,random_struct,cat,0.94726612928817,0.006365817045659965,0.2683522772767561,0.009304346680171324
He,273,0.1,5,struct+input,random_struct,gbm,0.9610618532376481,0.03413837644578842,0.00293061679678552,0.00029055087215691433
He,313,0.01,15,struct+input,random_struct,rf,0.9598977931993715,0.04847163159989443,0.012706954513994362,0.0008058376963864282
Ar,273,0.1,15,struct+input,random_struct,rf,0.9424899461957039,0.00562918167468254,0.26797470121109157,0.011856085582495898
He,293,Henry,15,struct+input,random_struct,rf,0.955991737100413,0.047184540155034295,0.018258097145986422,0.0007685524617521941
He,273,0.01,15,struct+input,random_struct,cat,0.9612194736967206,0.05356254269471234,0.01622831104516454,0.0009635103322064851
Ar,313,0.5,1,struct+input,random_struct,cat,0.9816415124786744,0.025573870784669356,0.0066493583331563005,0.001146869152727052
He,273,0.1,1,struct+input,random_struct,rf,0.9663982463523434,0.0460920353489354,0.0005910414416686,6.370183303305419e-05
He,313,0.5,15,struct+input,random_struct,cat,0.9646769659864647,0.0541887240168597,0.0068987301275069,0.00048731928468278174
N2,293,0.01,5,struct+input,random_struct,gbm,0.926661506330119,0.019049351159864766,0.07347962097208044,0.0038486796553499933
Ar,273,0.05,15,struct+input,random_struct,gbm,0.9450193831076801,0.004938540294397533,0.27632278812648625,0.009748597183821211
Ar,293,0.5,5,struct+input,random_struct,gbm,0.974226846895691,0.004242482232321645,0.06671096783620749,0.0021397917594401716
Ar,273,0.05,5,struct+input,random_struct,rf,0.9351511456844225,0.006678058065605018,0.13284537953679984,0.007488941224007471
He,293,0.1,1,struct+input,random_struct,rf,0.9635580195727599,0.04492314822967393,0.0004988981019858,6.249202581923676e-05
He,293,0.5,15,struct+input,random_struct,cat,0.9646102494918758,0.05516941416290022,0.0071418741742526205,0.0005875447619288425
He,273,0.1,15,struct+input,random_struct,cat,0.9639665817588969,0.05374678379384656,0.01020390022500892,0.0007423106012152871
