GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
He,293,0.1,15,struct+input,qt_then_rd,gbm,0.997523055653972,5.9531644900255895e-05,0.00588936276701838,4.5915165030812675e-05
Ar,273,0.5,15,struct+input,qt_then_rd,cat,0.9492252532220068,0.0035536896089841527,0.25132701672883706,0.006417409648800764
Ar,313,0.05,5,struct+input,qt_then_rd,cat,0.9697434323863774,0.0018017493027451944,0.043721497765705775,0.0013101577195706877
He,273,0.1,1,struct+input,qt_then_rd,cat,0.9952506255219141,0.00038081870801063666,0.00059947826628522,7.5628842421830805e-06
Ar,293,0.1,15,struct+input,qt_then_rd,rf,0.9613157800821017,0.0017111465499742129,0.17290294549909843,0.00347922905898679
He,293,0.01,5,struct+input,qt_then_rd,rf,0.9885027656007026,0.00043953547835677624,0.00438200764392378,8.571733505769442e-05
He,313,0.1,15,struct+input,qt_then_rd,cat,0.9953580359135911,0.00030115929777333513,0.007195680608134761,0.0001929032857758953
He,273,0.1,5,struct+input,qt_then_rd,cat,0.9953986161784435,0.0002659200089990822,0.0029100428073312997,3.2668394941210947e-05
Ar,293,0.05,5,struct+input,qt_then_rd,gbm,0.9638221594611774,0.002628486952810724,0.0721004487663761,0.0020385743112274995
O2,293,0.01,5,struct+input,qt_then_rd,gbm,0.9687861198743347,0.003007571812419872,0.05543811759967278,0.0005624993241325069
He,273,0.1,15,struct+input,qt_then_rd,rf,0.9964915777794386,0.00047689882695441685,0.00704189344816034,0.0002590647731910701
Ar,313,0.01,1,struct+input,qt_then_rd,gbm,0.9925909897135087,0.00028093099136515304,0.00669669932850858,0.00010821319532120351
He,293,0.5,1,struct+input,qt_then_rd,cat,0.9973340304231446,0.0006775989756819366,0.0003800407689869,7.038997417010945e-06
He,293,0.5,5,struct+input,qt_then_rd,gbm,0.9992749986680554,2.4746389543810037e-05,0.00106139130603022,1.0240134936771609e-05
Ar,293,0.05,15,struct+input,qt_then_rd,gbm,0.9598124138706536,0.002303360523337144,0.1838483832326125,0.0035829494932239784
Ar,293,0.05,1,struct+input,qt_then_rd,cat,0.9875980328110915,0.0007419307442366221,0.01147859290975144,0.0002903125085602699
Ar,273,0.1,15,struct+input,qt_then_rd,rf,0.944356655262039,0.004374368710485835,0.25593072245172455,0.0075068027647179954
He,293,Henry,15,struct+input,qt_then_rd,gbm,0.9736791589451984,0.0007569585055227596,0.01828176557874154,0.00023270458301443632
He,313,0.1,1,struct+input,qt_then_rd,gbm,0.9965607144548159,0.00012649687875573488,0.00041840071071490005,8.010263483766e-06
Ar,293,0.01,5,struct+input,qt_then_rd,rf,0.9578787477946381,0.00269996009135862,0.07446261319282015,0.0019072673682559481
Ar,293,0.05,1,struct+input,qt_then_rd,gbm,0.988754847007068,0.00027510803945045726,0.00999816088658216,0.00015817965208944144
He,293,0.1,15,struct+input,qt_then_rd,rf,0.9974970081683541,5.949349857503121e-05,0.00587491765482632,4.315330009738049e-05
He,273,0.1,1,struct+input,qt_then_rd,gbm,0.9964593098358367,0.0004811487344975079,0.00050323800443712,1.393073151006703e-05
Ar,273,0.05,1,struct+input,qt_then_rd,gbm,0.9818780339098664,0.0014212831142376722,0.01688245500532002,0.000512182295832624
N2,293,0.01,5,struct+input,qt_then_rd,rf,0.9600651949102643,0.004190773619645439,0.05913243134416092,0.0019352521810615164
He,293,0.5,1,struct+input,qt_then_rd,gbm,0.9991160551142777,3.8165190478245527e-05,0.00023814190214021999,2.2664444722759176e-06
Ar,293,0.5,1,struct+input,qt_then_rd,rf,0.9954402659474855,0.0005229017368383119,0.006528745991922461,9.90560171168987e-05
He,313,0.01,1,struct+input,qt_then_rd,gbm,0.9885913191186585,0.0005097243287559318,0.0008302325360928601,1.3388506320700803e-05
Ar,273,0.05,15,struct+input,qt_then_rd,gbm,0.9445878065166919,0.002825498973471106,0.2689406077478834,0.00530776141114549
Ar,313,0.01,1,struct+input,qt_then_rd,cat,0.9915590070741205,0.00024361094868235168,0.00722250388804332,0.0001602609500173898
He,313,0.05,5,struct+input,qt_then_rd,rf,0.9951186248646045,0.0005191109802472855,0.00250324162211672,4.916020672566379e-05
Ar,273,0.01,15,struct+input,qt_then_rd,cat,0.9422332723045042,0.003101511827671204,0.2650597213679879,0.00296381948916236
He,313,0.05,1,struct+input,qt_then_rd,gbm,0.995029699060239,0.00021229475586134403,0.0005247414199854199,1.0077041286683655e-05
He,293,0.5,15,struct+input,qt_then_rd,gbm,0.999075199810823,9.377313207349825e-05,0.00330334648934366,4.516985366874493e-05
Ar,273,0.5,1,struct+input,qt_then_rd,cat,0.9952098391384384,0.0004315718673540611,0.01152226420583716,0.00020179279280699766
Ar,293,0.5,15,struct+input,qt_then_rd,rf,0.9636057506792387,0.002795810524363432,0.16875916576826167,0.005423882083718312
He,313,0.01,15,struct+input,qt_then_rd,rf,0.9882925137239555,0.0008588205730349976,0.011983651917620918,0.0002501055772494009
Ar,273,0.1,15,struct+input,qt_then_rd,gbm,0.9441064861901826,0.003759755723714499,0.2693023924551573,0.006002166004455043
H2,293,0.01,5,struct+input,qt_then_rd,rf,0.9799983451039995,0.0012423134742893319,0.034175121992769744,0.0008160282942504564
Ar,273,0.05,15,struct+input,qt_then_rd,rf,0.9431964469653422,0.003774048425175542,0.261490030372281,0.007639616172386606
Ar,293,0.1,1,struct+input,qt_then_rd,cat,0.990463784362961,0.0014664875207443643,0.0104553025445347,0.00018141865882781221
He,293,Henry,1,struct+input,qt_then_rd,cat,0.9973531195382623,0.0008024089312055639,0.0003490980789061,9.074176978485113e-06
Ar,273,0.05,1,struct+input,qt_then_rd,rf,0.97882895145544,0.0028619517313784484,0.01735723288966438,0.0007158207649049874
He,313,0.5,5,struct+input,qt_then_rd,cat,0.9966183220943536,0.0003983182299111292,0.00191594074491962,3.832273901900273e-05
Ar,293,0.01,15,struct+input,qt_then_rd,rf,0.9558680796242636,0.002769576524704732,0.18433599870351555,0.004156661113874928
