fold,R2,MAE,RMSE,MAPE_percent,n_train,n_test
1,0.9376229930260851,0.2779873093478463,0.20512479972859826,7.3836076693509405,6212.0,1554.0
2,0.7699887488536958,0.2888221612839223,0.8738090479799631,7.036721677415005,6213.0,1553.0
3,0.9388916108335333,0.27325062624091323,0.19823936385971824,7.365637579001609,6213.0,1553.0
4,0.9405387509165366,0.2740477264009146,0.18458092381133562,7.433145816030086,6213.0,1553.0
5,0.9185832680917355,0.2873314422535664,0.26229654538409103,7.641500930790731,6213.0,1553.0
mean,0.9011250743443172,0.2802878531054326,0.34481013615274125,7.372122734517674,6212.8,1553.2
