run,R2,MAE,RMSE,MAPE_percent,n_train,n_test,quant_seed,rand_seed,N_bins,gamma
1,0.9380232204480119,0.27717563775514537,0.20380866460523547,7.353943683073644,6212.0,1554.0,1001.0,2001.0,10,0.5
2,0.9380660619001705,0.2776987628730468,0.20366778185499704,7.369820617797326,6212.0,1554.0,1002.0,2002.0,10,0.5
3,0.9376135411661775,0.2778378520138013,0.20515588186871161,7.381574424360251,6212.0,1554.0,1003.0,2003.0,10,0.5
4,0.937276221381149,0.2782334453531015,0.2062651472327489,7.381659051191016,6212.0,1554.0,1004.0,2004.0,10,0.5
5,0.9375342851311252,0.2773790659110814,0.2054165128144089,7.346543813730812,6212.0,1554.0,1005.0,2005.0,10,0.5
mean,0.9377026660053268,0.27766495278123526,0.20486279767522036,7.366708318030609,6212.0,1554.0,,,10,0.5
