name,gas,temp,pressure,cutoff,path,henry_coeff
HAJLEK_clean,helium,273.0,5.0,14.0,HAJLEK_clean_helium_273.0K_5.0bar_14.0/Output/System_0,4.8149e-08
JOHFIW_manual,helium,273.0,5.0,14.0,JOHFIW_manual_helium_273.0K_5.0bar_14.0/Output/System_0,2.11872e-07
PAQVEK_clean,helium,273.0,5.0,14.0,PAQVEK_clean_helium_273.0K_5.0bar_14.0/Output/System_0,1.77924e-07
FURFIJ_clean,helium,273.0,5.0,14.0,FURFIJ_clean_helium_273.0K_5.0bar_14.0/Output/System_0,6.10995e-08
HABDAS_clean,helium,273.0,5.0,14.0,HABDAS_clean_helium_273.0K_5.0bar_14.0/Output/System_0,3.57419e-07
MIXYID_clean,helium,273.0,5.0,14.0,MIXYID_clean_helium_273.0K_5.0bar_14.0/Output/System_0,2.97264e-07
JORLEJ_clean,helium,273.0,5.0,14.0,JORLEJ_clean_helium_273.0K_5.0bar_14.0/Output/System_0,3.38127e-07
FUTYOK_clean,helium,273.0,5.0,14.0,FUTYOK_clean_helium_273.0K_5.0bar_14.0/Output/System_0,2.81476e-07
ULAQEF_clean,helium,273.0,5.0,14.0,ULAQEF_clean_helium_273.0K_5.0bar_14.0/Output/System_0,1.52133e-07
SIVWUR_clean,helium,273.0,5.0,14.0,SIVWUR_clean_helium_273.0K_5.0bar_14.0/Output/System_0,6.14753e-08
CADPII_clean,helium,273.0,5.0,14.0,CADPII_clean_helium_273.0K_5.0bar_14.0/Output/System_0,3.16667e-08
LOFVUY01_clean,helium,273.0,5.0,14.0,LOFVUY01_clean_helium_273.0K_5.0bar_14.0/Output/System_0,2.35211e-07
VANHEA_clean,helium,273.0,5.0,14.0,VANHEA_clean_helium_273.0K_5.0bar_14.0/Output/System_0,3.22877e-07
DIYKED_clean,helium,273.0,5.0,14.0,DIYKED_clean_helium_273.0K_5.0bar_14.0/Output/System_0,4.78955e-08
QODHUO09_clean,helium,273.0,5.0,14.0,QODHUO09_clean_helium_273.0K_5.0bar_14.0/Output/System_0,1.04969e-07
BEPVAV_clean,helium,273.0,5.0,14.0,BEPVAV_clean_helium_273.0K_5.0bar_14.0/Output/System_0,5.89837e-08
XIGHAX_clean,helium,273.0,5.0,14.0,XIGHAX_clean_helium_273.0K_5.0bar_14.0/Output/System_0,1.95501e-07
BAKGIF_manual,helium,273.0,5.0,14.0,BAKGIF_manual_helium_273.0K_5.0bar_14.0/Output/System_0,2.24571e-07
VAMQIM_clean,helium,273.0,5.0,14.0,VAMQIM_clean_helium_273.0K_5.0bar_14.0/Output/System_0,2.7829e-07
EVUQOC_clean,helium,273.0,5.0,14.0,EVUQOC_clean_helium_273.0K_5.0bar_14.0/Output/System_0,1.28906e-07
XOVPIH_clean,helium,273.0,5.0,14.0,XOVPIH_clean_helium_273.0K_5.0bar_14.0/Output/System_0,8.91269e-08
