name,He_293_0.01,He_293_0.05,He_293_0.1,He_293_0.2,He_293_0.35,He_293_0.5,He_293_1,He_293_5,He_293_15,He_273_0.01,He_273_0.05,He_273_0.1,He_273_0.5,He_273_1,He_273_5,He_273_15,He_313_0.01,He_313_0.05,He_313_0.1,He_313_0.5,He_313_1,He_313_5,He_313_15
ABEXOW_clean,8.01263e-05,0.000375901,0.0007636726,0.0015787842,0.0027124225,0.003860899,0.0075318691,0.0387919945,0.1139039399,7.4191e-05,0.0004540488,0.0009357956,0.0043851816,0.0090344839,0.0438913884,0.1318472776,7.71586e-05,0.000334354,0.0006934384,0.0035384152,0.0068384307,0.0345265073,0.1019037949
ABEXUC_clean,6.56547e-05,0.0003449322,0.000719262,0.001537496,0.0027506381,0.0036786233,0.0076306445,0.0376779608,0.1117952624,7.83937e-05,0.0004537034,0.00086723,0.0042744148,0.0086076257,0.043775029,0.1276004076,5.78153e-05,0.0003527715,0.0006849647,0.0033542691,0.0066909003,0.0332977142,0.0983193894
ABEYAJ_clean,6.74279e-05,0.0003631476,0.000782164,0.0014853409,0.002482311,0.0036035411,0.0073457912,0.0358957392,0.1065881424,6.83912e-05,0.0004228694,0.0007889067,0.0041246623,0.0082570314,0.0411242934,0.1231233969,6.45382e-05,0.0003101684,0.0006213001,0.0031806717,0.0063468946,0.0320263394,0.0944096953
ABEYEN_clean,8.34334e-05,0.0003346926,0.0007192535,0.0014730312,0.002460806,0.0035253011,0.0070189551,0.0352635604,0.103500578,7.76794e-05,0.0003931919,0.0008132359,0.0040479583,0.008234973,0.0404738327,0.1190824858,7.67204e-05,0.0003116765,0.0006502052,0.0031416993,0.0063121687,0.0312165607,0.0931596308
ABEYIR_clean,5.86024e-05,0.0003242038,0.0007079552,0.0014697869,0.002394193,0.0035558445,0.0067988276,0.0341633289,0.102872793,6.80544e-05,0.0004187238,0.0008327216,0.0039490476,0.0079359039,0.0396955878,0.1183684109,5.38764e-05,0.0002712725,0.0006238323,0.0030416551,0.0061211188,0.0305649504,0.0905331997
ABIXOZ_clean,9.80605e-05,0.0005145294,0.0011928777,0.0022438559,0.0038555098,0.0055029269,0.0110231586,0.0560664032,0.165005897,0.0001245946,0.0005837486,0.0012586358,0.0063081763,0.0124248475,0.0622569076,0.182934825,9.92142e-05,0.0004799198,0.0009644543,0.0051383724,0.0102698229,0.0499831887,0.1475153573
ABIYIV_clean,5.13452e-05,0.0002534486,0.0005090821,0.0010421981,0.0018615362,0.002520284,0.0051006528,0.0257064598,0.0747465763,6.22697e-05,0.0002971466,0.0005800913,0.0029408774,0.0057779723,0.0293388587,0.0859059612,5.46225e-05,0.0002621882,0.0004184086,0.0022722975,0.0045544274,0.0228802896,0.066659163
ABULOB_clean,0.0001876438,0.0007445706,0.0016242447,0.0031599214,0.0056908609,0.008008637,0.0157740877,0.0788884522,0.2307913553,0.0002041564,0.0009742464,0.0018884467,0.0091585163,0.0184071054,0.0914320643,0.2674914786,0.0001336024,0.0007565796,0.0013465316,0.006854251,0.01378056,0.0687977197,0.2038652218
ABUWOJ_clean,0.0002300141,0.000890313,0.001764763,0.003727814,0.006349181,0.0087425169,0.0180977436,0.089959289,0.2651586133,0.0002101852,0.0009696281,0.0021434928,0.0102395901,0.0207865285,0.1021163249,0.3040805601,0.0001447502,0.0008149635,0.0016854476,0.0078442715,0.0160018397,0.0800706677,0.2321535796
ACAJIY_clean,0.0001134636,0.0005105862,0.0010968148,0.0023019357,0.0038835495,0.0052674616,0.0107738844,0.0544436165,0.1602312304,0.000130655,0.0006653093,0.0013443717,0.0064296037,0.0123847237,0.0622812005,0.1852740219,6.01701e-05,0.0004555735,0.0009661597,0.0048256411,0.0095842358,0.0479607191,0.1424277604
ACAJIZ_clean,8.74849e-05,0.0004228435,0.0009040103,0.0018226013,0.0030920432,0.0044589942,0.0088295922,0.0434900017,0.1294803327,8.74849e-05,0.0004574729,0.001018834,0.0050504278,0.0099860327,0.0498472352,0.1480043413,8.38397e-05,0.0004082627,0.000861179,0.0039304394,0.007765193,0.0392816153,0.1164459992
ACAJOF_clean,9.0726e-05,0.0005230089,0.0010460179,0.0021329514,0.0037535675,0.0052247525,0.0107448094,0.0534963423,0.157822393,0.0001191891,0.0006137349,0.0012132383,0.0060252758,0.0118246271,0.0602207429,0.1777251956,9.60629e-05,0.00048743,0.0008752394,0.0046341433,0.0095707077,0.0475244342,0.1427209548
ACAKUM_clean,5.99133e-05,0.0003438504,0.0006968181,0.001314186,0.0023262004,0.0033121655,0.0064706403,0.0322242575,0.0967300808,7.55429e-05,0.000376412,0.0007645462,0.0036442935,0.0077157957,0.0366734739,0.112402628,5.73084e-05,0.0003086839,0.0005835037,0.0028055068,0.0058350379,0.0288000801,0.0859183286
ACECIV_ion_b,1.58892e-05,6.46526e-05,0.0001271137,0.0002860058,0.0004618829,0.0006810444,0.0013242835,0.0065540254,0.0195256482,1.6985e-05,8.10898e-05,0.0001413592,0.0007867898,0.0015538552,0.0075555936,0.0229473075,1.04102e-05,5.97215e-05,0.0001123203,0.0005747511,0.0011599124,0.0057540858,0.0167444884
ACIBIY_clean,4.77824e-05,0.0003472965,0.0006468105,0.0013880204,0.0023949471,0.0032736771,0.0065357,0.0337705025,0.0995517165,9.32339e-05,0.0003962442,0.0007796688,0.0037270267,0.0075566117,0.0380277977,0.1120578856,6.29329e-05,0.0003053412,0.0005349298,0.0030650661,0.0058853932,0.0299001281,0.0876166054
ACIBOE_clean,0.0002369468,0.0011747571,0.0023569968,0.0047364412,0.0079190104,0.0114657294,0.0232033241,0.1168072746,0.3455955921,0.0002918186,0.0012296289,0.0026937103,0.0130220942,0.0262911146,0.1334135018,0.3888620721,0.0002643827,0.0010999317,0.0020302595,0.0102510644,0.0215870977,0.1060798214,0.3121836035
ACOCOM_clean,0.0010395098,0.0051928561,0.0105006918,0.0214753813,0.0369859004,0.0532918909,0.1060534675,0.5200810797,1.5213472686,0.0011474498,0.0058099913,0.0117443484,0.0578347561,0.1149726026,0.5699892839,1.6669983169,0.0011192916,0.0046461162,0.0098835562,0.0486997448,0.098105793,0.483367376,1.3952357199
ACOCUS_clean,0.0009931053,0.0053674422,0.010804986,0.0214043407,0.0374973205,0.052330809,0.1069001943,0.5334517848,1.5532073867,0.001194063,0.005598777,0.0113260734,0.0596587539,0.1169457468,0.5787537448,1.6761842037,0.0010538599,0.0047248443,0.0097441151,0.0493047553,0.0986445681,0.4897434667,1.4209491242
ACODAZ_clean,0.0011476426,0.005515324,0.0107176545,0.021961707,0.0376374622,0.0535953857,0.1087699657,0.534794359,1.5558856906,0.00118321,0.0058235747,0.0117253977,0.0590822517,0.1165805749,0.5870120993,1.7026677622,0.0008962994,0.0049272753,0.0099304278,0.0502757548,0.0992639753,0.4937044842,1.4342640242
ACODON_clean,0.0001698588,0.0009041441,0.001900295,0.0038359773,0.0067518862,0.0097421083,0.0194152115,0.0978333446,0.2891420947,0.0001910911,0.0010952351,0.0022028558,0.0109594286,0.0223842013,0.1108027696,0.3246408086,0.000185783,0.0008298309,0.0017074345,0.0087388799,0.0172459734,0.086829681,0.2575112065
ACODUT_clean,5.13488e-05,0.0003858495,0.0007628964,0.0014847137,0.0026173215,0.0036839093,0.0077081877,0.0373481795,0.1112977803,7.62896e-05,0.0004504023,0.0009257454,0.0045098911,0.0089244206,0.0444900634,0.1305169008,6.45528e-05,0.0003433034,0.0006572646,0.0031645529,0.0064684811,0.0321047339,0.0966457683
ACOGAB_clean,0.0001644276,0.0007387978,0.0014933627,0.0030723177,0.0053134879,0.0077438625,0.0152061709,0.0771030121,0.2259437425,0.0001779421,0.0008424097,0.0018875382,0.0086876312,0.0173797681,0.088214261,0.2565430362,0.0001126216,0.0006396908,0.0013717312,0.0068271221,0.0134763028,0.0676653205,0.2004326936
ACOGEF_clean,0.0001410797,0.0006542825,0.0014455553,0.0028297716,0.004770128,0.006857698,0.0134352813,0.0687978004,0.2016171392,0.0001594813,0.000740157,0.00164184,0.0080497185,0.0158459033,0.0797222728,0.2289088961,0.0001063209,0.0005663632,0.0012431366,0.006176835,0.0123250458,0.0604577437,0.1782776571
ACOLEL_clean,8.407e-06,4.9241e-05,9.60801e-05,0.0001909592,0.0003422853,0.0005392495,0.0009379819,0.0049036878,0.0144168182,2.402e-06,5.64471e-05,0.0001201001,0.0005320435,0.001036464,0.0055474245,0.0163588371,1.0809e-05,3.9633e-05,9.60801e-05,0.0004359634,0.0009139619,0.004037766,0.0128507127
ACOLIP_clean,0.0001284871,0.0007977708,0.001524586,0.0031354693,0.0054041299,0.0078664801,0.0152324357,0.0763194315,0.2238916831,0.0001610883,0.0009818717,0.0017719715,0.00910149,0.0177599883,0.08770876,0.2580385735,0.0001438289,0.0006481888,0.0013500736,0.0066640708,0.0133051289,0.0666675558,0.2004897678
ACOLOV_clean,0.000317421,0.0015344675,0.0030529842,0.0060278095,0.0107620086,0.014987377,0.0301087408,0.1500731554,0.4409281218,0.0003397521,0.0016716443,0.0033353132,0.0171359489,0.0339688358,0.1690338781,0.4967830581,0.0002663785,0.0013334874,0.0027945812,0.0138548698,0.0274816431,0.1352484766,0.4047373388
ACUBAB_clean,8.23789e-05,0.0003904344,0.0008196353,0.0016378861,0.0028022667,0.0038994981,0.007803842,0.038653697,0.113800549,0.0001024544,0.0004285085,0.0009061675,0.004540529,0.0091232887,0.0449276454,0.1315673906,5.81498e-05,0.0003232851,0.0007095658,0.0033934553,0.0070652011,0.0344772951,0.1025208717
ACUFEK_clean,0.0005562702,0.00292481,0.0057852098,0.0116641072,0.0203477774,0.0292539556,0.0588650952,0.2898109045,0.860561668,0.0006616687,0.0032439332,0.0063063467,0.0325359473,0.0639154428,0.32094154,0.946657652,0.0005387037,0.0027052297,0.0052992053,0.0270318027,0.0531677176,0.2653760052,0.7791676308
ACUJOZ_manual,0.0004161571,0.0022075716,0.0044658577,0.0089645307,0.0154231693,0.0218818079,0.0446153208,0.2185943385,0.6359357534,0.0004698547,0.0023999881,0.0048730647,0.0245487908,0.0484636551,0.2430968919,0.6996062954,0.0003684258,0.0020613946,0.0039646793,0.0202186712,0.0396482846,0.2001238254,0.5804541088
ACUTOI_clean,6.56047e-05,0.0003406053,0.0006389719,0.0012554765,0.0022089916,0.0030942059,0.0064418438,0.0314075831,0.0912345892,6.74021e-05,0.0003630726,0.0007719787,0.0035821968,0.0072371886,0.0355613501,0.1066031676,5.21243e-05,0.0002974679,0.0005140533,0.0027814599,0.0054712535,0.0277921342,0.0819097328
ADABIS_clean,3.4125e-05,0.0001339723,0.0002110695,0.0004689029,0.000844278,0.0011160142,0.0023533618,0.0113067534,0.0337862881,2.275e-05,0.0001327084,0.0002401389,0.0013131809,0.0026175147,0.0132544068,0.0391274842,1.01111e-05,8.46806e-05,0.0002161251,0.0010288059,0.0019830423,0.0098697113,0.0293626756
ADABUE_clean,5.6875e-05,0.0003052293,0.000502396,0.0009801461,0.0017631255,0.0025783341,0.0050637724,0.0248430076,0.0734237516,5.30833e-05,0.0003241876,0.0005270418,0.0028759799,0.0059567102,0.0291048422,0.0847835884,3.60208e-05,0.0001971667,0.0004663751,0.0020986881,0.0045329389,0.0227215694,0.0660186243
ADARAA_clean,0.0003544429,0.0015595486,0.0032576521,0.0064524711,0.0108362849,0.0154988196,0.0317564691,0.1565992995,0.4672314099,0.0003641095,0.0018350473,0.0034977064,0.0175980871,0.0348594552,0.1743987754,0.5201883952,0.0002690543,0.0014806044,0.0027855985,0.0144403236,0.0287130938,0.1427421948,0.4214180593
ADASAB_charged,,,,,,,,,,0.0010716723,0.0053324934,0.0115592788,0.0562701847,,,,,,,,,,
ADASEF_clean,0.000824489,0.0040655839,0.008401259,0.0159448599,0.0284922563,0.0408122075,0.0819561061,0.4049852262,1.2043131363,0.0009003041,0.0046010276,0.009145194,0.0453753252,0.089082724,0.4446317768,1.3248828124,0.0007060279,0.0038570922,0.0079131989,0.0377416943,0.0754075782,0.3726169237,1.110615169
ADASIJ_clean,0.0005343136,0.0025661844,0.0051822874,0.01053097,0.0179189188,0.0263200298,0.0523035714,0.2600369392,0.7526315677,0.000586081,0.0028897304,0.005631554,0.0290581529,0.0576282192,0.2911251171,0.8232737437,0.0004326276,0.0023609634,0.0049012638,0.0240089822,0.0476278651,0.2387291039,0.6904921887
ADASOP_clean,0.0005620276,0.0025934086,0.0053888533,0.0103001667,0.0184109969,0.026117755,0.051622055,0.2595649349,0.7619037699,0.0006024348,0.0028652387,0.0059031263,0.029232781,0.0574847747,0.2884707879,0.8585394635,0.0004481528,0.0022260703,0.0050472286,0.02353904,0.0472948095,0.2373042324,0.6958342985
ADASUV_clean,0.0005679892,0.0025707045,0.0049164263,0.009961941,0.0182863027,0.0258951454,0.0515837493,0.2569671803,0.7541237291,0.0005458597,0.0027034809,0.0056098151,0.0286318177,0.0567435996,0.2842675458,0.8407826576,0.0004610302,0.0023494097,0.0045365374,0.0232543643,0.0463390695,0.2308618051,0.6891147797
ADATAC_clean,0.0011553742,0.0055511699,0.0105864517,0.0213072493,0.0373911326,0.0543670722,0.1073960598,0.5328639427,1.5744579423,0.0011392526,0.0059434592,0.0117901894,0.0582039843,0.1176009694,0.5888485386,1.6946759685,0.0009941592,0.0051535062,0.0100221992,0.049826183,0.0990451228,0.4925601924,1.4651702932
ADATEG_manual,0.0015550728,0.0079476711,0.015654112,0.0311703782,0.0549530838,0.077094563,0.1533017438,0.7769677681,2.2219448264,0.0017919951,0.0083741309,0.0161021097,0.0839954623,0.1673663216,0.8350826895,2.3947517488,0.0014904575,0.0074996718,0.0144048836,0.0713308861,0.1435319238,0.7053999595,2.0457865283
ADATIK_clean,0.0010531237,0.0046441027,0.0094694807,0.0188267433,0.0328367408,0.0474941503,0.0959594187,0.4797539327,1.4033563241,0.0010574397,0.0054382611,0.010272271,0.0525353288,0.1045225225,0.5218572984,1.5126394834,0.0009020608,0.0044369305,0.0091241943,0.0447361748,0.0894162406,0.4410386902,1.3010436348
ADATOQ_clean,0.0004407145,0.0022268189,0.0044487947,0.0086622188,0.0152700302,0.0216608744,0.0435609938,0.2171298527,0.6243955541,0.0004910818,0.0024709068,0.0050377053,0.0243003174,0.0487236491,0.2405216211,0.696326937,0.0003651634,0.0019536727,0.0040012999,0.0198602403,0.0400246234,0.198257587,0.5726566431
ADATUW_clean,0.0004513691,0.0021105865,0.0041427161,0.0085333946,0.0146685276,0.0210235335,0.0426301661,0.212466028,0.6088862789,0.0004978621,0.0022868722,0.00456987,0.0231002181,0.0469917865,0.2317315466,0.6690985312,0.0003486972,0.0019652959,0.0039315604,0.019320729,0.0385261941,0.1945236215,0.5540662409
ADAVAE_clean,0.0004019703,0.0021367388,0.0041601509,0.0082796206,0.0145154883,0.0207126118,0.0419085567,0.2064180694,0.5962101682,0.0004978621,0.0023537058,0.0046609187,0.0229181207,0.0466953939,0.2289487495,0.6626176068,0.0003932529,0.0019449553,0.0037049074,0.0189487853,0.037825894,0.1893599976,0.539342503
ADAVEI_clean,0.0004000331,0.0020747482,0.004235702,0.0082524997,0.0146394695,0.0209421708,0.0419473008,0.2084317955,0.5962372891,0.00047849,0.0023527372,0.0046812593,0.0232784411,0.0459224485,0.2307890957,0.6640424222,0.0004116564,0.0019013681,0.0038928164,0.0192093396,0.0383576572,0.1907819071,0.5454989452
ADAVIM_clean,0.0004248725,0.0021846416,0.0042944202,0.0085392557,0.0150960974,0.0214312665,0.0430326765,0.2145868392,0.6149469707,0.0004511231,0.0025968748,0.0048262398,0.0237452164,0.0478559997,0.2354882305,0.6800039851,0.0003733433,0.001884217,0.0038880205,0.019552883,0.0397785618,0.195276046,0.5624533472
ADAXEK_clean,0.0001291929,0.0007466909,0.0015021407,0.0026320308,0.0049180876,0.0071844369,0.0140075718,0.0701188783,0.2071005368,0.0001532797,0.0008167616,0.0014999509,0.0083208954,0.0165279275,0.0798389989,0.2363200207,0.0001182443,0.0006393952,0.0012700315,0.0063370194,0.0122098203,0.0625337245,0.182840745
ADAXIO_clean,0.0001363094,0.0005928639,0.0013483136,0.0024979111,0.0043799665,0.0062965097,0.0128656383,0.0632048705,0.1865632512,0.0001100329,0.0006996121,0.001427143,0.0072703823,0.0144964245,0.0714885416,0.2129514407,0.0001133175,0.0005846524,0.0011003289,0.0055361326,0.0112135025,0.0563877573,0.1653482505
ADEGIA01_clean,9.46755e-05,0.0004888696,0.0010121667,0.0019451502,0.0033360187,0.0047802498,0.0095450072,0.0464443351,0.1365994667,9.81182e-05,0.0004940337,0.0010500368,0.005449863,0.0106070936,0.0546501149,0.1603423492,8.60686e-05,0.0004251789,0.0008813424,0.004091701,0.0084932489,0.0412802194,0.1224101982
ADEGIA_clean,9.81182e-05,0.0005009192,0.00095364,0.0020277761,0.0035597971,0.0051021463,0.0098858388,0.048212184,0.1452734597,9.81182e-05,0.0006128083,0.001148155,0.006033408,0.0111183411,0.05675191,0.1672071803,0.000106725,0.0003787018,0.000838308,0.0044308109,0.0085707107,0.0431255301,0.1272902875
ADIQEL_clean,0.0001231661,0.0006236508,0.0012375265,0.0025004682,0.0044965417,0.006363584,0.0122129982,0.0616143513,0.1799672388,0.0001681315,0.0007389968,0.0013430973,0.0070595699,0.01456293,0.0717315701,0.2136463361,0.0001016609,0.0005102597,0.0010381146,0.005172978,0.0107134993,0.0532155935,0.1574415199
ADOBAX_charged,,,,,,,,,,8.69201e-05,0.0004616738,0.0008335776,0.0041579137,,,,,,,,,,
ADOBEB_charged,,,,,,,,,,6.55463e-05,0.0004459997,0.0008150537,0.0042747571,,,,,,,,,,
ADOBIF_clean,0.0001349594,0.0005919811,0.0010965453,0.002203826,0.0036607743,0.00529409,0.0106740633,0.0531310701,0.1574945765,0.000124224,0.0005689767,0.0012637112,0.006126852,0.0122797736,0.0606642595,0.1776510727,9.04842e-05,0.0004662235,0.0010597384,0.0047849257,0.0093137336,0.0469643447,0.1402780486
ADOBOL_charged,,,,,,,,,,8.3765e-05,0.0003875908,0.0008135147,0.0036743036,,,,,,,,,,
ADOBUR_charged,,,,,,,,,,8.44145e-05,0.0003619807,0.0007554381,0.0038215438,,,,,,,,,,
ADOCEC_clean,0.0001124458,0.0005606454,0.0010531899,0.0021903182,0.0038770057,0.0053752276,0.0111701475,0.0545235599,0.1631953322,0.0001108621,0.0006430002,0.0013208429,0.0062462881,0.0122660984,0.0634337045,0.185382004,8.86897e-05,0.0004703721,0.0009676679,0.0049492005,0.0100013443,0.048400805,0.1465232576
ADODAA_charged,,,,,,,,,,0.0002532129,0.0013562897,0.0028246334,0.0140620464,,,,,,,,,,
ADODII_clean,0.0001453867,0.0006617601,0.0013686402,0.0026921603,0.0047175473,0.0064571741,0.013007095,0.0637144614,0.1887896238,0.00013536,0.0006667734,0.00153408,0.0075400535,0.0149297086,0.0724677425,0.2174734141,0.00010528,0.0005990934,0.0010502935,0.0058254941,0.0115306681,0.0566180871,0.1686560746
ADODOO_clean,0.0001055749,0.000554882,0.0011539581,0.0023987597,0.0042573687,0.0060938807,0.0119201414,0.059355184,0.1755808592,0.0001399481,0.0007365689,0.0014805035,0.0066978666,0.0138990567,0.0679411231,0.2037767199,9.5754e-05,0.0005205087,0.0010385623,0.0052910205,0.0105894068,0.0533005869,0.1560347736
ADODUU_clean,0.0001141473,0.0005585929,0.0011147572,0.002333947,0.0042453063,0.0060133744,0.011779025,0.0591015614,0.1752111749,0.0001068612,0.0006581681,0.0013770529,0.0066909713,0.0132993692,0.0657318167,0.1998888394,0.0001020039,0.000478447,0.0011171859,0.0052604883,0.0102878247,0.0521725803,0.1532487578
ADOGEH_clean,0.0003036924,0.0015028597,0.0029466526,0.005780744,0.0102960099,0.0145086978,0.0292414036,0.1441519394,0.4162464427,0.0003393554,0.0016282371,0.0032614894,0.0163041036,0.0330367233,0.1619059671,0.4722673907,0.000250198,0.0013524066,0.0026039538,0.0130058381,0.0258929854,0.1297624897,0.3754374216
ADUROI_clean,0.0008111043,0.0040466329,0.0083999299,0.0167287493,0.0295530867,0.0421596482,0.0831970835,0.4199342736,1.193525596,0.0009133256,0.0043644077,0.0090377016,0.0456573929,0.0918481224,0.4540828775,1.3130734873,0.0008133265,0.0038288569,0.0078154903,0.0385796781,0.0777237959,0.3839190186,1.1050463343
ADUWIH_clean,0.00033413,0.0019980973,0.0038732347,0.0076074714,0.0135095434,0.0192338582,0.038171009,0.1906331829,0.5510124154,0.0004116481,0.0021544699,0.0042407773,0.0212439821,0.0428020506,0.2126844251,0.6089545636,0.0003287839,0.0017307933,0.0033493189,0.0172825391,0.0343004473,0.1719138848,0.507254753
ADUWON_clean,0.0006774941,0.0031930593,0.0065275086,0.0121713293,0.0212497506,0.0310822523,0.0609332326,0.2987572361,0.8937679258,0.0006833853,0.0032932102,0.0068633093,0.0344932842,0.0674430675,0.3334095879,0.9983494539,0.0005655603,0.00272765,0.0055377775,0.0280718219,0.0559374499,0.2713864734,0.8171580682
AFEJOK_ion_b,0.000192789,0.0010069517,0.0019753456,0.0036867185,0.0065637233,0.0093873404,0.0184588034,0.0927567107,0.2756229912,0.0002328298,0.0010825842,0.0020880529,0.0106434344,0.021008067,0.1043284986,0.3105904633,0.0001527482,0.0008690334,0.001686162,0.0083700075,0.0166258251,0.0827331667,0.2471272968
AFEKAX_clean,,,,,,,,,,0.0003233217,0.0015928349,0.0034115195,0.0160258207,,,,,,,,,,
AFENEE_clean,7.97978e-05,0.0004509504,0.0008202473,0.0015551294,0.0027725099,0.0040529864,0.0082395878,0.0402180961,0.1192884468,9.64997e-05,0.0004787868,0.0009093238,0.0045781672,0.0092918054,0.0465091328,0.1372782135,7.42305e-05,0.0003822872,0.0007460167,0.0035927572,0.0072411873,0.0353467182,0.1051549557
AFIPAH_clean,6.70835e-05,0.0003880319,0.0007997403,0.001499513,0.0026728162,0.0038092892,0.0075094033,0.0382362666,0.1132237556,0.0001104904,0.000457746,0.0008221013,0.0043328029,0.0087853048,0.0439725615,0.1283714678,5.65606e-05,0.0002985872,0.0006274277,0.0034462489,0.0067017709,0.034048153,0.1005147251
AFITEP_clean,0.0001466575,0.0008979554,0.0016904203,0.0034580288,0.0059177577,0.0083697677,0.0169736728,0.0840244403,0.248705345,0.0001955433,0.0009031012,0.0019657246,0.0097720184,0.0193201924,0.0972287588,0.2892445581,0.0001518033,0.0007718814,0.001451137,0.0073225814,0.0145705486,0.0741314932,0.219844698
AFITUF_clean,0.0001399879,0.0006354715,0.0013096239,0.0025934606,0.0046306534,0.0067507338,0.0132970115,0.0662474466,0.1968874997,0.0001289362,0.0007312527,0.0014956605,0.0076532872,0.0152586845,0.0747811846,0.2248961377,0.0001142007,0.0006023165,0.0011438487,0.0060231649,0.0117074117,0.0593217279,0.1739055336
AFIXAO_clean,0.0001338015,0.0006744028,0.0012970114,0.0026382636,0.0046172311,0.0065756967,0.0133175663,0.0664982707,0.194121171,0.0001370386,0.0006474266,0.0014869232,0.0073018934,0.0152328701,0.073596225,0.2185464206,0.0001132997,0.000606423,0.0011934231,0.0059056101,0.0119935788,0.0596323111,0.1747900901
AFIXES_clean,0.00014675,0.0006959837,0.0014362081,0.0026976111,0.0047046337,0.0066997868,0.0131557096,0.0672190724,0.1968392839,0.0001780423,0.0007855443,0.0015344011,0.0076299229,0.0148972873,0.0749525838,0.2215353736,0.0001240901,0.0005664983,0.0012311897,0.0059865383,0.0122266524,0.0599581825,0.1767420815
AFOQUI_clean,6.44078e-05,0.0002960019,0.000679708,0.0011853778,0.0021857544,0.0030504635,0.0061913721,0.0303977457,0.0905532703,6.02967e-05,0.0003371132,0.0006934117,0.0035451701,0.0071054148,0.0356901492,0.1044215052,5.0704e-05,0.0002699646,0.0005138921,0.0026763499,0.0052677367,0.0269964652,0.0795724238
AFOTOF_clean,0.0002216392,0.0011102294,0.0021675908,0.004516153,0.0075865677,0.0112934326,0.0222310225,0.1111286786,0.3281541306,0.0002826408,0.0013156014,0.0024461646,0.0126334339,0.0248540921,0.12425826,0.3693505558,0.0001748713,0.0009902596,0.0021533571,0.0100388327,0.020274904,0.0997274765,0.2954369301
