name,He_293_0.01,He_293_0.05,He_293_0.1,He_293_0.2,He_293_0.35,He_293_0.5,He_293_1,He_293_5,He_293_15,He_273_0.01,He_273_0.05,He_273_0.1,He_273_0.5,He_273_1,He_273_5,He_273_15,He_313_0.01,He_313_0.05,He_313_0.1,He_313_0.5,He_313_1,He_313_5,He_313_15
1499489-acs.cgd.6b01265_1499490_clean,0.0003010645,0.0015154139,0.0027566741,0.0055453048,0.0101739608,0.0143283141,0.0286364452,0.142601962,0.4227802957,0.0003498403,0.0016331485,0.003331892,0.0161212444,0.0322155803,0.1620988298,0.4717495252,0.0002455609,0.0013640406,0.0026406211,0.0128768134,0.0257334436,0.1270307057,0.3772674209
ABAYIO_clean,0.0002638719,0.0013045417,0.0026296005,0.0052073385,0.0091785254,0.0129884255,0.0258560284,0.1289336322,0.3735451797,0.0002786895,0.0015045812,0.0028826407,0.0144724749,0.0291512929,0.1460562411,0.4206625597,0.0002342362,0.0011723208,0.0023993537,0.0119095712,0.0234173504,0.1172018754,0.337595338
ABAYOU_clean,0.0002520554,0.0013034064,0.0025692845,0.0051816986,0.0090062189,0.0129091565,0.0254867202,0.1288781584,0.3663737034,0.0002823017,0.0014411951,0.0029568864,0.0143889857,0.028881066,0.142283584,0.4133277006,0.0002145269,0.0011818584,0.0023502738,0.0115379624,0.0232635917,0.1152240382,0.3315077223
ABEFUL_clean,4.78766e-05,0.0003198154,0.0006262254,0.0012390454,0.0021525302,0.0030526095,0.0058237049,0.0297217692,0.0880698919,4.97916e-05,0.000369607,0.0007028279,0.0033685946,0.0070512599,0.0342374865,0.1010386948,6.1282e-05,0.0002719388,0.0005074915,0.0026236356,0.0050691703,0.0251677507,0.0753366417
ABESUX_clean,6.54623e-05,0.0003419078,0.0006378151,0.0012986305,0.0022845459,0.0031510368,0.0064644023,0.0320782973,0.094896011,7.87317e-05,0.000380389,0.0007391047,0.0036765042,0.0072862196,0.0359494194,0.1059299474,6.41354e-05,0.0003029843,0.0005586411,0.0028613217,0.0058159717,0.0287114119,0.0864327969
ABETAE_clean,6.23661e-05,0.0003326193,0.000684258,0.0012628032,0.0023137385,0.003332385,0.0065179222,0.032626323,0.0968324567,7.9174e-05,0.0003901199,0.0007638743,0.0036911006,0.0073384125,0.0366986974,0.1082074163,5.30775e-05,0.0003184652,0.0006068532,0.002969246,0.0058540106,0.0292797839,0.0868897061
ABETIN_clean,0.000464415,0.0024835351,0.0047283521,0.0098100069,0.0170696377,0.0242893375,0.0487618367,0.2443768983,0.7069446347,0.0005824719,0.002763052,0.0053637758,0.0269994368,0.0545474925,0.2679127551,0.7856998665,0.0004505259,0.0022205112,0.0043229655,0.0221070204,0.0444788021,0.2231509636,0.6387554947
ABEXEM_clean,7.95911e-05,0.0004278019,0.0008347112,0.0015788875,0.0028025999,0.0040830209,0.0082038476,0.0403427143,0.1206849065,8.95399e-05,0.0004845105,0.000960067,0.0047167643,0.009490238,0.0459797505,0.1371781621,7.85962e-05,0.0003541801,0.0007053756,0.0035238938,0.0071731435,0.0360089815,0.1071464686
ABEXEN_clean,0.0004145466,0.0023226509,0.0045223263,0.0088482884,0.0160344235,0.0225818792,0.0456754954,0.2224250643,0.6587085582,0.0004561995,0.0025725687,0.0051034844,0.025313124,0.0500649288,0.248081332,0.7226122021,0.0003947118,0.0020171954,0.0041474492,0.0206341054,0.0411472187,0.206878576,0.6053312238
ABEXIQ_clean,9.51792e-05,0.0004203748,0.0008675188,0.001577397,0.0027165731,0.0039995094,0.0078850021,0.0394706171,0.1164398571,8.12989e-05,0.0004689558,0.0008744588,0.004446653,0.0089438707,0.0449652331,0.1344931707,7.73331e-05,0.0003212298,0.0007168183,0.0034621432,0.0071592607,0.0348524428,0.1037403737
