name,N2_293_0.01,N2_293_5
AMUWUB_clean,0.0014907448,0.6637605357
AMUXAI_clean,0.0011348219,0.5504617069
ANAWIX_clean,0.0067089215,1.5931232363
ANAWOD_clean,0.0046415525,1.5697196376
ANENEN_clean,0.0030117294,0.9107927359
ANENIR_clean,0.0031324658,0.8792505968
ANIDIL_clean,0.0010875428,0.3867149348
ANOMOG_clean,0.0047205568,1.7747047033
ANOMUM_clean,0.0047560991,1.9099222342
ANONAT_manual,0.0040011628,1.7348495863
ANUGEW_clean,0.0028749451,1.3694258612
ANUGIA_clean,0.0034510101,1.4704227716
ANUGOG_clean,0.0033675734,1.5392649185
APACAX_clean,0.0067915314,2.2872210862
APARAM_clean,0.0047847257,1.3431801934
APAYIB_clean,0.0072979521,2.2996495068
APAYOH_clean,0.0066773177,2.1858721402
APAYUN_clean,0.0061553121,2.0780534479
APAZAU_clean,0.0060119713,2.1651857381
APAZEY_clean,0.0055314321,2.0498004599
APAZIC_clean,0.0052454174,1.940739152
APAZOI_clean,0.0059866684,1.94356475
APEBEE_clean,0.0062620346,1.5903604994
APEBII_clean,0.0424890071,2.8669066097
APEBUU_clean,0.0031886916,0.9817882085
APUPEH_clean,0.0032886782,1.5561822751
AQEGUY_clean,0.0117463665,2.1543587046
AQEQES_clean,0.0047749123,1.6590337244
AQEQIW_clean,0.0056563187,1.9166887173
AQIQAU_clean,0.0037881301,1.5695581512
AQIXUU_clean,0.0050604211,1.1412287063
AQIXUV_clean,0.0014834131,0.6408372527
AQOLEZ_clean,0.0042474413,1.6445962186
AQOLID_clean,0.0044955429,1.5657351817
AQOLOJ_clean,0.0110207215,2.6911546713
AQOLUP_clean,0.0042025654,1.6312217447
AQOMAW_clean,0.0044872291,1.508734779
AQOMEA01_clean,0.0040165197,1.5999970763
AQOMEA_clean,0.0041116098,1.5724230377
AQOTIK_clean,0.004979174,1.5746525084
AQUCOF_clean,0.0022086226,0.9750616086
AQUCOG_clean,0.0025175113,1.1356454923
AQUCUM_clean,0.0025968802,1.168654943
AQUDAS_clean,0.0022991971,0.9806451739
AQUDIB_clean,0.0025175113,1.1137797968
ARADEE_clean,0.0039769946,1.5787722067
ARAFEF_clean,0.003303405,1.4921795668
ARAFIJ_clean,0.003513055,1.5085266051
ARAFOP_clean,0.0044026512,1.3072621715
ARAGOR_clean,0.0056834044,1.7120305401
ARINUL_clean,0.0020944319,0.8120436595
AROFAP_clean,0.0073693845,2.058267601
AROFET_clean,0.0033786712,1.4084555767
ARUYES_clean,0.0066187221,1.7091225085
ARUYUH01_clean,0.0055872861,1.8334522429
ARUYUH_clean,0.0041826442,1.4735833893
ASACON_clean,0.0037343408,0.9380963251
ASADAA_clean,0.0024252346,0.865230175
ASAHEJ_clean,0.0006434504,0.2817339718
ASANAL_clean,0.0039960196,1.1327380549
ASECUY_clean,0.0019959221,0.721878164
ASEJOZ01_clean,0.002891476,0.8306631328
ASEJOZ_clean,0.0029066761,0.8351762327
ASEKAM_clean,0.0040690217,1.2752311907
ASINAT_clean,0.003405731,1.4075484234
