,MOF,15bar time (s),1bar time (s),5bar time (s)
89,MEMGAN_clean,1424.8,234.7,812.4
90,XOKHAH_clean,1411.8,495.4,707.8
91,WAYMIU_manual,1460.9,236.1,590.3
92,INOVEN_clean,988.7,198.9,418.9
93,HIFGEK_clean,901.6,273.8,386.6
94,HOBGOV_clean,2862.4,567.7,1682.9
95,HUZYAE_clean,4627.5,519.1,1932.5
96,SANGUM_clean,2070.3,307.4,1044.9
97,FAJYAS_clean,2284.6,391.3,848.4
98,TEBFUD_clean,455.5,249.1,261.7
99,UJIPEK_clean,409.8,196.7,211.7
100,HAMJOW_clean,4832.5,483.5,2126.8
101,PESTUD_clean,2206.7,508.9,1442.9
102,GACBIY_clean,3621.3,416.6,1678.0
103,KECRAL11_clean,930.2,162.6,333.8
104,QULMIU_clean,827.2,261.5,328.9
105,EHIHOU_clean,584.7,399.3,573.9
106,ILUFOL_clean,977.3,291.0,408.6
107,EGEJIK_manual,547.4,162.5,203.0
108,WONXIH_clean,1335.1,543.8,630.7
109,AWAGEL_clean,2271.7,442.6,852.0
110,YUYLIP_clean,1530.1,341.4,762.0
111,IRAJER_clean,3148.2,1249.9,2393.4
112,XIMPOA01_clean,315.1,247.0,310.7
113,MUVHAN_clean,1497.2,273.3,858.1
114,PAHPOG_clean,3857.8,473.7,1620.4
115,UYAMOY_clean,4651.3,608.2,2417.6
116,cm503311x_alf450K_clean,789.5,189.2,304.9
117,UHAXUW_clean,1496.1,382.4,810.3
118,HAJYEZ_clean,1151.8,333.4,780.9
119,c5ra23254f_c5ra23254f2_clean,2248.3,483.9,1393.3
120,QOKCID_clean,1164.0,443.9,877.4
121,YEMTIV_clean,3664.0,488.5,1956.1
122,VUCDAA_clean,1010.9,263.0,577.0
123,BEXVIL_clean,786.6,171.9,254.6
124,SERJOP_clean,1658.2,325.8,641.1
125,DALSER_clean,1097.7,230.1,452.8
126,EYIYES_clean,1314.3,218.7,477.4
127,MIFROK_clean,646.7,289.7,327.0
128,IKOTUZ_clean,2119.9,311.4,939.4
129,HAKSEU_clean,3523.9,386.8,1681.5
130,LUJJOQ_clean,1636.0,927.3,1434.3
131,HUZXOR_clean,3754.5,488.4,1387.4
132,UNIPAJ_clean,1252.1,373.5,668.7
133,VAMQIM_clean,3860.8,389.6,1307.6
134,GUJGEY_clean,2656.4,662.0,1300.7
135,XILSIW_clean,564.1,237.9,255.5
136,MISQIQ05_clean,1010.8,282.2,599.6
137,ja5b02777_si_004_clean,402.1,215.2,228.3
138,ZASJAG_clean,800.8,290.5,328.5
139,PIZSAU_clean,1214.3,304.5,654.1
140,SEFVEG_clean,685.5,263.0,280.7
141,PEGCIP_clean,2792.6,421.3,1502.0
142,ic502478u_si_003_clean,1276.1,665.5,715.3
143,ESURER04_clean,1957.7,309.5,919.4
144,LAMGUB_clean,790.4,307.4,353.6
145,WECBAJ_clean,935.0,414.8,514.6
146,ILASIZ_clean,642.9,181.7,229.2
147,FIPJAR01_clean,618.7,154.5,206.0
148,MAQJEW_clean,66.7,65.0,65.0
149,OKIQAB_clean,951.9,426.9,626.7
150,c5dt01526j_c5dt01526j2_clean,1687.4,284.1,663.1
151,UNAGUN_clean,1671.3,236.6,624.8
152,JAKBOP01_clean,452.0,170.8,185.5
153,PALTIH_clean,843.7,266.1,318.2
154,SESDEA_clean,434.1,247.3,409.2
155,acs.cgd.6b00119_OLISUZ1440339_clean,1334.5,295.8,434.1
156,QUQPOI_SL,1316.2,204.2,568.7
157,DEPXAY_clean,1887.0,230.1,808.1
158,NUNSIA_clean,2568.2,564.9,1314.2
159,ZAYJUG_clean,1450.5,436.6,545.2
160,RAXQEO_clean,1324.5,356.8,496.3
161,DAWBIO_clean,2049.1,407.2,1227.2
162,EWUTEW_clean,2203.0,368.8,986.0
163,ZEGSUB_clean,1228.6,526.7,551.4
164,SABKIS_clean,1258.9,193.1,525.0
165,CEHROY_clean,235.0,141.7,157.0
166,ABETAE_clean,1467.1,188.6,596.1
167,HUFHEX_clean,627.4,215.4,235.9
168,INIDAL_clean,2829.5,1224.6,2163.7
169,AMIWUP_clean,1441.0,387.8,1006.7
170,ODODES_clean,4612.8,520.5,2024.1
171,CICYIX_clean,226.9,93.3,182.4
