name,O2_293_0.01,O2_293_5
ATUZEW_clean,0.0065121639,2.1189977262
AVAGIP_clean,0.0016249479,0.6332645956
AVAGOV_clean,0.0017206457,0.682053226
AVAGUB_clean,0.0015225513,0.6381174288
AVAJUE_clean,0.0043252817,2.0760546132
AVAKAL_clean,0.0039760353,1.8721305666
AVAKEP_clean,0.0036898471,1.8052443358
AVAQIX01_clean,0.0084708554,2.1722311087
AVAQIX_clean,0.0081553891,2.1434214374
AVEHAM_clean,0.0026954534,0.8838988413
AVELOD_clean,0.0023743111,1.0780457196
AVELUJ_clean,0.0024581362,1.1214299066
AVEMAQ_clean,0.0022580554,1.0187344376
AVEQID_clean,0.0042227547,1.8601919751
AVESOL_clean,0.0081199144,3.0961029307
AVESUR_clean,0.0045031316,1.8405808378
AVETAY_clean,0.0085217833,2.9048553578
AVETEC_clean,0.0073545162,2.5903530726
AVIHIY_clean,0.0031880665,1.2701607927
AVIHOE_clean,0.0034255839,1.2766735695
AVILEY_clean,0.0017076139,0.8172003866
AVIMIC_clean,0.0016634102,0.5239835379
AVIMOI_clean,0.0066583099,1.7567315525
AVIMUO_clean,0.0037403498,1.2211117354
AVIPAX_clean,0.0053260413,1.9260177766
AVIPOL_clean,0.004738808,1.9628600992
AVITUU_clean,0.0042486953,1.8206567551
AVIVAC_clean,0.0037599098,1.6586354829
AVIVEG_clean,0.0038036297,1.6705866247
AVIVIK_clean,0.0037442955,1.630220683
AVIVOQ_clean,0.0037286813,1.6524303826
AVIVUW_clean,0.0038582795,1.6282923239
AVUCEA_clean,0.0044269032,1.8591453624
AVUDAX_clean,0.0027283763,1.1476809596
AWAGEL_clean,0.0021937366,0.9574697475
AWAGOV_clean,0.0021056035,0.8591299082
AWAHEM_clean,0.0008295755,0.3835858841
AWAKEQ_clean,0.0018595426,0.6340942241
AWAREV_clean,0.0025129154,0.7296650578
AWARIZ_clean,0.0024301134,0.7331101229
AWASAU_clean,0.0012780584,0.5175594929
AWASEY_clean,0.0010710026,0.5186472019
AWASOI_clean,0.0012969379,0.4999753131
AWAWUR_clean,0.0036836777,1.3565721284
AWEGEP_clean,0.0009184026,0.3901943209
AWEJIW_clean,0.0034465615,1.1962705836
AWEVIJ_clean,0.0041792863,1.4275322113
AWEWOP_clean,0.0040017242,1.5500878169
AWIBAL_clean,0.0045249435,1.3660539106
AWIBEO_clean,0.0005854627,0.2002900871
AWIBIS_clean,0.0006642608,0.2120457353
AWOFOI_clean,0.0042878722,1.7087544132
AWUPAL_clean,0.0032955426,1.6448539565
AWUPOZ_clean,0.0033944037,1.6640598042
AXAFAG_clean,0.0008205557,0.3563029382
AXIGAR_clean,0.0021911743,0.935822466
AXIMUP_clean,0.0028038935,1.2611541255
AXINAX01_clean,0.0033428432,1.5522369729
AXINAX_clean,0.0032099746,1.5561368594
AXINEA_clean,0.0028659102,0.8156694721
AXINIF_clean,0.0041280414,1.8213991183
AXIPEE01_clean,0.0020916482,0.8634898863
AXIPEE02_clean,0.0021161004,0.8651612223
AXIPEE03_clean,0.00207777,0.8668781582
AXIPEE_clean,0.0022403436,0.872399713
AXUBAW_manual,0.0022247695,1.0639826984
AXUBOL_clean,0.0044708511,1.689463828
AXUHAD_clean,0.0025848818,1.176363616
AXUHEH_clean,0.0033269279,0.943271691
AYOQEM_clean,0.0032169894,1.447999369
AYOXUJ_clean,0.0009906671,0.4576134363
AYUJIP_clean,0.0026077026,1.0041849551
AZAFIS_clean,0.0056517165,1.6569351716
AZAVOO_clean,0.0074753742,2.2149612757
AZAVUU_clean,0.0062542152,1.8122160647
AZAWAB_clean,0.0052621598,1.7397132671
AZEBUE_clean,0.0049586133,1.3228948005
AZEWEH_clean,0.0028243473,0.7679078103
AZIVAI_clean,0.0039812418,1.8599345918
AZIXUD_clean,0.00434979,1.7493403314
BACGAQ_clean,0.0034028161,1.1302749643
BADXAI_clean,0.0009271052,0.4043351453
BADYAJ_clean,0.0024714375,1.0763766963
BAEDTA01_clean,0.0025074006,0.6416162681
BAFHAU_clean,0.0011417666,0.5560999321
