,MOF,Ar_273_0.01,Ar_273_0.05,Ar_273_0.1,Ar_273_0.5,Ar_273_1,Ar_273_5,Ar_273_15,Ar_293_0.01,Ar_293_0.05,Ar_293_0.1,Ar_293_0.5,Ar_293_1,Ar_293_5,Ar_293_15,Ar_313_0.01,Ar_313_0.05,Ar_313_0.1,Ar_313_0.5,Ar_313_1,Ar_313_5,Ar_313_15
4428,KINSEH_clean,0.009451083,0.046556612,0.093155737,0.446711782,0.854378397,3.444362953,8.085033982,0.005967707,0.031501841,0.062073718,0.30765841,0.593335146,2.521292423,6.197644359,0.004362856,0.02180365,0.044340643,0.218469599,0.428752865,1.890487729,4.860519299
4429,KIPJIE_clean,0.002468926,0.012410436,0.024152706,0.118869125,0.227920756,0.898728502,1.923248244,0.001533746,0.007955993,0.015922109,0.075925503,0.151640939,0.633992757,1.462485297,0.001118673,0.005342802,0.010786842,0.053319193,0.10459339,0.463651975,1.119152647
4430,KIPJOK_clean,0.002448786,0.012707793,0.02491904,0.123921406,0.236283988,0.914004504,1.993279463,0.001610316,0.008181059,0.016358346,0.080098446,0.157233961,0.651065433,1.509197883,0.001117542,0.005514797,0.010891316,0.055052436,0.10746501,0.474757805,1.169729208
4431,KIPJUQ_clean,0.000879664,0.004715622,0.009180976,0.043351546,0.087315355,0.365119198,0.857833603,0.000550442,0.003047167,0.005888755,0.030141698,0.05706417,0.256300146,0.638950815,0.00036423,0.00198874,0.004149539,0.020306,0.039782242,0.187894945,0.475334138
4432,KIPKAX_clean,0.001307693,0.006091271,0.012875068,0.063595143,0.126640686,0.469835384,1.026989311,0.00079051,0.004149255,0.008498164,0.039536539,0.078128591,0.328007767,0.785566306,0.000492871,0.002592548,0.005387696,0.02647655,0.05153195,0.233248987,0.592486693
4433,KIPKEB_clean,0.001311763,0.006175269,0.012784873,0.062645003,0.121266274,0.490551245,1.087285248,0.00078986,0.004081527,0.0079634,0.039054288,0.07732397,0.350122537,0.812494517,0.000535914,0.002771515,0.005437074,0.027261553,0.05239784,0.253344542,0.625824846
4434,KIPZEQ_clean,0.008362511,0.041684788,0.082752046,0.390733666,0.708185092,2.266877842,3.539275447,0.005075609,0.025597072,0.050445807,0.241486144,0.460841597,1.664565615,2.956918866,0.003250397,0.016709811,0.032812739,0.159254264,0.308772545,1.214088081,2.414446201
4435,KIQKOK_clean,,,,,,,,0.000888325,0.004434963,0.009083177,0.044678836,0.08627619,0.37199243,0.862567972,,,,,,,
4436,KIRFIA_clean,0.002876139,0.014436621,0.028593618,0.143135862,0.28165126,1.342001439,3.721303952,0.002122485,0.010615086,0.02066027,0.103202815,0.209654603,0.99189535,2.779599902,0.001605844,0.008015907,0.01565898,0.079261604,0.160722921,0.767545688,2.161410965
4437,KIRKAZ_clean,,,,,,,,9.04E-06,3.84E-05,6.89E-05,0.00034241,0.000675779,0.003302051,0.011675835,,,,,,,
4438,KIRTOW_clean,,,,,,,,0.006721013,0.033534348,0.065908144,0.295920058,0.517455573,1.388563485,1.873914602,,,,,,,
4439,KIRTUC_clean,0.030010991,0.147717667,0.291610403,1.200085386,2.045924883,4.367178067,5.408051687,0.016857918,0.083214767,0.166147319,0.728178003,1.309330339,3.548756911,4.89867235,0.01003819,0.049983793,0.098296805,0.461980423,0.843622299,2.754250581,4.29767931
4440,KISPOS_ion_b,,,,,,,,0.001039049,0.004782031,0.009568075,0.047136307,0.093093152,0.436863838,1.059356345,,,,,,,
4441,KISVEO_clean,0.001562018,0.007956719,0.01604189,0.079326044,0.155455344,0.673628561,1.649321647,0.001049424,0.005544014,0.011278281,0.054648827,0.109828426,0.493235445,1.266316947,0.00081191,0.004236474,0.008407511,0.040585813,0.081397021,0.377915114,0.995827247
4442,KITCAT_clean,,,,,,,,0.000433687,0.002180482,0.004359959,0.021706434,0.042474217,0.211803878,0.569079614,,,,,,,
4443,KITVEQ_clean,0.005091189,0.025993284,0.049947834,0.239936094,0.476174021,1.68506615,3.078995311,0.003255652,0.016090867,0.032197537,0.158431931,0.308115145,1.181801555,2.42962601,0.002133558,0.010931945,0.021721652,0.107680333,0.207530848,0.865156693,1.919951709
4444,KITWIV_clean,,,,,,,,0.002379155,0.011911034,0.023361751,0.11644508,0.226555072,1.000346325,2.383708638,,,,,,,
4445,KIVDUP_clean,,,,,,,,0.000898446,0.004390437,0.008791939,0.043498302,0.08756975,0.420373305,1.23196688,,,,,,,
4446,KIVDUQ_clean,0.002771092,0.013469784,0.026443457,0.13091244,0.25341306,1.029725025,2.253446907,0.00182644,0.009091426,0.017982368,0.089320582,0.174639986,0.746942776,1.732291246,0.00127596,0.006464749,0.012723917,0.062899204,0.127618051,0.561050158,1.357446204
