name,H2_293_0.01,H2_293_5
AMIWOJ_clean,0.0032170628,0.9148500967
AMIWUP_clean,0.0033788901,0.9650468976
AMIXAW_clean,0.0032491803,0.9489669522
AMIXEA_clean,0.0034454393,0.9568175984
AMIZIG_clean,0.0008363392,0.3810948952
AMODUC_clean,0.0023536916,1.1117484477
AMOFAK_clean,0.0022813838,1.1124225668
AMOYOR_clean,0.0020774425,0.7698654334
AMUFAR_clean,0.001788448,0.6900045599
AMUFEV_clean,0.0015563232,0.605102609
AMUFIZ_clean,0.0011819718,0.4889446342
AMUFOF_clean,0.0014243533,0.6284891618
AMUPOP_clean,0.0028504684,0.9487939581
AMUWUB_clean,0.0010343943,0.508128656
AMUXAI_clean,0.0009757749,0.4515409136
ANAWIX_clean,0.0025298254,0.9902489889
ANAWOD_clean,0.0027143361,1.1412235534
ANEHEI_clean,0.002113211,0.9114600802
ANENEN_clean,0.0014192442,0.6626137923
ANENIR_clean,0.0015134385,0.6172255511
ANOMOG_clean,0.0031637774,1.3904524351
ANOMUM_clean,0.0029849023,1.3725440078
ANONAT_manual,0.0027148673,1.2643964691
ANUGEW_clean,0.0022683368,1.1620414504
ANUGIA_clean,0.0026837367,1.218691711
ANUGOG_clean,0.0027559911,1.2345446813
APACAX_clean,0.0048657865,2.038186447
APARAM_clean,0.0027352926,0.959111873
APAYIB_clean,0.0035029627,1.4505973614
APAYOH_clean,0.0033701493,1.3852492867
APAYUN_clean,0.0031591972,1.3369446675
APAZAU_clean,0.0030148528,1.3688176782
APAZEY_clean,0.0030619176,1.3157972976
APAZIC_clean,0.0027551138,1.2683354041
APAZOI_clean,0.0029230044,1.2751196587
APEBED_clean,0.0037795476,1.1450525777
APEBEE_clean,0.0027671682,1.0955273128
APEBII_clean,0.012915722,2.361166993
APEBOO_clean,0.0253400299,4.4000726268
APEBUU_clean,0.0016453648,0.6672769318
APUPEH_clean,0.0027726087,1.3568580206
AQEGUY_clean,0.0035794394,1.3195779138
AQEQES_clean,0.0025413768,1.1400131174
AQEQIW_clean,0.0031274821,1.3108837768
AQETUM_clean,0.0008061141,0.3478830151
AQIXUU_clean,0.0030311923,0.8933806647
AQOLEZ_clean,0.002817347,1.2637708756
AQOLOJ_clean,0.0065103104,2.2272120806
AQOMAW_clean,0.002377268,1.073256456
AQOSEG_clean,0.0016243158,0.7944433972
AQOTIK_clean,0.0029082789,1.1916004207
AQUCUM_clean,0.0016908258,0.798799276
AQUDAT_clean,0.0013905942,0.4984227927
AQUDEX_clean,0.0012924848,0.4978128081
ARAFEF_clean,0.0022985957,1.1010934376
ARUYOB_clean,0.002995964,1.1482806339
ASAHEJ_clean,0.0004327204,0.2201525472
ASANAL_clean,0.0025750212,0.9766801427
ASEJOZ01_clean,0.0011048235,0.4589977186
ASEJOZ_clean,0.0011022178,0.4551677506
ASEKAM_clean,0.0021301775,0.8845785327
ASINAT_clean,0.0024070724,1.0742708647
ASIQEA_clean,0.0019041752,0.8593897328
ASIQIE_clean,0.0018840736,0.8714178339
ASIVAB_clean,0.0022623572,1.1381919195
ASIVEF_clean,0.0023421886,1.1336635458
ASOHUL_clean,0.0017013591,0.7847413174
ASOSUY_clean,0.002806501,1.2071457343
ASOVEL_clean,0.0020443953,0.8409451449
ASOYOY_clean,0.0023983479,1.0803589863
ASUBIB_clean,0.0026687952,1.0938651772
ASUJIJ_clean,0.0038888972,1.3036346776
ASUKEE01_clean,0.0024120389,0.9762461812
ASUKEE_clean,0.0024054809,0.9642555017
ASUWUI_clean,0.0020439445,0.858130521
ATAFIK_clean,0.002549915,1.1619368065
ATAYAX_clean,0.0030893045,1.4074183318
ATAYEB_clean,0.0028307796,1.3159416595
ATEJOA_clean,0.0188792856,1.8993259246
ATEYED_clean,0.0028827673,1.333414108
ATEYOP_clean,0.0028509829,1.3193468683
ATEYUV_clean,0.0029185822,1.3642556611
ATEZAC_clean,0.0025454121,1.1651605935
ATEZEG_clean,0.0030081544,1.3790613479
ATEZIK_clean,0.0028732999,1.2622118863
ATIBAG_clean,0.0008318918,0.3929850623
ATIBOU01_clean,0.000865423,0.4068669579
ATIBOU02_clean,0.0009197115,0.4042195939
ATIBOU_clean,0.0009420656,0.4018037544
ATIBUA_clean,0.0009021476,0.3879074884
ATICAH_clean,0.0009181148,0.3931926361
ATICEL_clean,0.0008590361,0.3804013013
ATIJUJ_manual,0.0008903755,0.4128982441
ATIRUS_clean,0.0003482863,0.1669629609
ATIXAE_clean,0.0020770732,0.9743461302
ATIXUX_clean,0.0028928429,1.1781565965
ATOGEV_clean,0.0025711405,1.0429789084
ATOWIQ_clean,0.0023149207,1.031663585
ATOWOW_clean,0.0021362746,1.0137258581
