mof_name,base_atoms,core_atoms
BELJIL_clean,210,210
MUVHAN_clean,122,122
HAJMIQ_clean,624,624
WODROY_clean,128,128
JADBEY_clean,204,204
ILIFUE_clean,56,56
QARLON_clean,680,680
WEHJOK_clean,664,664
INOMIJ_clean,140,140
VIYMAT_clean,82,82
XADGAM_clean,180,180
ic501849g_si_002_clean,134,134
MUGHED_clean,148,148
MODJOG_clean,88,88
UDAMET_clean,184,184
WUZDOL_clean,384,384
PEMREG_clean,376,376
KOJZOZ_clean,852,852
XUCSAR_clean,72,72
BOQYUD_clean,70,70
CUWXID_clean,256,256
FUSNIR_clean,414,414
BUSNAF_clean,171,171
EGOXII_clean,140,140
MAGVOG09_clean,208,208
YAVVID_clean,120,120
IFUPAC_clean,128,128
AGUWUV_clean,51,51
BIYTAG_clean,188,188
TIDKAS_clean,1296,1296
FOQNOQ02_clean,292,292
WAVQIV_ion_b,675,675
GUQTOB_clean,32,32
XISVUR_clean,216,216
XIGHEB_clean,648,648
ZEVXAB_clean,1264,1264
RINSEM_clean,88,88
QUNVIG_clean,700,700
CUTBOK_clean,216,216
FEJDII01_clean,92,92
KIJPUQ_clean,136,136
HAVYOU_clean,304,304
IZOWAW_clean,192,192
FUSMOW_clean,414,414
j.inoche.2015.01.025_INC05862-mmc2_clean,132,132
BUSGIG_clean,136,136
POFGUO_clean,480,480
DOMFUI_clean,732,732
FOCZEE_clean,196,196
ncomms7350-s2_clean,184,184
DALTAO_clean,248,248
XACQAT_clean,58,58
ECAFOG_clean,400,400
MOYYEF_clean,108,108
VUKTEC_clean,332,332
HUBQEC_clean,385,385
JAHNEM01_clean,116,116
OBUFIB_SL,156,156
DUQRUD_clean,928,928
VOXYUE_clean,60,60
HOWPEQ_clean,120,120
XILVIZ_clean,131,131
FUVFUZ_clean,296,296
LABRUE_clean,992,992
IYAHAT_clean,136,136
SESDEA01_clean,148,148
FOJVUX_clean,82,82
NAQREE_clean,256,256
ATEZEG_clean,636,636
VEGCAN_clean,540,540
ACOLEL_clean,550,550
MOXNUK_clean,260,260
XAKZEP_clean,736,736
LUFNAC04_clean,124,124
WAWGOQ_clean,352,352
WAHNOL_clean,318,318
SETQUF_SL,76,76
SUHBAA_clean,1032,1032
FUVDEH11_clean,360,360
TOVJEV_clean,416,416
XAFFER_clean,152,152
EKUPEG_clean,728,728
RORTUP_clean,332,332
PIYZAZ_clean,10,10
KINROQ_clean,1386,1386
ENAFOP_ion_b,506,506
RORTAV_clean,536,536
WILGII_clean,114,114
SOHNEJ_clean,648,648
OKIMAY_clean,156,156
VIWKIX_clean,216,216
LABNIO_clean,648,648
ERELIX_clean,202,202
DARVAW_clean,68,68
TAVQEN_clean,52,52
RUYTUC_clean,369,369
RIBDEN_clean,76,76
VIMRAM_clean,296,296
GARLAP_clean,196,196
WENLEI_clean,208,208
LUNBAX_clean,58,58
TASWER_clean,328,328
MITGUR_clean,84,84
QOHTUD_clean,156,156
GIYSUD_clean,71,71
LEJCAE_clean,120,120
DUXKEN_clean,376,376
NOSHEK_clean,88,88
PIYZED_clean,40,40
PAJSAX_clean,408,408
INECIP_clean,480,480
GALJAG_clean,212,212
XISDUA_clean,544,544
COKJIX_clean,108,108
ERALUG_clean,648,648
ja5b02777_si_008_clean,54,54
RUGJIO_clean,68,68
LEZWUK_clean,546,546
NEDWAW_clean,141,141
LIQDAS_clean,328,328
LASRIJ_clean,136,136
OQEROS_clean,172,172
FOFMOE_clean,492,492
JOCWIJ_clean,352,352
OFAWEZ_clean,102,102
KAHKUB01_clean,42,42
XAKYUE_clean,808,808
FESBEM_clean,128,128
VICSIL_clean,124,124
BERFIP_clean,82,82
IDUTUW_clean,64,64
REZXOK_clean,104,104
XANZAQ04_clean,132,132
ZADQUT_clean,282,282
SIQCOM_clean,134,134
AVIVUW_clean,736,736
KIVVOC_clean,232,232
HUNCIE_clean,688,688
IYOSUM_clean,368,368
HUQHUY_clean,1384,1384
HOJJUN_clean,522,522
QATKOO_clean,196,196
SUNJER_clean,50,50
IXUWII_clean,260,260
LODPUQ_clean,652,652
OCIMEV_clean,205,205
VUDXID_clean,190,190
BEXREC_clean,128,128
FAWCEN03_SL,138,138
WIYZOU_clean,98,98
OPENUT_clean,200,200
NIMTAE_clean,784,784
MEJZIM_clean,228,228
UMOYOM14_clean,738,738
SOKXOH_clean,948,948
PEGQID_clean,208,208
UNOJUD_clean,68,68
PALTIH_clean,1096,1096
ic8004536-file004_clean,110,110
FERVUV_clean,315,315
GIYSIR_clean,142,142
WUGQAS_clean,378,378
UMUTOM_clean,180,180
WOZWEP_clean,240,240
RUMRUO_clean,40,40
WUXMAD_clean,80,80
KOMHOL_clean,238,238
CIDKUX_clean,124,124
BEFLEF_clean,96,96
HUYKIV_clean,600,600
SAQSOU_clean,488,488
TORJIV_clean,200,200
ECUCUB_clean,56,56
IWEWEO_clean,704,704
AFOTUL_clean,80,80
FOQNUW02_clean,292,292
OLOGEC_clean,368,368
KOFPEB03_clean,178,178
YOYBUL_clean,130,130
FIPXEJ_clean,116,116
YARYEV_clean,36,36
CIFMEL_clean,84,84
VIWLIY_clean,216,216
VEFLUP_clean,52,52
WECBAJ_clean,192,192
UWALEL_clean,240,240
OTEGUR_clean,144,144
NAYGUR_clean,100,100
OKILIE_clean,144,144
FUNCEX_clean,88,88
ESEDIQ_clean,180,180
WORLAS_clean,284,284
CECVIQ_clean,72,72
DIYKED_clean,180,180
VATYIZ_clean,26,26
TUNJET_clean,784,784
IXOFEH_clean,72,72
HOWQAM_clean,208,208
REYBAA_clean,188,188
cg060732osi20070605_042406_clean,150,150
AVILEY_clean,1156,1156
LENGAO_clean,372,372
IXITOA02_clean,204,204
ECEZAO_clean,51,51
EMAMUC_clean,296,296
KUHNEI_clean,176,176
DIBJIJ_clean,406,406
GIFFEI_clean,96,96
EXIBUI_clean,48,48
EHUSUX_clean,828,828
TIRLIQ_clean,292,292
WOTSEF_clean,116,116
WAZQUL_clean,172,172
REXCUU_clean,324,324
MARNUR_clean,328,328
CAKXET_clean,72,72
ETEJOD01_clean,52,52
SOCKOM_clean,72,72
AVITUU_clean,736,736
YUSGOJ_SL,122,122
EJORAY_clean,67,67
PAMVEG_clean,188,188
XULVAD_clean,69,69
LOGBEO_clean,144,144
ACAJIY_clean,384,384
JOTHOP_clean,38,38
ONODOM_clean,234,234
IZENUY_clean,416,416
TECVEE_clean,118,118
FORKUU_clean,96,96
WIPLOY_clean,164,164
cm503311x_aloh175K_clean,56,56
SOXHUI_SL,90,90
c6ce00465b_c6ce00465b2_clean,154,154
XANMUX07_clean,136,136
SOXZIP_clean,228,228
LECFAC_clean,310,310
REHHIX_clean,536,536
OXUNEB_clean,196,196
AFOVOH_clean,80,80
IZEBEV_clean,134,134
FIGFOR_clean,72,72
KUMGOQ_clean,100,100
UMOBEF_clean,720,720
BINCUY_manual,426,426
ZEZPIF_clean,120,120
DAPHOU_clean,1224,1224
VUMCIQ_clean,452,452
TEPJAB_clean,248,248
MEGFIN_clean,736,736
MAZSOX_clean,126,126
KICXAX_clean,348,348
CIMFOV_clean,738,738
UDAXAB_clean,680,680
EDUTIG_clean,616,616
CUGVUX_clean,168,168
ODIXIK_clean,278,278
OYAKAC02_clean,466,466
EGELUY01_manual,76,76
MIFPUO_clean,244,244
UMABIV_clean,228,228
SIWZOP01_clean,52,52
AQODOA_clean,140,140
EPEWEC_clean,232,232
BAHGUN_clean,54,54
