mof_name,base_atoms,core_atoms
MAGVOG05_clean,52,52.0
ROQFUA04_clean,80,80.0
FEZTIP_clean,112,112.0
LABJUV_clean,116,116.0
POKVES_clean,118,118.0
cm503311x_alf100K_clean,56,56.0
OKAYOQ_clean,63,63.0
JAHNEM02_clean,116,116.0
MIZPUI_clean,162,
DONNIE_clean,72,72.0
GUJVOX_clean,90,90.0
ja5b02777_si_007_clean,54,54.0
IVOLEM_clean,304,
OSAVEK_clean,68,68.0
JADBIC_clean,74,74.0
HOGJIX_clean,204,204.0
KIRTUC_clean,92,92.0
MIDRAT_clean,196,196.0
RITGUY_clean,116,
am301365h_si_002_clean,300,
VUCCUT_clean,171,171.0
YIJYUN_clean,196,196.0
MIMSUY_clean,272,272.0
WAMRIN_clean,162,162.0
BIQVII_clean,178,178.0
TAKYEL_clean,190,190.0
SEGMEW_clean,120,120.0
ja106851d_si_001_clean,304,304.0
HICZAW_clean,296,296.0
EZOFEF_clean,276,276.0
ENITIF_clean,218,218.0
ICISAP_clean,128,128.0
COYTEQ_clean,120,120.0
HOGQAX_clean,176,176.0
HAJYEZ_clean,96,96.0
APAYUN_clean,312,312.0
PAKXIK_clean,158,158.0
ic5021302_si_002_clean,296,296.0
JOHQUT_clean,142,
YINXIE_clean,105,105.0
WODQUD_clean,68,68.0
FUDGES_clean,132,132.0
EKOPOK_clean,144,144.0
QEKLID_clean,59,59.0
HIWLOQ_clean,92,92.0
DITYEM_clean,58,58.0
VUGXUS_clean,134,134.0
VEBHUG_SL,106,106.0
LEDCAA_clean,352,352.0
XATZOK_clean,214,214.0
MICNOC_clean,146,146.0
QAJJOB01_clean,104,104.0
ZARTAP03_clean,68,68.0
KIXXOG01_clean,92,92.0
jp102463p_si_004_clean,36,36.0
IBITEU_clean,388,388.0
XOMCIN_clean,352,352.0
GITVEL_clean,432,432.0
WIYWOS_clean,288,288.0
ELEROD_clean,212,212.0
IXECET_clean,144,144.0
DITJOH_clean,200,200.0
GOYXEZ_clean,136,136.0
QIXNES_clean,164,164.0
PYDCUT_clean,44,44.0
QUJKOX_clean,156,156.0
JUFZER_clean,280,280.0
BEXQIF_clean,128,128.0
VIPZAX_clean,108,108.0
BELYIC_clean,90,90.0
GUGXOX_clean,108,108.0
TILBOH_clean,325,
KOVGOT_clean,358,
MAKFIQ_clean,212,212.0
EKOPUQ_clean,230,230.0
LIVTIT_clean,120,120.0
FUDHET_clean,264,264.0
CUXJAI_clean,50,50.0
OFODET_clean,140,140.0
QOVGOY_clean,38,38.0
KALGEL_clean,170,170.0
DEZCER_clean,248,248.0
VUCDAA_clean,171,171.0
TIRHIL_clean,80,80.0
DIKPOD_clean,56,56.0
WUDVEY_clean,536,536.0
RIPKIM_clean,256,256.0
DONKOI_clean,348,348.0
BIWSEG_ion_b,16,483.0
