,MOF,Ar_293_0.01,Ar_293_0.05,Ar_293_0.1,Ar_293_0.5,Ar_293_15,Ar_293_1,Ar_293_5
10035,XAHPED_clean,0.0029712852,0.0159628001,0.0315442364,0.1569919807,4.3738281802,0.3117083508,1.5098403365
10036,XAHPIH_clean,0.0029724823,0.0158895994,0.0326109484,0.1578415351,4.4152860638,0.3119288343,1.5300693364
10037,XAHPON_clean,0.0037508098,0.0185011856,0.0370234431,0.1872384599,5.2059414165,0.3751301506,1.7884971046
10038,XAHPUT_clean,0.0043390078,0.0218272523,0.0437266211,0.2137051465,6.102568009,0.4231794599,2.1007288015
10039,XAHPUU_clean,0.0002457034,0.0012223997,0.0024580532,0.0119283377,0.3026270259,0.0242920088,0.1137147807
10040,XAHQAA_clean,0.0039190824,0.0216368635,0.0442188433,0.2229970508,6.3629138706,0.440058771,2.2059897559
10041,XAHWAG_clean,0.0040050488,0.019673353,0.0405081499,0.1979153148,3.7540955899,0.3923646047,1.6701399353
10042,XAJGOH_clean,1.39386e-05,6.96931e-05,0.0001125811,0.0006079379,0.0168249762,0.0011483271,0.00613835
10043,XAJQAC_SL,0.0084523417,0.0412999588,0.0824937935,0.3931079538,5.9161395064,0.7385020739,2.8332324473
10044,XAJSEJ_clean,0.0052208339,0.0262869084,0.0527408363,0.2616370692,6.2892813576,0.52169826,2.4294385089
10045,XAJZOY_clean,0.0050726088,0.0242662964,0.0482847061,0.228159777,2.3914901869,0.4191220351,1.3817048765
10046,XAKLIH_clean,0.0135896157,0.0675085392,0.1297473152,0.5504665593,3.7900601528,0.9325251756,2.4992805579
10047,XAKQOR_clean,0.0054845418,0.0274391691,0.054937595,0.2666389327,4.2236008574,0.5139437035,2.0771237054
10048,XAKVIP_clean,9.0529e-06,4.04362e-05,8.44937e-05,0.0004103978,0.0126239555,0.0008286413,0.0039905146
10049,XAKVUB_clean,0.2834760668,0.9093268273,1.2569183063,1.9257570929,2.5166783131,2.1036784117,2.3918334225
10050,XAKYUE_clean,0.0037611847,0.0184495666,0.0377997442,0.1846544071,3.0971331245,0.3525600417,1.4254144901
10051,XAKZAL_clean,0.0036868763,0.0195172403,0.0383326277,0.1823786271,2.5328439163,0.346486161,1.2547869557
10052,XAKZEP_clean,0.004237607,0.0195756441,0.0405062384,0.196894599,3.2310482963,0.3744608324,1.5094417038
10053,XAKZIT_clean,0.0039767791,0.0192453749,0.0378928781,0.1877673152,3.2843859138,0.3626761524,1.4841600254
10054,XAKZOZ_clean,0.0041054993,0.0200160029,0.0405401122,0.1962747093,3.2849753172,0.3781733961,1.5112945983
10055,XAKZUF_clean,0.0038616125,0.0194198292,0.0382775864,0.1862968883,3.1399704589,0.3623776733,1.4379436734
10056,XALBAO_clean,0.00378618,0.0193784623,0.0378552181,0.1845009954,3.2586043609,0.3627640906,1.467937032
10057,XALBES_clean,0.0038799706,0.0195611072,0.0393427048,0.1914875753,3.261403271,0.3728490524,1.4750930932
10058,XALBIW_clean,0.0039227523,0.0191497448,0.0382435443,0.1859522821,3.2409371663,0.3652503653,1.4785353741
10059,XALBOC_clean,0.0038618707,0.0193274534,0.0386318705,0.1857334373,3.2701027641,0.3638138876,1.488276437
10060,XALBUI_clean,0.0038923888,0.0195575125,0.0392089737,0.1850577383,3.1895445579,0.3637334492,1.4673414947
10061,XALCAP_clean,0.003949082,0.0199657031,0.0395264552,0.1913733538,3.1189842794,0.3726942045,1.4549823908
10062,XALCET_clean,0.0036704757,0.018537036,0.0372392921,0.1829341754,3.0598841136,0.3532889535,1.4131460952
10063,XALCIX_clean,0.0039189175,0.0194814315,0.0384644042,0.1835015918,2.4665302751,0.3443376317,1.2425059621
10064,XALCOD_clean,0.0038344087,0.0189858374,0.0380733718,0.182296983,2.5101310967,0.3476033962,1.2598517555
10065,XALCUJ_clean,0.0036639587,0.0190875344,0.0381951218,0.1840229682,2.50214,0.3454090316,1.2668215846
10066,XALDAQ_clean,0.0036582292,0.0190732109,0.0375104571,0.1796628861,2.5026126764,0.3374967143,1.2446373032
10067,XALDAS_clean,0.0045171962,0.0226219806,0.0445803122,0.2147483821,4.3660704391,0.4173585605,1.7296901326
10068,XALDEU_clean,0.0036524998,0.0171710463,0.0348061749,0.1680579631,2.3808139819,0.319420421,1.1967852583
10069,XALDIY_clean,0.0039389704,0.0177411227,0.0368916807,0.173452204,2.4336506148,0.3275762383,1.2161220221
10070,XALDOE_clean,0.0037269822,0.018371358,0.0368286572,0.1762309686,2.4665087898,0.3364253144,1.2360002154
10071,XALMII_clean,0.0034231367,0.0166256919,0.0334909352,0.1661044766,4.0056974214,0.3322361751,1.5188995247
10072,XALPUY_clean,0.0004357733,0.002020826,0.0039579836,0.0207091092,0.4980075362,0.0407686257,0.1878438571
10073,XALTEK_clean,0.0004040771,0.0019637099,0.0036681807,0.0185161785,0.4368913409,0.0369011631,0.1718608252
10074,XALTIP_clean,0.0027821592,0.0140220825,0.0281377467,0.1372439147,3.6996419927,0.272606078,1.2801852761
10075,XALTOV_clean,0.0033976136,0.0165348355,0.0329327231,0.1643342883,3.6650599293,0.327054547,1.4842387022
10076,XALVOY_clean,5.40236e-05,0.000293271,0.0006367068,0.0031886789,0.0935624501,0.00673237,0.0312500821
10077,XALXUF01_clean,0.0042649563,0.0212625195,0.0424082976,0.2102300487,4.6264357035,0.4045209906,1.8533725753
10078,XALXUF_clean,0.0040723328,0.020527048,0.0413148188,0.2043054173,4.5401452469,0.3906219415,1.8033264647
10079,XAMDOF_clean,0.0120555522,0.0611294449,0.1245746257,0.5853216056,6.1215352364,1.0714431384,3.731013031
10080,XAMDUM01_clean,0.0050553067,0.0245248247,0.0482591927,0.2258872232,3.8804400028,0.4282648161,1.6071664755
10081,XAMDUM02_clean,0.0051405521,0.0250827942,0.0500415951,0.2345460827,3.954513033,0.4443193543,1.6596362711
10082,XAMDUM03_clean,0.0051999655,0.025093127,0.0500493447,0.2355406117,3.9416022395,0.4439267091,1.6504194421
10083,XAMDUM04_clean,0.0057966828,0.0282730363,0.0556677873,0.2614319449,4.1995055441,0.4838886892,1.7968115151
10084,XAMDUM05_clean,0.0051612176,0.0258629182,0.0519014934,0.2448711011,4.0366921196,0.4586018228,1.7071101734
10085,XAMDUM06_clean,0.0048021539,0.0244912432,0.0485045959,0.2294830264,3.9557064677,0.4272212066,1.658517749
10086,XAMDUM_clean,0.004897732,0.0241399291,0.0481842801,0.2255694906,3.8867300753,0.4256867905,1.6223814763
10087,XAMGUQ_clean,0.00319629,0.0161599397,0.03274517,0.1583579341,3.2939206115,0.3066807736,1.3590281252
10088,XAMHEA_manual,0.0036576583,0.018374913,0.0368168877,0.1794264427,3.8783025719,0.3498610255,1.5591488087
10089,XAMLUS_clean,0.0004092888,0.0020659341,0.004089449,0.0211935951,0.5441133953,0.0413656878,0.1986541268
10090,XANDAU_clean,0.0047113695,0.0236976767,0.0463839452,0.2223671315,2.3566248464,0.433136905,1.4321063648
10091,XANKOO_clean,0.0027163431,0.0137002543,0.0271021529,0.1358131384,3.5421556465,0.2671007125,1.2855616251
10092,XANLAA_clean,0.0064545002,0.0335307038,0.0668273979,0.3231834124,6.2278041089,0.6281381109,2.7785172806
10093,XANLEE_clean,0.0068198709,0.0340912896,0.0673970359,0.3332590912,6.332926034,0.6492652638,2.8566290857
10094,XANMIJ_clean,0.0025999573,0.012842602,0.025911357,0.1256881256,2.822947314,0.2506609021,1.1158564302
10095,XANMUX01_clean,0.0022015658,0.0115366647,0.0228778902,0.1138242098,2.5919557395,0.2231456523,1.0167727642
10096,XANMUX02_clean,0.0023012015,0.0111247094,0.0221536152,0.1103177995,2.6000760493,0.2186083957,1.0013388107
10097,XANMUX03_clean,0.0027667576,0.0145558619,0.0277628996,0.142586916,3.4946865619,0.2764303059,1.3023540452
10098,XANMUX04_clean,0.0025330461,0.0124353021,0.0247019899,0.1245772014,2.6958048826,0.2480105083,1.1023713292
10099,XANMUX05_clean,0.0026614229,0.0130580252,0.0260509041,0.1297122722,2.8862776888,0.2557111985,1.1571671334
10100,XANMUX06_clean,0.00328223,0.0167330498,0.0332093461,0.1676964678,3.6396232358,0.3278340346,1.4999005377
10101,XANMUX07_clean,0.0024544872,0.012540686,0.0254435095,0.1266216494,2.8740818956,0.25467652,1.146310674
10102,XANMUX08_clean,0.00952479,0.047656523,0.0952306549,0.4508017362,5.6082656844,0.8423068169,3.0842270048
10103,XANMUX_clean,0.0022149783,0.0110710594,0.0220865528,0.1110344101,2.630637385,0.2225612506,1.0199227853
10104,XANNAB_clean,0.0094862282,0.0467350864,0.0892731301,0.3645759348,2.1043417319,0.5824633599,1.3798700001
10105,XANXUF_clean,0.0004531539,0.002177493,0.0045609651,0.0230681842,0.614807791,0.0455625697,0.2126145357
10106,XANZAQ01_clean,0.0026642851,0.0135533789,0.0269478857,0.1347060654,3.2866379855,0.2694311955,1.2486616301
10107,XANZAQ02_clean,0.002573728,0.0136852428,0.0269478857,0.1328170762,3.2611834976,0.2605502451,1.2382237331
10108,XANZAQ03_clean,0.0025018113,0.0131076344,0.0259538491,0.1288530546,3.2881472041,0.2540120285,1.1934763758
10109,XANZAQ04_clean,0.0033386972,0.0170938437,0.0351909647,0.1728210711,4.0787250291,0.3419841121,1.5884954083
10110,XANZAQ05_clean,0.0032958017,0.0164480286,0.0335943,0.1659411148,3.9548572184,0.3303975698,1.5368683304
10111,XANZAQ06_clean,0.0035650899,0.0181066533,0.0354554867,0.1782950093,4.2387751664,0.351192339,1.6319723473
10112,XANZAQ07_clean,0.0035293437,0.0174155597,0.0345618311,0.1724183303,4.0619314537,0.3396963538,1.5728123489
