---- START at 2025-08-16 11:13:52, Target=2039/2039 ----
[11/2039] VECZEI_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=73.2s, Completed=1/2039, ETA=2025-08-18 04:40:12
[17/2039] LIKDOA_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=105.0s, Completed=2/2039, ETA=2025-08-17 16:58:06
[6/2039] WOLROF_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=107.7s, Completed=3/2039, ETA=2025-08-17 07:33:39
[18/2039] OPOBOL_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=126.4s, Completed=4/2039, ETA=2025-08-17 05:07:53
[5/2039] WAVQUF_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=130.0s, Completed=5/2039, ETA=2025-08-17 01:57:46
[23/2039] DAFJOM_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=166.5s, Completed=6/2039, ETA=2025-08-17 02:57:13
[20/2039] SOHMUY_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=181.9s, Completed=7/2039, ETA=2025-08-17 01:57:05
[15/2039] MULSER_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=182.5s, Completed=8/2039, ETA=2025-08-17 00:09:03
[7/2039] KOSKUA_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=187.3s, Completed=9/2039, ETA=2025-08-16 23:00:58
[24/2039] YAWKOX_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=198.2s, Completed=10/2039, ETA=2025-08-16 22:27:19
[13/2039] ROQMER03_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=215.5s, Completed=11/2039, ETA=2025-08-16 22:19:36
[16/2039] LAPZIO_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=227.9s, Completed=12/2039, ETA=2025-08-16 21:59:21
[19/2039] YARSIV_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=231.7s, Completed=13/2039, ETA=2025-08-16 21:19:36
[21/2039] MUVGOA_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=238.2s, Completed=14/2039, ETA=2025-08-16 20:52:05
