,gas,temperature,low_pressure,high_pressure,struct_info,sampling,model,trial_001_Model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_percent_mean,MAPE_percent_std,fit_time_sec_mean,fit_time_sec_std,predict_time_sec_mean,predict_time_sec_std
296,Ar,313K,0.1,5,struct,random_struct,rf,rf,0.448019655,0.041849392,0.303408072,0.010429415,0.217024191,0.027334091,36.345672,1.916181005,40.53705177,0.971546612,0.323006773,0.019406108
299,Ar,313K,0.5,15,struct+input,qt_then_rd,rf,rf,0.889471231,0.005733869,0.270156342,0.007079865,0.131861213,0.008325142,10.3073638,0.351061798,37.70651469,0.127395409,0.282529116,0.007172872
302,Ar,313K,0.5,15,struct+input,random_struct,rf,rf,0.907218381,0.005893665,0.271745871,0.008832888,0.146410888,0.011130213,10.87159175,0.360389151,38.12912617,0.63365119,0.286154795,0.005390139
305,Ar,313K,0.5,15,struct,random_struct,rf,rf,0.645393447,0.011227274,0.529500761,0.013792068,0.559763323,0.033273086,25.33799586,0.807610577,37.93757777,0.231438089,0.294344854,0.008908589
308,Ar,313K,0.5,1,struct+input,qt_then_rd,rf,rf,0.99748972,0.000228609,0.003469265,8.29e-05,3.51e-05,2.91e-06,1.200230299,0.019685417,37.25311642,0.223715124,0.28288722,0.008334214
311,Ar,313K,0.5,1,struct+input,random_struct,rf,rf,0.986190811,0.015533824,0.005667835,0.00107062,0.000934384,0.001308193,1.38127164,0.060812867,37.97764039,1.180652258,0.307767725,0.028211151
314,Ar,313K,0.5,1,struct,random_struct,rf,rf,0.338972275,0.061289706,0.097210443,0.004308286,0.037629454,0.009192992,52.67381868,4.388599351,42.85662656,0.202078102,0.318487787,0.016870139
317,Ar,313K,0.5,5,struct+input,qt_then_rd,rf,rf,0.888891453,0.008029426,0.092576713,0.001869731,0.023442374,0.001647249,7.961524599,0.198207641,40.08784032,0.642555996,0.300674391,0.009931393
320,Ar,313K,0.5,5,struct+input,random_struct,rf,rf,0.905323897,0.010051976,0.101506902,0.002488154,0.037138212,0.004760571,8.45467541,0.174467584,40.25460982,0.520845627,0.331936407,0.014746301
323,Ar,313K,0.5,5,struct,random_struct,rf,rf,0.448019655,0.041849392,0.303408072,0.010429415,0.217024191,0.027334091,36.345672,1.916181005,40.31746378,0.295856557,0.306217623,0.011130021
326,H2,293K,0.01,5,struct+input,qt_then_rd,rf,rf,0.980574572,0.001753523,0.034144121,0.000838445,0.002869547,0.000222138,3.660502788,0.057830712,45.11266766,0.175641207,0.332570314,0.009737949
329,H2,293K,0.01,5,struct+input,random_struct,rf,rf,0.804538288,0.215777731,0.049988652,0.009624548,0.234521683,0.29709453,4.212736582,0.270328827,44.84041266,0.651298663,0.354681683,0.029964627
332,H2,293K,0.01,5,struct,random_struct,rf,rf,0.215571055,0.134612461,0.255110855,0.007886184,0.660628621,0.495869722,36.77581777,1.362974339,48.77129669,1.383607212,0.348840714,0.005448514
335,He,273K,0.01,15,struct+input,qt_then_rd,rf,rf,0.988598096,0.000724677,0.014620329,0.00018315,0.000414121,2.22e-05,6.579537668,0.164069445,51.49063368,0.14780499,0.39077301,0.011467344
338,He,273K,0.01,15,struct+input,random_struct,rf,rf,0.957494434,0.050780879,0.015683913,0.000926501,0.00447357,0.006129218,6.846306151,0.133252482,51.40903959,0.336139155,0.411297417,0.020656215
341,He,273K,0.01,15,struct,random_struct,rf,rf,0.949595069,0.049114936,0.021828881,0.000841143,0.005172194,0.006069825,11.5870917,0.328932535,50.28173161,0.089748954,0.410056686,0.017640931
344,He,273K,0.01,1,struct+input,qt_then_rd,rf,rf,0.9876706,0.001613367,0.001029698,1.51e-05,2.14e-06,2.55e-07,6.749710087,0.173460708,51.58141689,0.088257143,0.404959822,0.008907273
347,He,273K,0.01,1,struct+input,random_struct,rf,rf,0.962455395,0.05082643,0.00108869,6.47e-05,1.92e-05,2.91e-05,7.018276597,0.123258707,52.21739049,1.121805216,0.414123249,0.018441861
350,He,273K,0.01,1,struct,random_struct,rf,rf,0.949836142,0.047431061,0.001536317,6.63e-05,2.44e-05,2.81e-05,12.2196206,0.670639852,50.96743717,0.616189764,0.416615486,0.011972361
353,He,273K,0.01,5,struct+input,qt_then_rd,rf,rf,0.988411024,0.000623725,0.005052449,7.84e-05,4.95e-05,2.6e-06,6.691149909,0.166453221,51.52090573,0.204457381,0.42419939,0.043545801
356,He,273K,0.01,5,struct+input,random_struct,rf,rf,0.958348471,0.045665254,0.005404308,0.000321415,0.000501809,0.00063528,6.947417533,0.13080125,51.66007485,0.876709153,0.408954573,0.003669387
359,He,273K,0.01,5,struct,random_struct,rf,rf,0.949036254,0.043295285,0.007553437,0.000307612,0.000597257,0.000622174,12.01785768,0.626906794,50.56914101,0.291406573,0.425903606,0.037126549
362,He,273K,0.05,15,struct+input,qt_then_rd,rf,rf,0.994659308,0.000979096,0.008991552,0.000206927,0.000196147,5.43e-05,3.832831966,0.071910902,52.62791204,0.596137083,0.399567461,0.007827775
365,He,273K,0.05,15,struct+input,random_struct,rf,rf,0.959897687,0.05160279,0.010413172,0.000959769,0.004260973,0.006185896,4.032688153,0.077691974,52.40076218,0.365210576,0.428656435,0.062032862
368,He,273K,0.05,15,struct,random_struct,rf,rf,0.949595069,0.049114936,0.021828881,0.000841143,0.005172194,0.006069825,11.5870917,0.328932535,50.66448512,0.895242104,0.406852627,0.019295676
371,He,273K,0.05,1,struct+input,qt_then_rd,rf,rf,0.99506706,0.000389384,0.000625911,8.83e-06,8.5e-07,3.71e-08,3.939188137,0.061738727,52.51284108,0.270067421,0.414129925,0.019562119
374,He,273K,0.05,1,struct+input,random_struct,rf,rf,0.965320191,0.051385948,0.000713634,6.42e-05,1.79e-05,2.92e-05,4.137616619,0.100392719,52.39195309,0.281528092,0.4076406,0.019898953
377,He,273K,0.05,1,struct,random_struct,rf,rf,0.949836142,0.047431061,0.001536317,6.63e-05,2.44e-05,2.81e-05,12.2196206,0.670639852,50.63997741,0.185998698,0.406385326,0.008063258
