Unnamed: 0,gas,temperature,low_pressure,high_pressure,struct_info,sampling,model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_percent_mean,MAPE_percent_std
106,Ar,273,0.5,5,struct,random_struct,gbm,0.448448693,0.026797826,0.499330505,0.020337652,0.583998784,0.063968941,34.00751122,2.046447163
109,Ar,293,0.01,15,struct+input,qt_then_rd,gbm,0.951446565,0.003228118,0.196278155,0.001937374,0.091342793,0.005783203,8.064870906,0.129564491
112,Ar,293,0.01,15,struct+input,random_struct,gbm,0.880452974,0.095287924,0.201471487,0.011901431,0.341343192,0.310071713,466825656.1,329076341.8
115,Ar,293,0.01,15,struct,random_struct,gbm,0.672208995,0.076342571,0.540095338,0.013840844,0.877455649,0.342014346,6163109783,4542400704
118,Ar,293,0.01,1,struct+input,qt_then_rd,gbm,0.986509237,0.001461407,0.012742124,0.000370851,0.000571934,5.98E-05,3.471967543,0.073782786
121,Ar,293,0.01,1,struct+input,random_struct,gbm,0.953631749,0.022179272,0.018406983,0.002253684,0.005495468,0.003966609,97359808.64,36632574.47
124,Ar,293,0.01,1,struct,random_struct,gbm,0.253062242,0.093967985,0.153974637,0.007514331,0.082070415,0.016623628,2001936742,1412714681
127,Ar,293,0.01,5,struct+input,qt_then_rd,gbm,0.959311103,0.003402839,0.080171312,0.001622211,0.017598782,0.001333399,6.245694124,0.095076713
130,Ar,293,0.01,5,struct+input,random_struct,gbm,0.931370098,0.033043696,0.086242576,0.004077403,0.046359587,0.025143551,440462719,332215920.5
133,Ar,293,0.01,5,struct,random_struct,gbm,0.482658638,0.019538966,0.375656724,0.011092517,0.341791339,0.026910356,4728665775,3834495954
136,Ar,293,0.05,15,struct+input,qt_then_rd,gbm,0.83494914,0.071717314,0.199753158,0.01126926,0.42086892,0.204022688,7.922349553,0.141481233
139,Ar,293,0.05,15,struct+input,random_struct,gbm,0.887346848,0.098147008,0.195753158,0.013942272,0.324925674,0.315503052,478178416.9,515467947
142,Ar,293,0.05,15,struct,random_struct,gbm,0.672208995,0.076342571,0.540095338,0.013840844,0.877455649,0.342014346,6163109783,4542400704
145,Ar,293,0.05,1,struct+input,qt_then_rd,gbm,0.973044454,0.003271495,0.01394437,0.000789261,0.001995825,0.000252718,3.071755551,0.050418674
148,Ar,293,0.05,1,struct+input,random_struct,gbm,0.963239482,0.020804184,0.01598216,0.002302216,0.004397091,0.003505189,74868517.45,25459879.34
151,Ar,293,0.05,1,struct,random_struct,gbm,0.253062242,0.093967985,0.153974637,0.007514331,0.082070415,0.016623628,2001936742,1412714681
154,Ar,293,0.05,5,struct+input,qt_then_rd,gbm,0.91871138,0.029267911,0.081343784,0.004488322,0.047112257,0.018087674,6.009497488,0.093976766
157,Ar,293,0.05,5,struct+input,random_struct,gbm,0.935455944,0.033049501,0.082726547,0.004263039,0.043689225,0.02510069,298954389.4,215531077.5
160,Ar,293,0.05,5,struct,random_struct,gbm,0.482658638,0.019538966,0.375656724,0.011092517,0.341791339,0.026910356,4728665775,3834495954
