,gas,temperature,low_pressure,high_pressure,struct_info,sampling,model,trial_001_Model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_percent_mean,MAPE_percent_std,fit_time_sec_mean,fit_time_sec_std,predict_time_sec_mean,predict_time_sec_std
29,Ar,273K,0.05,15,struct+input,qt_then_rd,rf,rf,0.941933893,0.005258559,0.257144053,0.006716381,0.154363587,0.015643372,6.733163128,0.236837149,36.59245005,0.091075151,0.302118731,0.029427003
30,Ar,273K,0.05,15,struct+input,random_struct,cat,cat,0.946892855,0.00780477,0.269924046,0.01241406,0.172799053,0.031912538,7.406822864,0.217740454,3.466065788,0.070268623,0.002341986,3.18E-05
31,Ar,273K,0.05,15,struct+input,random_struct,gbm,gbm,0.945019383,0.005521456,0.276322788,0.010899263,0.178686924,0.024946439,7.442604284,0.192078275,15.49867487,0.129785871,0.012943029,0.000229104
32,Ar,273K,0.05,15,struct+input,random_struct,rf,rf,0.941726031,0.006712445,0.26988916,0.014003283,0.189474143,0.029209446,7.214588913,0.280146946,36.63060312,0.194022558,0.287716675,0.012952559
33,Ar,273K,0.05,15,struct,random_struct,cat,cat,0.748705215,0.021054013,0.621909662,0.026885986,0.816039259,0.097602696,19.97845107,0.841979153,3.22862463,0.019150615,0.002265453,3.82E-05
34,Ar,273K,0.05,15,struct,random_struct,gbm,gbm,0.729446691,0.019103841,0.640355406,0.025071576,0.878083738,0.090985806,20.35820694,0.729765232,13.77053199,0.063025112,0.011701441,0.000203132
35,Ar,273K,0.05,15,struct,random_struct,rf,rf,0.749882165,0.023035702,0.593342937,0.027173307,0.812208025,0.102706166,19.06611944,0.805383508,37.07552299,0.397353326,0.317063379,0.028681958
36,Ar,273K,0.05,1,struct+input,qt_then_rd,cat,cat,0.983944929,0.003122268,0.018129745,0.001164585,0.001135868,0.000211108,3.172405624,0.132592919,3.466545916,0.073931152,0.002271128,3.93E-05
37,Ar,273K,0.05,1,struct+input,qt_then_rd,gbm,gbm,0.983240238,0.00252053,0.017046138,0.0008797,0.001186842,0.000174176,2.832122914,0.0849171,15.45275512,0.068380233,0.011759663,5.85E-05
38,Ar,273K,0.05,1,struct+input,qt_then_rd,rf,rf,0.980954541,0.002645865,0.01732023,0.001028716,0.001347628,0.000173852,2.787453374,0.14904051,36.96328392,0.153761552,0.277075243,0.012258384
39,Ar,273K,0.05,1,struct+input,random_struct,cat,cat,0.971259083,0.009341598,0.027327291,0.002535605,0.00668338,0.002859604,4.046878129,0.219173912,3.599027872,0.135818393,0.002336931,4.60E-05
40,Ar,273K,0.05,1,struct+input,random_struct,gbm,gbm,0.968960226,0.009377741,0.027011504,0.002588228,0.007188458,0.002939733,3.413255118,0.119305277,15.52762642,0.120316733,0.012435341,0.000166983
41,Ar,273K,0.05,1,struct+input,random_struct,rf,rf,0.966924032,0.010591692,0.027723945,0.002327329,0.007648699,0.003261525,3.346734002,0.094546955,36.84095998,0.195561303,0.303042698,0.02132971
42,Ar,273K,0.05,1,struct,random_struct,cat,cat,0.392269983,0.037119813,0.212007605,0.007552143,0.137685404,0.024460617,53.26237275,4.207201506,3.188124323,0.031802514,0.002246428,3.66E-05
43,Ar,273K,0.05,1,struct,random_struct,gbm,gbm,0.288677376,0.025899722,0.226239667,0.007673912,0.160550438,0.02296257,55.95084672,3.346199166,13.7519382,0.034020483,0.011576033,0.000244758
44,Ar,273K,0.05,1,struct,random_struct,rf,rf,0.368565771,0.04974628,0.204124557,0.010165879,0.143212792,0.027808885,51.3716324,3.234273335,41.93867426,0.859017328,0.314549065,0.001844587
45,Ar,273K,0.05,5,struct+input,qt_then_rd,cat,cat,0.9450369,0.009774558,0.115176424,0.005132466,0.034976653,0.005507786,5.822590896,0.250553697,3.494918728,0.091369351,0.002306271,5.55E-05
46,Ar,273K,0.05,5,struct+input,qt_then_rd,gbm,gbm,0.938555181,0.01093319,0.119480556,0.005589068,0.039089341,0.006072978,5.939059123,0.295621906,15.48649545,0.071758201,0.01211133,0.000212972
47,Ar,273K,0.05,5,struct+input,qt_then_rd,rf,rf,0.941637963,0.011388719,0.111727409,0.005527278,0.03714078,0.006534347,5.541121778,0.294558477,35.74119,0.061670342,0.292099333,0.01723913
48,Ar,273K,0.05,5,struct+input,random_struct,cat,cat,0.941694745,0.00946288,0.131747355,0.006747147,0.060659799,0.013963686,6.68478285,0.351490044,3.475094509,0.070096742,0.002358723,3.12E-05
49,Ar,273K,0.05,5,struct+input,random_struct,gbm,gbm,0.935953462,0.009253879,0.137166298,0.008516165,0.06655974,0.014218221,6.721779417,0.370362624,15.53159008,0.18725388,0.01243434,7.03E-05
50,Ar,273K,0.05,5,struct+input,random_struct,rf,rf,0.935151146,0.007466296,0.13284538,0.008372891,0.067280791,0.012443132,6.303441585,0.395934465,35.91022868,0.109704255,0.298435354,0.021594292
51,Ar,273K,0.05,5,struct,random_struct,cat,cat,0.536265239,0.03344935,0.466601951,0.019993135,0.479492207,0.062976628,31.42590048,1.658490331,3.277402878,0.058968602,0.002437115,0.000251716
52,Ar,273K,0.05,5,struct,random_struct,gbm,gbm,0.482032534,0.024437145,0.486079967,0.019711407,0.534939416,0.057222296,32.11065719,1.351240811,13.78393569,0.095822912,0.011892462,0.000261947
53,Ar,273K,0.05,5,struct,random_struct,rf,rf,0.531827906,0.039540325,0.44721471,0.021846358,0.484481654,0.070997794,30.2847758,1.312545915,38.92813621,0.579629732,0.289931107,0.01492635
54,Ar,273K,0.1,15,struct+input,qt_then_rd,cat,cat,0.946360795,0.005710081,0.261413304,0.006080339,0.144768361,0.014296615,6.764456482,0.085520943,3.453943586,0.090036557,0.002337408,3.47E-05
55,Ar,273K,0.1,15,struct+input,qt_then_rd,gbm,gbm,0.942998649,0.005657815,0.269556461,0.005846336,0.153834963,0.013897332,6.948874653,0.106106215,15.48718886,0.092568141,0.012690544,6.85E-05
56,Ar,273K,0.1,15,struct+input,qt_then_rd,rf,rf,0.943284034,0.006331878,0.259030542,0.005900586,0.15315111,0.016848121,6.684137656,0.103081041,37.05401597,0.695969324,0.283530426,0.009921113
57,Ar,273K,0.1,15,struct+input,random_struct,cat,cat,0.947266129,0.0071172,0.268352277,0.010402576,0.171524523,0.029608182,7.356453857,0.202931168,3.525098085,0.062635678,0.002367783,5.76E-05
58,Ar,273K,0.1,15,struct+input,random_struct,gbm,gbm,0.94481049,0.006531251,0.274952545,0.012327979,0.17938749,0.027621455,7.38076831,0.272115097,15.50194449,0.114416679,0.013083029,0.000234197
59,Ar,273K,0.1,15,struct+input,random_struct,rf,rf,0.942489946,0.006293616,0.267974701,0.013255507,0.186957914,0.027727875,7.125032598,0.224482655,36.65208535,0.210261757,0.298931217,0.024324448
60,Ar,273K,0.1,15,struct,random_struct,cat,cat,0.748705215,0.021054013,0.621909662,0.026885986,0.816039259,0.097602696,19.97845107,0.841979153,3.313500834,0.124065836,0.002303267,5.75E-05
61,Ar,273K,0.1,15,struct,random_struct,gbm,gbm,0.729446691,0.019103841,0.640355406,0.025071576,0.878083738,0.090985806,20.35820694,0.729765232,13.80130119,0.153470978,0.011824083,0.000126694
62,Ar,273K,0.1,15,struct,random_struct,rf,rf,0.749882165,0.023035702,0.593342937,0.027173307,0.812208025,0.102706166,19.06611944,0.805383508,37.05105457,0.34111484,0.293334579,0.003252369
63,Ar,273K,0.1,1,struct+input,qt_then_rd,cat,cat,0.986037061,0.001999296,0.017181352,0.000775445,0.001015428,0.000164101,3.06574225,0.131775052,3.606581497,0.201417457,0.002354956,0.00011008
