,gas,temperature,low_pressure,high_pressure,struct_info,sampling,model,trial_001_Model,trial_001_R2,trial_001_MAE,trial_001_RMSE,trial_001_MAPE_percent,trial_001_n_train,trial_001_n_test,trial_001_fit_time_sec,trial_001_predict_time_sec,trial_002_Model,trial_002_R2,trial_002_MAE,trial_002_RMSE,trial_002_MAPE_percent,trial_002_n_train,trial_002_n_test,trial_002_fit_time_sec,trial_002_predict_time_sec,trial_003_Model,trial_003_R2,trial_003_MAE,trial_003_RMSE,trial_003_MAPE_percent,trial_003_n_train,trial_003_n_test,trial_003_fit_time_sec,trial_003_predict_time_sec,trial_004_Model,trial_004_R2,trial_004_MAE,trial_004_RMSE,trial_004_MAPE_percent,trial_004_n_train,trial_004_n_test,trial_004_fit_time_sec,trial_004_predict_time_sec,trial_005_Model,trial_005_R2,trial_005_MAE,trial_005_RMSE,trial_005_MAPE_percent,trial_005_n_train,trial_005_n_test,trial_005_fit_time_sec,trial_005_predict_time_sec
0,Ar,273K,0.01,15,struct+input,qt_then_rd,cat,cat,0.9461561905309293,0.2669709738248741,0.1440273599585824,7.150589087586985,6206,1552,3.408649682998657,0.0023367404937744,cat,0.9514414541206891,0.2601811378409639,0.1326617863331351,6.969934344039375,6206,1552,3.4959139823913574,0.0024034976959228,cat,0.9427173861904544,0.2730247525638035,0.1568607386734895,7.171186883817686,6206,1552,3.3832194805145264,0.0022826194763183,cat,0.9482377622352348,0.2595593815480568,0.1394483616788348,6.802374236887678,6206,1552,3.4725987911224365,0.0022981166839599,cat,0.9459111275603844,0.2678571254700402,0.1483948699586172,7.0989360729748014,6206,1552,3.493392944335937,0.0024247169494628
1,Ar,273K,0.01,15,struct+input,qt_then_rd,gbm,gbm,0.9403800112761748,0.280785720710672,0.1594781212793933,7.564638732497743,6206,1552,15.52712607383728,0.0125889778137207,gbm,0.9475460785949869,0.2723067548962519,0.1433039393531707,7.23269013262025,6206,1552,15.369521379470823,0.0124175548553466,gbm,0.9381762555111102,0.2825856216849899,0.1692960146743915,7.3322616635444,6206,1552,15.344401597976685,0.0124781131744384,gbm,0.945236262272202,0.2667564467353543,0.1475344543691502,6.988801946968251,6206,1552,16.07187008857727,0.0124189853668212,gbm,0.945430997884132,0.2707315241484305,0.1497121239085921,7.177756192941569,6206,1552,15.603000402450562,0.0123529434204101
2,Ar,273K,0.01,15,struct+input,qt_then_rd,rf,rf,0.9400455437948626,0.2707863960022905,0.1603727917865582,7.182731930901971,6206,1552,36.62378525733948,0.279343843460083,rf,0.9480648522470566,0.2562036216478357,0.1418866514558519,6.791352101046366,6206,1552,36.66882276535034,0.2802438735961914,rf,0.9384661911553268,0.2702253685608087,0.1685020648823861,6.983578173540264,6206,1552,36.55479121208191,0.2968974113464355,rf,0.9445788847561528,0.2522727555376213,0.1493054407402212,6.562056353529081,6206,1552,36.90376234054565,0.3036653995513916,rf,0.9469883587968446,0.2593113369072155,0.1454394452651496,6.989571933767628,6206,1552,36.69906878471375,0.3035545349121094
3,Ar,273K,0.01,15,struct+input,random_struct,cat,cat,0.952108436323352,0.268924604070949,0.1506660630617292,7.532410909969426,6206,1552,3.5981481075286865,0.0019409656524658,cat,0.9486280499115208,0.2694751915286811,0.1598090950480553,7.259250824341117,6206,1552,3.708620309829712,0.0019819736480712,cat,0.937725444132872,0.2775217683800545,0.2058125256029038,7.673115608881896,6206,1552,3.652098417282105,0.001997947692871,cat,0.9366443400415346,0.2936099910182067,0.217453062790767,7.765236090581809,6206,1552,3.3198437690734863,0.0023510456085205,cat,0.9512609206146287,0.2658044761650542,0.1563654144965755,7.4870976857414835,6206,1552,3.433664560317993,0.0022830963134765
4,Ar,273K,0.01,15,struct+input,random_struct,gbm,gbm,0.9490148113378084,0.2748206511993986,0.160398555830357,7.558460420075293,6206,1552,15.477888345718384,0.0126521587371826,gbm,0.9467260972840742,0.2748507786922758,0.1657257349204572,7.26871650991349,6206,1552,15.444120168685911,0.0128450393676757,gbm,0.939786170877924,0.2816865492650766,0.1990019852454332,7.700950932111045,6206,1552,15.395071744918823,0.0129475593566894,gbm,0.9351391639284178,0.3007029560304691,0.2226192177333774,7.790085632323541,6206,1552,15.438316345214844,0.0126583576202392,gbm,0.9489138982174596,0.2699287441741874,0.1638951654601577,7.466948781222868,6206,1552,15.427695274353027,0.0128207206726074
5,Ar,273K,0.01,15,struct+input,random_struct,rf,rf,0.941960200083384,0.2724454641489905,0.1825922455438822,7.235758237682277,6206,1552,36.70632553100586,0.2892317771911621,rf,0.9469033172646858,0.2607586089723608,0.1651744347522295,6.916820267639985,6206,1552,36.96579217910767,0.2724478244781494,rf,0.9352417445660898,0.2764216800382691,0.2140209579804698,7.552703010077288,6206,1552,36.70179677009583,0.2891209125518799,rf,0.9328379844470504,0.2949418634809601,0.2305174627612512,7.508546502918659,6206,1552,36.93237447738648,0.2755293846130371,rf,0.94593834025187,0.2616507250404971,0.1734413932616547,7.260852702484801,6206,1552,36.68017578125,0.2910597324371338
6,Ar,273K,0.01,15,struct,random_struct,cat,cat,0.7771220410177742,0.5951465929975469,0.7011703532966752,19.606481937278826,6206,1552,3.334326267242432,0.0019278526306152,cat,0.7469656528276957,0.5994242277779759,0.7871453189539346,18.976994626593587,6206,1552,3.349860668182373,0.0020065307617187,cat,0.7452921334891138,0.6206264779174602,0.841789532941559,19.59339701442799,6206,1552,3.33783221244812,0.0019397735595703,cat,0.7186301909339958,0.6611611410665267,0.9657341869434772,20.852810560098614,6206,1552,3.302347421646118,0.0019342899322509,cat,0.7555160553430855,0.6331898695248797,0.7843569026359258,20.862571189560025,6206,1552,3.305731773376465,0.0019342899322509
7,Ar,273K,0.01,15,struct,random_struct,gbm,gbm,0.7569914295978923,0.6188153374960722,0.7645009221237266,20.111185024234484,6206,1552,13.68113374710083,0.0116701126098632,gbm,0.7249243080579287,0.6174847396514775,0.8557120631641879,19.63326612496221,6206,1552,13.742061376571655,0.0116539001464843,gbm,0.731861221912565,0.633258878721239,0.8861776428883684,19.78828293114958,6206,1552,13.766242027282717,0.0115280151367187,gbm,0.7034746658178685,0.6747818102504051,1.0177518812878312,21.006371208484985,6206,1552,13.788124799728394,0.011737585067749,gbm,0.7299818272609012,0.6574362635767579,0.866276179903178,21.251929419431963,6206,1552,14.541871547698976,0.0116183757781982
8,Ar,273K,0.01,15,struct,random_struct,rf,rf,0.7749796229801189,0.5698834793866372,0.7079103648224074,18.667412738572885,6206,1552,37.05255627632141,0.2853484153747558,rf,0.7437352755198325,0.5695078232241635,0.7971944541988348,18.147570807938514,6206,1552,36.9232816696167,0.3291630744934082,rf,0.7538617916287753,0.5923199540964317,0.8134674845428456,18.71245755135878,6206,1552,38.162991762161255,0.2793176174163818,rf,0.7141665699983921,0.6357603573843382,0.9810544920941192,20.089744022267794,6206,1552,36.42075157165527,0.2957901954650879,rf,0.7626675639492746,0.5992430706798275,0.7614133300123891,19.713412063210196,6206,1552,36.67015218734741,0.2816817760467529
9,Ar,273K,0.01,1,struct+input,qt_then_rd,cat,cat,0.980280614193288,0.020366418135864,0.0014100210532685,3.74963154489205,6206,1552,3.513108730316162,0.0023081302642822,cat,0.9796356361377416,0.0205673002699611,0.0013992638716038,3.6972564103528858,6206,1552,3.489133596420288,0.002352237701416,cat,0.9836897874373376,0.0189882489477969,0.0010627967723562,3.5793131173254835,6206,1552,3.531638860702514,0.0024054050445556,cat,0.9848397853806364,0.0193333380114119,0.0010905961647881,3.548821434759792,6206,1552,3.378912210464477,0.0022463798522949,cat,0.9842375450992948,0.0202866736324261,0.0011715826064522,3.68801890222632,6206,1552,3.427431583404541,0.002359390258789
