folder,mean,std,count,GAS,TEMP,SAMPLING,MODEL,TRAIN_RATIO,QT_FRAC,LOW,HIGH
./try09_all\Ar_293_0.01_to_15__struct+input__random_struct__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.9640901330891908,0.0012489080330636,5,Ar,293,random_struct,cat,RATIO0.65,0.65,0.01,15
./try09_all\Ar_293_0.01_to_15__struct+input__random_struct__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.9633745201446964,0.0011358072482613,5,Ar,293,random_struct,cat,RATIO0.6,0.6,0.01,15
./try09_all\Ar_293_0.01_to_15__struct+input__random_struct__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.9655723949831112,0.0025828364201088,5,Ar,293,random_struct,cat,RATIO0.75,0.75,0.01,15
./try09_all\Ar_293_0.01_to_15__struct+input__random_struct__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.9648264293548208,0.0024164349640411,5,Ar,293,random_struct,cat,RATIO0.7,0.7,0.01,15
./try09_all\Ar_293_0.01_to_15__struct+input__random_struct__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.9660814471959578,0.002808010372024,5,Ar,293,random_struct,cat,RATIO0.8,0.8,0.01,15
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.9280605354590415,0.0084622355448909,5,Ar,293,random_struct,cat,RATIO0.05,0.05,0.01,15
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.9511049945986468,0.003111143421456,5,Ar,293,random_struct,cat,RATIO0.15,0.15,0.01,15
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.9443903968689908,0.0067294772149003,5,Ar,293,random_struct,cat,RATIO0.1,0.1,0.01,15
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.956488139632586,0.0025017597314694,5,Ar,293,random_struct,cat,RATIO0.25,0.25,0.01,15
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9533582833251218,0.0030599330521958,5,Ar,293,random_struct,cat,RATIO0.2,0.2,0.01,15
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.958843928993917,0.0027713025936694,5,Ar,293,random_struct,cat,RATIO0.35,0.35,0.01,15
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.9573831533626054,0.0033387205156093,5,Ar,293,random_struct,cat,RATIO0.3,0.3,0.01,15
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.9611070033027376,0.0029891228910615,5,Ar,293,random_struct,cat,RATIO0.45,0.45,0.01,15
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.9599101569747548,0.0026383668943453,5,Ar,293,random_struct,cat,RATIO0.4,0.4,0.01,15
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.9633456593540574,0.0017351872732016,5,Ar,293,random_struct,cat,RATIO0.55,0.55,0.01,15
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.9629924011354658,0.0014222562317872,5,Ar,293,random_struct,cat,RATIO0.5,0.5,0.01,15
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.9640901330891908,0.0012489080330636,5,Ar,293,random_struct,cat,RATIO0.65,0.65,0.01,15
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.9633745201446964,0.0011358072482613,5,Ar,293,random_struct,cat,RATIO0.6,0.6,0.01,15
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.9655723949831112,0.0025828364201088,5,Ar,293,random_struct,cat,RATIO0.75,0.75,0.01,15
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.9648264293548208,0.0024164349640411,5,Ar,293,random_struct,cat,RATIO0.7,0.7,0.01,15
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.9660814471959578,0.002808010372024,5,Ar,293,random_struct,cat,RATIO0.8,0.8,0.01,15
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.9265573289391164,0.013708875226979,5,Ar,293,qt_then_rd,cat,RATIO0.05,0.05,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.9678216269244684,0.0041988673978869,5,Ar,293,qt_then_rd,cat,RATIO0.15,0.15,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.9553818786762416,0.0112787218646798,5,Ar,293,qt_then_rd,cat,RATIO0.1,0.1,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.9800099750995418,0.0017962378315029,5,Ar,293,qt_then_rd,cat,RATIO0.25,0.25,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9762164342422744,0.004455752983247,5,Ar,293,qt_then_rd,cat,RATIO0.2,0.2,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.9841556282708334,0.0006922220795195,5,Ar,293,qt_then_rd,cat,RATIO0.35,0.35,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.982318246809734,0.0014927282407463,5,Ar,293,qt_then_rd,cat,RATIO0.3,0.3,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.9847310456036872,0.0008346091527834,5,Ar,293,qt_then_rd,cat,RATIO0.45,0.45,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.9846511608799636,0.0006411764393993,5,Ar,293,qt_then_rd,cat,RATIO0.4,0.4,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.9857147618168915,0.0010726111444333,5,Ar,293,qt_then_rd,cat,RATIO0.55,0.55,0.01,1
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.9847012902430832,0.001264799187949,5,Ar,293,qt_then_rd,cat,RATIO0.5,0.5,0.01,1
