,gas,temperature,low_pressure,high_pressure,struct_info,sampling,model,trial_001_R2,trial_002_R2,trial_003_R2,trial_004_R2,trial_005_R2,trial_001_MAE,trial_002_MAE,trial_003_MAE,trial_004_MAE,trial_005_MAE,trial_001_RMSE,trial_002_RMSE,trial_003_RMSE,trial_004_RMSE,trial_005_RMSE,trial_001_MAPE_percent,trial_002_MAPE_percent,trial_003_MAPE_percent,trial_004_MAPE_percent,trial_005_MAPE_percent
0,Ar,273.0,0.01,15.0,struct+input,qt_then_rd,cat,0.9393317792746476,0.7479875442624062,0.7429166933283852,0.9387185784404076,0.9352381021352296,0.2725261609038192,0.2918532769730267,0.2817649874951987,0.2849318677707113,0.2838782978467837,0.17439936655867,0.85412833261024,0.8191970126787079,0.1700615861475813,0.1902469423767384,7.278004159530315,7.069331166880803,7.024429047080032,7.477405318080523,7.4553562543216
1,Ar,273.0,0.01,15.0,struct+input,qt_then_rd,gbm,0.9242639536350618,0.7475568866566599,0.739854419737578,0.9357817872845796,0.934901604042887,0.2903185194946115,0.2990128193075836,0.2848043826569672,0.2844219429697687,0.2900225860967763,0.2177139588697997,0.8555879305560857,0.828954960054103,0.1782114519541143,0.1912354515973521,7.62145265032004,7.286915780990628,7.077625437933066,7.338011544728727,7.513669913982203
2,Ar,273.0,0.01,15.0,struct+input,qt_then_rd,rf,0.937130356782058,0.7497391477006332,0.743460480386948,0.936129681655812,0.934399938104248,0.2732965804846389,0.2842325002678497,0.2780411774291269,0.2744612470484512,0.2682968447487001,0.180727666344709,0.8481917445963325,0.8174642329829922,0.1772460130481962,0.1927091639817535,7.127217590460462,6.842263781468377,6.884377571333129,7.072900822705251,6.966373507820471
3,Ar,273.0,0.01,15.0,struct+input,random_struct,cat,0.921572719985755,0.7743984664761284,0.9367303900930832,0.9412141993548612,0.943496846925204,0.2947694701436607,0.3039527150785093,0.291126859574885,0.2906512097084595,0.2833727737164209,0.2498308219542734,0.8408426606615034,0.2064665082260556,0.2119158683717808,0.1801480847030464,8.43646364829163,7.884404815544419,7.909298865747798,7.87286168933121,7.932023301559907
4,Ar,273.0,0.01,15.0,struct+input,random_struct,gbm,0.9267541828523262,0.7665375730990647,0.9328075342754796,0.9408182746073032,0.9403674337320348,0.2953725076777265,0.3150552820749082,0.2956889598295227,0.2933075159859281,0.2884024427518882,0.2333252243274537,0.8701411073480249,0.2192678886064073,0.2133431303256512,0.1901255419300366,8.237439275697742,7.873940659745847,7.839219879096755,7.770405048851188,7.971513007656453
5,Ar,273.0,0.01,15.0,struct+input,random_struct,rf,0.9275404139954408,0.771968442318834,0.9315577210268434,0.939069141619054,0.9390968230799848,0.2767312747390463,0.2961936291376366,0.2865664914799017,0.2935638857002206,0.2761621067432437,0.2308206777883579,0.8498996380054757,0.2233463802829045,0.2196485481652432,0.1941766092229918,7.533815914736107,7.255662219535357,7.569924727197952,7.583874415287403,7.364758759923635
6,Ar,273.0,0.01,15.0,struct,random_struct,cat,0.697896077839445,0.6003365540680703,0.7266407092405722,0.727133440786488,0.7285487121891531,0.6351895589440305,0.6265766651563452,0.639702743604722,0.6781641316926957,0.6639884366977125,0.9623548231593972,1.4895912718208086,0.8920481466107504,0.9836517187953469,0.8654637295119844,21.639736887420288,19.633052667979044,20.52159783213603,21.30082775597642,22.39196847077209
7,Ar,273.0,0.01,15.0,struct,random_struct,gbm,0.7325231876749855,0.5815535038612483,0.7029295915450735,0.7035061059361664,0.7109723863198225,0.6351531533705391,0.6429007517843491,0.6597700647445454,0.6975199473310075,0.6775419866849893,0.8520498462362819,1.5595978434276083,0.9694241836043253,1.0688254704014808,0.9215020436443844,21.204581503397904,19.735920787710416,20.86820105501421,21.735292001612848,22.453250668118365
8,Ar,273.0,0.01,15.0,struct,random_struct,rf,0.7545780067201056,0.6015267578247314,0.7442322350902255,0.721660568515973,0.7499145880185014,0.5920379866665967,0.5907948906303105,0.6035717969752505,0.6524412041210131,0.6154219006447782,0.7817940172811746,1.485155246595943,0.8346420566745256,1.0033807769516712,0.7973432548268798,19.66642526088926,18.2659256982299,19.44060624616708,20.380192957801498,20.65669296417815
9,Ar,273.0,0.01,1.0,struct+input,qt_then_rd,cat,0.9800210458175356,0.9804561579978476,0.9826904445452485,0.9832411861667116,0.985645795198944,0.020518866478904,0.0207035205451162,0.0202960791907783,0.0198913592092429,0.0192597068380552,0.0014303374575967,0.0014294343944733,0.0012866261861708,0.0011932649263322,0.0010240463830774,3.6586666711109608,3.718924710394209,3.705074298766512,3.520553588812545,3.518709448358121
10,Ar,273.0,0.01,1.0,struct+input,qt_then_rd,gbm,0.978847916372961,0.9779018083616996,0.9829621130272332,0.9816745419236602,0.9852731554261616,0.0202119486910357,0.0204297079489736,0.0190237244999973,0.0197614707795217,0.0184318667870504,0.0015143243856341,0.0016162592380746,0.0012664329591527,0.0013048134909186,0.0010506309565036,3.448338394027597,3.4425292630201563,3.32358613499124,3.3512418826312924,3.1910317155849506
11,Ar,273.0,0.01,1.0,struct+input,qt_then_rd,rf,0.9776924917103504,0.9784766404644544,0.9806466111643992,0.9801773265746928,0.98485762431491,0.0200919493372307,0.0197205368937017,0.0193040684430109,0.0194663674019258,0.0183272697459436,0.001597043789226,0.0015742160830678,0.0014385451395399,0.0014114185633814,0.0010802754500462,3.3429086337444853,3.298506725342043,3.27163840221853,3.266619578771236,3.12910322047818
12,Ar,273.0,0.01,1.0,struct+input,random_struct,cat,0.9761914401851676,0.9478829711411272,0.9333338125333716,0.9315449444531712,0.9716259173235924,0.0286000241082397,0.0336228279788649,0.0332379374910639,0.0356401485424218,0.0280624048206566,0.0048025632295197,0.0131001952856441,0.0166390011860376,0.0196135358326531,0.0056175888868506,4.668467484332092,4.68537176458253,4.740503455707441,4.457666077560443,4.552444009243711
13,Ar,273.0,0.01,1.0,struct+input,random_struct,gbm,0.9756668688901572,0.9463530786714972,0.9375994212991172,0.936124200582142,0.963525234598533,0.0278916995938908,0.0336185780106161,0.0311729783951679,0.0350588839326859,0.0285162962098811,0.0049083775598392,0.0134847507861592,0.0155743614937207,0.0183015011924793,0.0072213871759855,3.9904192038748407,4.10755995540359,3.978251314519021,4.0301610398596495,3.9079910829927456
14,Ar,273.0,0.01,1.0,struct+input,random_struct,rf,0.9738335135465348,0.9495989768770838,0.9381120320124507,0.9368923533544916,0.9631692910174808,0.0284520139813941,0.0334941803074557,0.0324114611304829,0.0362756712558764,0.0278079480208291,0.0052781943412154,0.0126688581441276,0.0154464206200747,0.0180814123793875,0.0072918579900756,3.833961132755252,3.981649827071768,3.878535600870112,4.047828539570479,3.7140794340941454
15,Ar,273.0,0.01,1.0,struct,random_struct,cat,0.4261431821193571,0.3501109319318647,0.3992006208936808,0.3830860175127158,0.3183547670777338,0.2074284024585399,0.2122007537036523,0.2124434765566283,0.2318828867395417,0.2175731130009993,0.1157560001107608,0.1633568507666068,0.1499516015750095,0.1767563316474389,0.1349542372491471,53.73136130220559,51.30925687608978,53.21145073699742,56.36416679360943,65.16071142070423
16,Ar,273.0,0.01,1.0,struct,random_struct,gbm,0.351950404210638,0.2864395019801495,0.3175963827166985,0.3011438710847776,0.2754894745679862,0.2166458460623576,0.2239950612029761,0.2251076627917901,0.2412867739344635,0.225196563163484,0.1307218573424259,0.1793613733717298,0.1703189432126605,0.200234148038508,0.1434408408014296,54.554868386255606,51.79989652855025,55.55475294330888,56.840948388303616,63.3461391397827
17,Ar,273.0,0.01,1.0,struct,random_struct,rf,0.4275373338720957,0.3571163029328438,0.3761340907419669,0.3663198193400153,0.3274895570657756,0.1982175649849524,0.2034314561088518,0.2034836228140285,0.2227268451588741,0.2076939100141948,0.1154747776430372,0.1615959727931191,0.1557087032953421,0.1815601321266113,0.1331457031969359,52.49688655910625,50.03508891731963,52.0126786511918,51.460207630199015,61.32432394911813
18,Ar,273.0,0.01,5.0,struct+input,qt_then_rd,cat,0.9507663514259866,0.8660188307920478,0.8582165322681773,0.9480955293513962,0.9430187815866472,0.1185550919055271,0.1270104883838711,0.1250566574585713,0.1227975499110079,0.1233877382894975,0.0336555017118232,0.0993754129956427,0.101062576077797,0.0353641724663621,0.0391503847654443,6.002838004273162,6.073544425813829,6.106105377544022,6.141878640192324,6.3494565590699965
19,Ar,273.0,0.01,5.0,struct+input,qt_then_rd,gbm,0.938402609805948,0.8637329912294195,0.8594360689219034,0.9427301735388826,0.9403224995288524,0.1250415354456267,0.1291514823847679,0.1284180660558657,0.1263859458455141,0.1239672133788068,0.0421071996726643,0.1010708471519561,0.1001932961975787,0.0390197606252644,0.0410029334286385,6.206347909087646,6.175933038719948,6.29485194849612,6.224763766108508,6.207508252188154
20,Ar,273.0,0.01,5.0,struct+input,qt_then_rd,rf,0.9457564684921484,0.8652455263539003,0.8595058178126468,0.9462190642254006,0.941852895415132,0.118033317607303,0.1226605656450411,0.1223066272561878,0.1193980241549885,0.1162234006602075,0.0370801945497379,0.0999489820155771,0.1001435795226386,0.0366426680470623,0.0399514362957296,5.956818474721206,5.801915384088225,5.925903312687203,5.806522100374213,5.845986401601118
21,Ar,273.0,0.01,5.0,struct+input,random_struct,cat,0.925840235040808,0.8720191217559611,0.9320779915477296,0.9405574824599816,0.9271921618873248,0.1402429845417042,0.1477831703980544,0.1459562969601883,0.1422538380314028,0.1377819214297106,0.0715507228703251,0.1354977750189395,0.0746520877825663,0.069887946847853,0.071977812823909,7.615982641839715,7.092166662340708,7.588378941723713,6.977532461851191,7.215425870319302
22,Ar,273.0,0.01,5.0,struct+input,random_struct,gbm,0.9231912195362086,0.8696998117149881,0.9232021030525266,0.9314334540529688,0.9212461049540012,0.1441679017831785,0.1549059145445898,0.1494308300975296,0.1469891082709058,0.142657355745559,0.074106542381796,0.1379533086458589,0.0844074472336609,0.0806152787095681,0.0778560834068745,7.495767585477223,7.155684014603199,7.442356123032343,6.880586448797235,7.210792702755557
23,Ar,273.0,0.01,5.0,struct+input,random_struct,rf,0.9281136320092752,0.8716216172112872,0.92217942138231,0.929829514134264,0.924955471450406,0.1345788383543283,0.1474312079993271,0.1423572390931069,0.1461458564293118,0.1367953880762354,0.0693573071204974,0.1359186268063489,0.085531461725551,0.0825010680809574,0.0741890045003381,6.765089884771572,6.534284621079321,6.831408150472764,6.592509508121323,6.660021284018549
24,Ar,273.0,0.01,5.0,struct,random_struct,cat,0.5102671266368606,0.4591931205637336,0.5205493312049052,0.5031427245093774,0.5037416870761444,0.4638577174560028,0.4627288759024873,0.4760642926371795,0.5112160210710511,0.4894717466357063,0.472503400216762,0.5725709174992563,0.5269572297682148,0.5841666251278844,0.4906008595484396,32.90640048455249,30.436213597292312,32.22903768559653,33.5959390994485,35.86466768570822
25,Ar,273.0,0.01,5.0,struct,random_struct,gbm,0.4784983006798985,0.4083949359871486,0.4628050376963881,0.4376228544782468,0.4549223348150233,0.4772859222778317,0.4849966513982259,0.4971125399245886,0.5289557811741186,0.5083016297609433,0.5031545553709484,0.62635270958857,0.5904231396576332,0.661199856284878,0.5388636605094766,33.30931749876702,31.301278182362346,33.59880785452161,35.04701428360845,36.78113829955281
26,Ar,273.0,0.01,5.0,struct,random_struct,rf,0.534166164099043,0.4663844961016756,0.5310355459276026,0.5020554188837131,0.5054827939264382,0.4433197178829688,0.4378160762604554,0.4497855882468859,0.4903738599665175,0.4676973120022402,0.4494451636208788,0.5649571598966656,0.5154319842723349,0.5854449955758158,0.4888796016972873,31.46208787241219,29.014532449436924,30.81397307100552,31.731636076756324,34.41308194195963
27,Ar,273.0,0.05,15.0,struct+input,qt_then_rd,cat,0.939831054705818,0.7519600181331789,0.9303976958564792,0.94063237314141,0.9363000708954036,0.2771171743881292,0.2887520903586897,0.2714264124304584,0.2759496499368539,0.2635813454413609,0.1640219315653662,0.8333721583553493,0.1888740349026906,0.1603614820767322,0.1780333606441689,7.284654757722844,7.1537731827439295,7.036497180871148,7.337140825518035,6.920082985174311
28,Ar,273.0,0.05,15.0,struct+input,qt_then_rd,gbm,0.9355754284508684,0.7498209683358745,0.9279995141798136,0.9154534797283078,0.9294025095509376,0.2866153561053763,0.2918705839151672,0.2789123583671127,0.29110202045878,0.2718053399034214,0.1756228668143444,0.840559001915781,0.1953817828181546,0.2283737116104264,0.1973111847118888,7.508330500317655,7.119973009790873,7.24382237720048,7.694626694079827,7.055115138329972
29,Ar,273.0,0.05,15.0,struct+input,qt_then_rd,rf,0.934766920934789,0.7554857338783137,0.9289904137714144,0.9392909467421126,0.9354911621160662,0.2784655214259076,0.2760230206819646,0.2618777544811426,0.2675809078669989,0.2567853785954147,0.1778268769365772,0.8215263530212397,0.1926928602838784,0.1639848899316661,0.18029415983915,7.23030305854129,6.704051688859545,6.699852001333505,7.041898130202817,6.6350443309421765
30,Ar,273.0,0.05,15.0,struct+input,random_struct,cat,0.9183557437489408,0.77296180925261,0.9365264529985948,0.9444089926733172,0.9429335502443332,0.2897031605530922,0.2995076640902958,0.2890226765204314,0.2850469817744157,0.2778274746189941,0.2600785293502799,0.8461972460821467,0.2071320122470031,0.2003990157829076,0.1819440343564071,8.30895448029955,7.752157000180395,7.849050172669935,7.748409692360955,7.739895239426373
31,Ar,273.0,0.05,15.0,struct+input,random_struct,gbm,0.9244503631012804,0.770014504058371,0.93848770773078,0.9414941119455756,0.9355567936015852,0.2916435485214868,0.3064835058280195,0.2859076425233004,0.2923157317932637,0.2863134658173143,0.2406640633377286,0.8571821888819403,0.2007318871807689,0.2109068165416032,0.2054632276791654,8.144929984504556,7.664300910611716,7.437807133702205,7.793244564740013,7.793777125908013
32,Ar,273.0,0.05,15.0,struct+input,random_struct,rf,0.9250782238177244,0.7710526639638382,0.9334492140034352,0.9418485283098454,0.9379251704227212,0.2783232465597923,0.2904029594853223,0.2801731228538473,0.2869145688062467,0.2725474755216574,0.2386640072496742,0.8533128484414294,0.2171739074197791,0.2096291874070984,0.1979121703493567,7.596750981024142,7.170087858877146,7.394385155143417,7.45590620775425,7.269482953459377
33,Ar,273.0,0.05,15.0,struct,random_struct,cat,0.697896077839445,0.6003365540680703,0.7266407092405722,0.727133440786488,0.7285487121891531,0.6351895589440305,0.6265766651563452,0.639702743604722,0.6781641316926957,0.6639884366977125,0.9623548231593972,1.4895912718208086,0.8920481466107504,0.9836517187953469,0.8654637295119844,21.639736887420288,19.633052667979044,20.52159783213603,21.30082775597642,22.39196847077209
34,Ar,273.0,0.05,15.0,struct,random_struct,gbm,0.7325231876749855,0.5815535038612483,0.7029295915450735,0.7035061059361664,0.7109723863198225,0.6351531533705391,0.6429007517843491,0.6597700647445454,0.6975199473310075,0.6775419866849893,0.8520498462362819,1.5595978434276083,0.9694241836043253,1.0688254704014808,0.9215020436443844,21.204581503397904,19.735920787710416,20.86820105501421,21.735292001612848,22.453250668118365
35,Ar,273.0,0.05,15.0,struct,random_struct,rf,0.7545780067201056,0.6015267578247314,0.7442322350902255,0.721660568515973,0.7499145880185014,0.5920379866665967,0.5907948906303105,0.6035717969752505,0.6524412041210131,0.6154219006447782,0.7817940172811746,1.485155246595943,0.8346420566745256,1.0033807769516712,0.7973432548268798,19.66642526088926,18.2659256982299,19.44060624616708,20.380192957801498,20.65669296417815
36,Ar,273.0,0.05,1.0,struct+input,qt_then_rd,cat,0.9813866704329612,0.9844354436355768,0.9833622471845628,0.9821843844841154,0.987170068854524,0.0187257669138384,0.0185504216684129,0.0185263468566198,0.018243939364119,0.0167152395632274,0.0012413139147061,0.0011862248558378,0.0012614872408701,0.0012432879288389,0.0008439364309593,3.244644414368893,3.157022388754544,3.2031513554720346,3.20264067172817,3.0527843871760023
