Unnamed: 0,gas,temperature,low_pressure,high_pressure,struct_info,sampling,model,trial_001_R2,trial_002_R2,trial_003_R2,trial_004_R2,trial_005_R2,trial_001_MAE,trial_002_MAE,trial_003_MAE,trial_004_MAE,trial_005_MAE,trial_001_RMSE,trial_002_RMSE,trial_003_RMSE,trial_004_RMSE,trial_005_RMSE,trial_001_MAPE_percent,trial_002_MAPE_percent,trial_003_MAPE_percent,trial_004_MAPE_percent,trial_005_MAPE_percent,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_percent_mean,MAPE_percent_std
8,Ar,273.0,0.01,15.0,struct,random_struct,rf,0.7545780067201056,0.6015267578247314,0.7442322350902255,0.721660568515973,0.7499145880185014,0.5920379866665967,0.5907948906303105,0.6035717969752505,0.6524412041210131,0.6154219006447782,0.7817940172811746,1.485155246595943,0.8346420566745256,1.0033807769516712,0.7973432548268798,19.66642526088926,18.2659256982299,19.44060624616708,20.380192957801498,20.65669296417815,0.7143824312339073,0.06434011879773667,0.6108535558075898,0.025297242780975598,0.980463070466039,0.29559492618851496,19.681968625453177,0.9355853409552989
11,Ar,273.0,0.01,1.0,struct+input,qt_then_rd,rf,0.9776924917103504,0.9784766404644544,0.9806466111643992,0.9801773265746928,0.98485762431491,0.0200919493372307,0.0197205368937017,0.0193040684430109,0.0194663674019258,0.0183272697459436,0.001597043789226,0.0015742160830678,0.0014385451395399,0.0014114185633814,0.0010802754500462,3.3429086337444853,3.298506725342043,3.27163840221853,3.266619578771236,3.12910322047818,0.9803701388457615,0.0027841636828881866,0.01938203836436254,0.0006603564146309021,0.00142029980505226,0.00020673472571222366,3.261755312110895,0.08008502038678074
14,Ar,273.0,0.01,1.0,struct+input,random_struct,rf,0.9738335135465348,0.9495989768770838,0.9381120320124507,0.9368923533544916,0.9631692910174808,0.0284520139813941,0.0334941803074557,0.0324114611304829,0.0362756712558764,0.0278079480208291,0.0052781943412154,0.0126688581441276,0.0154464206200747,0.0180814123793875,0.0072918579900756,3.833961132755252,3.981649827071768,3.878535600870112,4.047828539570479,3.7140794340941454,0.9523212333616083,0.016029823574219067,0.03168825493920764,0.003548197408934069,0.01175334869497616,0.005393372113166846,3.891210906872351,0.1299250166693155
17,Ar,273.0,0.01,1.0,struct,random_struct,rf,0.4275373338720957,0.3571163029328438,0.3761340907419669,0.3663198193400153,0.3274895570657756,0.1982175649849524,0.2034314561088518,0.2034836228140285,0.2227268451588741,0.2076939100141948,0.1154747776430372,0.1615959727931191,0.1557087032953421,0.1815601321266113,0.1331457031969359,52.49688655910625,50.03508891731963,52.0126786511918,51.460207630199015,61.32432394911813,0.3709194207905394,0.0365055349353411,0.20711067981618028,0.009353936316613699,0.1494970578110091,0.02568020328715457,53.46583714138696,4.488845420843271
20,Ar,273.0,0.01,5.0,struct+input,qt_then_rd,rf,0.9457564684921484,0.8652455263539003,0.8595058178126468,0.9462190642254006,0.941852895415132,0.118033317607303,0.1226605656450411,0.1223066272561878,0.1193980241549885,0.1162234006602075,0.0370801945497379,0.0999489820155771,0.1001435795226386,0.0366426680470623,0.0399514362957296,5.956818474721206,5.801915384088225,5.925903312687203,5.806522100374213,5.845986401601118,0.9117159544598457,0.045118885863595866,0.11972438706474557,0.0027618944370307883,0.06275337208614909,0.03406739715691956,5.867429134694393,0.07048260911927161
23,Ar,273.0,0.01,5.0,struct+input,random_struct,rf,0.9281136320092752,0.8716216172112872,0.92217942138231,0.929829514134264,0.924955471450406,0.1345788383543283,0.1474312079993271,0.1423572390931069,0.1461458564293118,0.1367953880762354,0.0693573071204974,0.1359186268063489,0.085531461725551,0.0825010680809574,0.0741890045003381,6.765089884771572,6.534284621079321,6.831408150472764,6.592509508121323,6.660021284018549,0.9153399312375086,0.024615257789888007,0.14146170599046187,0.005646383552299714,0.08949949364673856,0.02673751071517745,6.676662689692707,0.12185620135535163
26,Ar,273.0,0.01,5.0,struct,random_struct,rf,0.534166164099043,0.4663844961016756,0.5310355459276026,0.5020554188837131,0.5054827939264382,0.4433197178829688,0.4378160762604554,0.4497855882468859,0.4903738599665175,0.4676973120022402,0.4494451636208788,0.5649571598966656,0.5154319842723349,0.5854449955758158,0.4888796016972873,31.46208787241219,29.014532449436924,30.81397307100552,31.731636076756324,34.41308194195963,0.5078248837876945,0.02733439100829769,0.45779851087181356,0.02140256819207491,0.5208317810125964,0.05538064930172039,31.487062282314117,1.9486202792974836
29,Ar,273.0,0.05,15.0,struct+input,qt_then_rd,rf,0.934766920934789,0.7554857338783137,0.9289904137714144,0.9392909467421126,0.9354911621160662,0.2784655214259076,0.2760230206819646,0.2618777544811426,0.2675809078669989,0.2567853785954147,0.1778268769365772,0.8215263530212397,0.1926928602838784,0.1639848899316661,0.18029415983915,7.23030305854129,6.704051688859545,6.699852001333505,7.041898130202817,6.6350443309421765,0.8988050354885392,0.08020258315343622,0.2681465166102857,0.009181692731343302,0.30726502800250227,0.2876614878224449,6.862229841975866,0.2601724112131345
32,Ar,273.0,0.05,15.0,struct+input,random_struct,rf,0.9250782238177244,0.7710526639638382,0.9334492140034352,0.9418485283098454,0.9379251704227212,0.2783232465597923,0.2904029594853223,0.2801731228538473,0.2869145688062467,0.2725474755216574,0.2386640072496742,0.8533128484414294,0.2171739074197791,0.2096291874070984,0.1979121703493567,7.596750981024142,7.170087858877146,7.394385155143417,7.45590620775425,7.269482953459377,0.9018707601035129,0.07339499617581266,0.2816722746453732,0.0070786988582622785,0.34333842417346755,0.2854711402013462,7.377322631251667,0.1652202740955464
35,Ar,273.0,0.05,15.0,struct,random_struct,rf,0.7545780067201056,0.6015267578247314,0.7442322350902255,0.721660568515973,0.7499145880185014,0.5920379866665967,0.5907948906303105,0.6035717969752505,0.6524412041210131,0.6154219006447782,0.7817940172811746,1.485155246595943,0.8346420566745256,1.0033807769516712,0.7973432548268798,19.66642526088926,18.2659256982299,19.44060624616708,20.380192957801498,20.65669296417815,0.7143824312339073,0.06434011879773667,0.6108535558075898,0.025297242780975598,0.980463070466039,0.29559492618851496,19.681968625453177,0.9355853409552989
