,importance
LCD,0.0031687222445697734
PLD,0.002062764900944729
LFPD,0.0021696805128033152
cm3_g,0.005628246585700397
ASA_m2_cm3,0.005560034035612521
ASA_m2_g,0.005111114255506926
NASA_m2_cm3,0.0005531282858696313
NASA_m2_g,0.0006405840732214819
AV_VF,0.002980010151929435
AV_cm3_g,0.007520096433194683
NAV_cm3_g,3.496528524051808e-05
Has_OMS,0.0003557246520254379
Input,0.018956968351159054
