---- START at 2025-09-08 15:20:53, Target=369/369 ----
[9/369] LOFZUB_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=11552.5s, Completed=40/369, ETA=2025-09-09 20:57:05
[47/369] IBAPEJ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5122.4s, Completed=41/369, ETA=2025-09-09 20:34:50
[26/369] YUMYUC_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=11747.8s, Completed=42/369, ETA=2025-09-09 20:01:06
[53/369] CODFEH_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4478.8s, Completed=43/369, ETA=2025-09-09 19:44:15
[42/369] ENISOK_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=6429.7s, Completed=44/369, ETA=2025-09-09 19:13:51
[69/369] GUSNEN01_SL_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=318.3s, Completed=45/369, ETA=2025-09-09 18:42:25
[29/369] ONUKAL_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=11797.2s, Completed=46/369, ETA=2025-09-09 18:42:56
[54/369] GEVXAI_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4726.7s, Completed=47/369, ETA=2025-09-09 18:12:45
[49/369] CDLGLU11_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5554.6s, Completed=48/369, ETA=2025-09-09 17:46:38
[45/369] EWIDUK_SL_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5890.4s, Completed=49/369, ETA=2025-09-09 17:15:34
[50/369] UZIGOB_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5320.4s, Completed=50/369, ETA=2025-09-09 17:00:49
[64/369] ACAJIZ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=2333.5s, Completed=51/369, ETA=2025-09-09 17:38:07
[59/369] XEJJIG_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=3166.0s, Completed=52/369, ETA=2025-09-09 17:11:32
[37/369] BUKYAJ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=9297.1s, Completed=53/369, ETA=2025-09-09 16:45:42
[74/369] BONWIL_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=1170.0s, Completed=54/369, ETA=2025-09-09 16:52:55
[60/369] MIZKOW_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=3221.0s, Completed=55/369, ETA=2025-09-09 16:29:31
[56/369] IKEBUV01_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5036.7s, Completed=56/369, ETA=2025-09-09 16:08:25
[11/369] KOBPUN_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=13673.9s, Completed=57/369, ETA=2025-09-09 15:56:13
[62/369] YEYFEP_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=3611.7s, Completed=58/369, ETA=2025-09-09 16:31:12
[71/369] NADZEZ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=2882.5s, Completed=59/369, ETA=2025-09-09 17:02:48
[12/369] ECEDEY_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=15192.4s, Completed=60/369, ETA=2025-09-09 17:18:06
[65/369] WOHZAU01_clean_h_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4647.0s, Completed=61/369, ETA=2025-09-09 17:20:05
[48/369] XESLAK_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=9410.1s, Completed=62/369, ETA=2025-09-09 17:51:06
[67/369] RUWXEN_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5203.4s, Completed=63/369, ETA=2025-09-09 17:39:17
[70/369] SALRON_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4911.6s, Completed=64/369, ETA=2025-09-09 18:01:44
[58/369] EMOFIX_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=7452.3s, Completed=65/369, ETA=2025-09-09 17:40:15
[90/369] SAXLEK_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=768.1s, Completed=66/369, ETA=2025-09-09 17:26:18
[73/369] TEHRUU_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5070.1s, Completed=67/369, ETA=2025-09-09 17:28:48
[86/369] BAHGUN01_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=3036.3s, Completed=68/369, ETA=2025-09-09 17:23:42
[76/369] NOKPEJ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4974.3s, Completed=69/369, ETA=2025-09-09 17:07:23
[79/369] CECVOW_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4766.8s, Completed=70/369, ETA=2025-09-09 17:28:49
[81/369] GIKMOD_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4764.2s, Completed=71/369, ETA=2025-09-09 17:11:47
[19/369] NETFEY_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=18013.9s, Completed=72/369, ETA=2025-09-09 16:59:34
[78/369] LERNAY01_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5935.1s, Completed=73/369, ETA=2025-09-09 17:15:38
[83/369] KEJBOQ_clean_h_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5026.8s, Completed=74/369, ETA=2025-09-09 16:59:56
[32/369] UJIZET_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=16742.6s, Completed=75/369, ETA=2025-09-09 16:59:00
[93/369] VELVEO_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=2171.4s, Completed=76/369, ETA=2025-09-09 16:47:22
[80/369] SUKRIB_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5869.4s, Completed=77/369, ETA=2025-09-09 16:36:52
[77/369] LAVTAF_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=6676.6s, Completed=78/369, ETA=2025-09-09 16:23:58
[82/369] AFOQUI_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5880.4s, Completed=79/369, ETA=2025-09-09 16:25:53
[103/369] LIWXIZ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=936.3s, Completed=80/369, ETA=2025-09-09 16:34:51
[97/369] DAWBIO_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=2463.7s, Completed=81/369, ETA=2025-09-09 16:25:20
[88/369] MIRLUU_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4697.1s, Completed=82/369, ETA=2025-09-09 16:12:35
[57/369] ORIVOC_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=11260.6s, Completed=83/369, ETA=2025-09-09 16:10:25
[63/369] WEMDUP_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=9493.0s, Completed=84/369, ETA=2025-09-09 15:59:11
[85/369] HIHFOV_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=6745.8s, Completed=85/369, ETA=2025-09-09 15:58:18
[66/369] MUZVUA_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=9914.5s, Completed=86/369, ETA=2025-09-09 16:03:34
