GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,FRACTION,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
Ar,313,0.01,5,struct+input,qt_then_rd_,cat,RATIO0.55,0.979285945831744,0.0,0.0444527781672589,0.0
Ar,313,0.01,15,struct+input,qt_then_rd_,cat,RATIO0.6,0.9677417006443196,0.0,0.1263610276722898,0.0
Ar,313,0.01,15,struct+input,qt_then_rd_,cat,RATIO0.3,0.9610352248286848,0.0,0.1360242827654131,0.0
Ar,313,0.01,1,struct+input,qt_then_rd_,cat,RATIO0.1,0.9389558386187922,0.0,0.0144810667584204,0.0
Ar,313,0.01,5,struct+input,qt_then_rd_,cat,RATIO0.6,0.9768959655770496,0.0,0.0431623565098144,0.0
Ar,313,0.01,5,struct+input,qt_then_rd_,cat,RATIO0.2,0.9655310083672728,0.0,0.0540271779481575,0.0
Ar,313,0.01,15,struct+input,qt_then_rd_,cat,RATIO0.15,0.9544928507759372,0.0,0.1505511917638548,0.0
Ar,313,0.01,1,struct+input,qt_then_rd_,cat,RATIO0.55,0.9915027060436744,0.0,0.0077606381708383,0.0
Ar,313,0.01,1,struct+input,qt_then_rd_,cat,RATIO0.15,0.9749620493764436,0.0,0.012202637274254,0.0
Ar,313,0.01,1,struct+input,qt_then_rd_,cat,RATIO0.8,0.990383365566405,0.0,0.0075362222303701,0.0
Ar,313,0.01,5,struct+input,qt_then_rd_,cat,RATIO0.45,0.9709241043428328,0.0,0.0478119045312852,0.0
Ar,313,0.01,1,struct+input,qt_then_rd_,cat,RATIO0.4,0.9643860164708566,0.0,0.0093103146920349,0.0
Ar,313,0.01,1,struct+input,qt_then_rd_,cat,RATIO0.05,0.9221610676627516,0.0,0.0199170997652184,0.0
Ar,313,0.01,1,struct+input,qt_then_rd_,cat,RATIO0.45,0.9884184831838748,0.0,0.0084116712483823,0.0
Ar,313,0.01,15,struct+input,qt_then_rd_,cat,RATIO0.5,0.9658353560427548,0.0,0.1306378684255054,0.0
Ar,313,0.01,15,struct+input,qt_then_rd_,cat,RATIO0.25,0.9538195735330433,0.0,0.1451438503352612,0.0
Ar,313,0.01,15,struct+input,qt_then_rd_,cat,RATIO0.8,0.9678375713629108,0.0,0.1228619991756974,0.0
Ar,313,0.01,5,struct+input,qt_then_rd_,cat,RATIO0.3,0.9723901043991456,0.0,0.0502243965731889,0.0
Ar,313,0.01,15,struct+input,qt_then_rd_,cat,RATIO0.7,0.9699319586006788,0.0,0.1250150605218364,0.0
Ar,313,0.01,1,struct+input,qt_then_rd_,cat,RATIO0.5,0.9884079469376162,0.0,0.0081702591305401,0.0
Ar,313,0.01,1,struct+input,qt_then_rd_,cat,RATIO0.35,0.9685675807856854,0.0,0.0094552202771385,0.0
Ar,313,0.01,1,struct+input,qt_then_rd_,cat,RATIO0.65,0.9906424899483997,0.0,0.0075887660462669,0.0
