,importance
LCD,0.014273145768051922
PLD,0.010085176854754532
LFPD,0.0149638276590831
cm3_g,0.03554545648331579
ASA_m2_cm3,0.060719207564364226
ASA_m2_g,0.05354131828354478
NASA_m2_cm3,0.003754297381972798
NASA_m2_g,0.0028651755191756285
AV_VF,0.03925949191078835
AV_cm3_g,0.041872263660248724
NAV_cm3_g,0.0011392925851367074
Has_OMS,0.015672617628187224
Input,0.3792298358097684
