---- START at 2025-08-17 23:16:27, Target=1780/1780 ----
[54/1780] LOJLAZ01_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=356.0s, Completed=43/1780, ETA=2025-08-18 10:00:46
[37/1780] TIGVUC_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=710.9s, Completed=44/1780, ETA=2025-08-18 11:02:00
[56/1780] ATIBOU_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=439.5s, Completed=45/1780, ETA=2025-08-18 10:52:38
[30/1780] NADZEZ_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=1064.5s, Completed=46/1780, ETA=2025-08-18 10:43:00
[48/1780] HAWVUY_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=562.2s, Completed=47/1780, ETA=2025-08-18 10:48:28
[62/1780] CAVSUP_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=355.0s, Completed=48/1780, ETA=2025-08-18 10:49:39
[60/1780] RITGUY_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=394.8s, Completed=49/1780, ETA=2025-08-18 10:37:21
[68/1780] DAPHOU_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=273.1s, Completed=50/1780, ETA=2025-08-18 10:38:22
[67/1780] VIZTIJ_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=290.8s, Completed=51/1780, ETA=2025-08-18 10:26:04
[53/1780] ESURER04_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=618.1s, Completed=52/1780, ETA=2025-08-18 10:36:31
[58/1780] cm503311x_F-mil-53-Al-lp-ortho_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=534.6s, Completed=53/1780, ETA=2025-08-18 10:25:32
[63/1780] ja205976v_si_006_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=377.3s, Completed=54/1780, ETA=2025-08-18 10:20:18
[66/1780] SOHNEJ_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=389.7s, Completed=55/1780, ETA=2025-08-18 10:18:16
[45/1780] DOPJAV_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=721.0s, Completed=56/1780, ETA=2025-08-18 10:15:18
[55/1780] ILIFUE_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=663.9s, Completed=57/1780, ETA=2025-08-18 10:05:50
[49/1780] MEJQID_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=715.3s, Completed=58/1780, ETA=2025-08-18 09:57:52
[65/1780] cg200332y_si_002_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=455.4s, Completed=59/1780, ETA=2025-08-18 10:06:12
[31/1780] FIPXAF_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=1133.4s, Completed=60/1780, ETA=2025-08-18 10:07:02
[39/1780] LOTDIJ_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=970.8s, Completed=61/1780, ETA=2025-08-18 10:09:18
[59/1780] CUTCAX_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=692.9s, Completed=62/1780, ETA=2025-08-18 10:08:45
[71/1780] YANBAR01_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=461.7s, Completed=63/1780, ETA=2025-08-18 10:05:45
[84/1780] IYUQID_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=173.2s, Completed=64/1780, ETA=2025-08-18 09:56:53
[73/1780] SETQUF_SL_O2_293.0K_0.01bar_14.0 Done. TimeForThis=462.7s, Completed=65/1780, ETA=2025-08-18 09:53:52
[43/1780] FALROB_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=939.9s, Completed=66/1780, ETA=2025-08-18 09:56:56
[64/1780] XOVPIH_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=595.5s, Completed=67/1780, ETA=2025-08-18 09:49:31
[69/1780] ACOGEF_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=556.2s, Completed=68/1780, ETA=2025-08-18 09:46:29
[76/1780] LUCDIW_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=379.8s, Completed=69/1780, ETA=2025-08-18 09:37:26
[87/1780] XUBGUY_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=204.6s, Completed=70/1780, ETA=2025-08-18 09:31:56
[72/1780] FINQOK_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=593.7s, Completed=71/1780, ETA=2025-08-18 09:48:23
[86/1780] NAWXER_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=284.9s, Completed=72/1780, ETA=2025-08-18 09:46:17
[90/1780] KIRFIA_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=218.3s, Completed=73/1780, ETA=2025-08-18 09:39:54
[51/1780] RASKIH_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=1034.3s, Completed=74/1780, ETA=2025-08-18 09:57:19
[78/1780] XIWLAQ_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=488.3s, Completed=75/1780, ETA=2025-08-18 09:53:14
[89/1780] VIRPOC_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=387.0s, Completed=76/1780, ETA=2025-08-18 10:11:56
[91/1780] LABMOT_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=337.2s, Completed=77/1780, ETA=2025-08-18 10:03:33
[79/1780] MAXHUP_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=574.7s, Completed=78/1780, ETA=2025-08-18 10:02:46
[82/1780] GAHXUL_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=508.4s, Completed=79/1780, ETA=2025-08-18 09:55:01
[95/1780] EBEXAM_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=323.3s, Completed=80/1780, ETA=2025-08-18 09:54:13
[85/1780] NIKYOW01_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=496.4s, Completed=81/1780, ETA=2025-08-18 09:47:38
[93/1780] KOBFIR_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=389.1s, Completed=82/1780, ETA=2025-08-18 09:56:04
[61/1780] NAGQOD_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=1036.5s, Completed=83/1780, ETA=2025-08-18 09:48:43
[81/1780] WAVQAN_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=627.4s, Completed=84/1780, ETA=2025-08-18 09:44:34
[102/1780] UMOVID_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=286.4s, Completed=85/1780, ETA=2025-08-18 09:49:56
[101/1780] UDAXEF_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=326.6s, Completed=86/1780, ETA=2025-08-18 09:50:49
[94/1780] FOQNOQ02_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=463.1s, Completed=87/1780, ETA=2025-08-18 09:45:30
[77/1780] OCIZAD_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=772.7s, Completed=88/1780, ETA=2025-08-18 09:46:32
[100/1780] ZEDQEG_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=418.8s, Completed=89/1780, ETA=2025-08-18 09:40:08
[44/1780] LUDLED_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=1428.7s, Completed=90/1780, ETA=2025-08-18 09:51:00
[103/1780] DIVPUU_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=391.0s, Completed=91/1780, ETA=2025-08-18 09:44:03
[109/1780] LAVCUJ_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=253.1s, Completed=92/1780, ETA=2025-08-18 09:46:23
[83/1780] HAHCUR_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=759.0s, Completed=93/1780, ETA=2025-08-18 09:39:51
[57/1780] FAHQIR_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=1345.1s, Completed=94/1780, ETA=2025-08-18 09:40:30
[96/1780] OKAZAD_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=581.7s, Completed=95/1780, ETA=2025-08-18 09:43:04
[74/1780] WEHHEY_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=969.9s, Completed=96/1780, ETA=2025-08-18 09:39:33
[99/1780] HUQHAE_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=575.5s, Completed=97/1780, ETA=2025-08-18 09:34:10
[114/1780] CEKHIL_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=263.1s, Completed=98/1780, ETA=2025-08-18 09:34:28
[104/1780] ALIXUP_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=445.4s, Completed=99/1780, ETA=2025-08-18 09:28:57
[107/1780] XISPUM_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=391.5s, Completed=100/1780, ETA=2025-08-18 09:30:53
[105/1780] KOBRAV01_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=464.8s, Completed=101/1780, ETA=2025-08-18 09:25:51
[80/1780] OQUXIJ_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=925.6s, Completed=102/1780, ETA=2025-08-18 09:19:55
[92/1780] IZERAI_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=740.4s, Completed=103/1780, ETA=2025-08-18 09:22:22
[75/1780] QODHUO08_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=1061.4s, Completed=104/1780, ETA=2025-08-18 09:20:27
[97/1780] VIMRAM_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=724.5s, Completed=105/1780, ETA=2025-08-18 09:25:06
[115/1780] NUTYIM_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=383.2s, Completed=106/1780, ETA=2025-08-18 09:31:41
[124/1780] OKABAE_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=288.9s, Completed=107/1780, ETA=2025-08-18 09:44:47
[117/1780] OPIFUQ_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=423.2s, Completed=108/1780, ETA=2025-08-18 09:39:25
[108/1780] KAKCEH02_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=590.3s, Completed=109/1780, ETA=2025-08-18 09:39:37
[121/1780] GUXZIJ_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=365.1s, Completed=110/1780, ETA=2025-08-18 09:34:07
[70/1780] ZAXTAV_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=1401.6s, Completed=111/1780, ETA=2025-08-18 09:32:41
[131/1780] KAHZAW_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=257.9s, Completed=112/1780, ETA=2025-08-18 09:34:19
[120/1780] XESKAJ_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=408.6s, Completed=113/1780, ETA=2025-08-18 09:29:07
[119/1780] DAKZUN_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=518.9s, Completed=114/1780, ETA=2025-08-18 09:38:24
[134/1780] VOZVIR01_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=279.5s, Completed=115/1780, ETA=2025-08-18 09:34:47
[118/1780] YINCOP_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=538.6s, Completed=116/1780, ETA=2025-08-18 09:32:12
[129/1780] MEGFIN_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=365.7s, Completed=117/1780, ETA=2025-08-18 09:27:27
[128/1780] LAVZOA_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=373.7s, Completed=118/1780, ETA=2025-08-18 09:23:40
