GAS,TEMP,MODEL,SAMPLING,LOW,R2_MEAN_HIGH_1,R2_MEAN_HIGH_5,R2_MEAN_HIGH_15,R2_STD_HIGH_1,R2_STD_HIGH_5,R2_STD_HIGH_15,MAE_MEAN_HIGH_1,MAE_MEAN_HIGH_5,MAE_MEAN_HIGH_15,MAE_STD_HIGH_1,MAE_STD_HIGH_5,MAE_STD_HIGH_15,INPUT_HIGH_1,INPUT_HIGH_5,INPUT_HIGH_15
Ar,273,0.8,qt_then_rd__cat_TRAIN_RATIO0.8,0.01,0.9805299988228372,0.9518264654516276,0.9500303554310128,0.0015392822178945,0.0022911821202965,0.0031215833186422,0.0198420724266939,0.1115675720045124,0.249314245323024,0.000491128417523,0.0021744057759957,0.0012386349331385,struct+input,struct+input,struct+input
Ar,273,0.8,qt_then_rd__cat_TRAIN_RATIO0.8,0.05,0.981843543229197,0.9543345573741554,0.95414725594505,0.0007721684237413,0.0021249071341272,0.0019840366648917,0.0179172384873877,0.1091763163722036,0.2479014028370752,0.0005141866004267,0.0025303970900966,0.005247114283435,struct+input,struct+input,struct+input
Ar,273,0.8,qt_then_rd__cat_TRAIN_RATIO0.8,0.1,0.986483776780388,0.956930383245428,0.9551701285306352,0.0028599170659939,0.0030437745942741,0.0034740122201,0.0166462608314238,0.1063326591135133,0.2440067442735702,0.0004685830493622,0.0026834350299235,0.004046670849983,struct+input,struct+input,struct+input
Ar,273,0.8,qt_then_rd__cat_TRAIN_RATIO0.8,0.5,0.9951934771410909,0.9663131620221366,0.9565704834924156,0.0004115489291336,0.0031174089639659,0.0027177660821441,0.0115343304719932,0.0964319176106599,0.2361771196642108,0.000186613995822,0.0020289498645438,0.0058446976520675,struct+input,struct+input,struct+input
Ar,273,0.8,qt_then_rd__cat_TRAIN_RATIO0.8,Henry,0.9819798807632016,0.9542504599568008,0.9531231028833906,0.0038668138902558,0.0018463920048594,0.0040556577942411,0.0184949539885405,0.109173612768263,0.248907927046043,0.0007068008130322,0.0025588000939118,0.0049401304521114,struct+input,struct+input,struct+input
Ar,313,0.8,qt_then_rd__cat_TRAIN_RATIO0.8,0.01,0.9911499475361332,0.9762679168439018,0.967134753391126,0.0005465796467677,0.0011804390281653,0.0024160045078635,0.0074328754454124,0.043513117573092,0.1269472814085715,0.0001302296593417,0.0008559108561021,0.0033625231229499,struct+input,struct+input,struct+input
Ar,313,0.8,qt_then_rd__cat_TRAIN_RATIO0.8,0.05,0.9943933601126912,0.9807058989331636,0.9712184213845272,0.0005674112713507,0.0020032275458881,0.0006219558088652,0.0056242074998773,0.0379761563859461,0.1167053590184687,6.920357972731934e-05,0.0012156563814704,0.0016896647572353,struct+input,struct+input,struct+input
Ar,313,0.8,qt_then_rd__cat_TRAIN_RATIO0.8,0.1,0.9942233597640684,0.9797446222378944,0.970678302674318,0.0007565792898087,0.000579152259906,0.0015778507271208,0.0051970263619697,0.0373907736293511,0.1163150475660133,8.483740833990524e-05,0.0002765658668619,0.0018655784003592,struct+input,struct+input,struct+input
Ar,313,0.8,qt_then_rd__cat_TRAIN_RATIO0.8,0.5,0.9969390694677202,0.983853772342976,0.97332301970541,0.0001582043116193,0.0014845666331216,0.0019622983266091,0.004210280850289,0.0335648238117528,0.1098683555458305,0.0001106013330939,0.0006154176126905,0.0015721849240823,struct+input,struct+input,struct+input
Ar,313,0.8,qt_then_rd__cat_TRAIN_RATIO0.8,Henry,0.9945734140436788,0.9808661654290612,0.9713719799320384,0.0007456593575278,0.0008031371199765,0.0006340360288266,0.0050718134542566,0.0367886659889324,0.1149239672213134,0.0001619413295422,0.0004784179012281,0.0005781402220659,struct+input,struct+input,struct+input
