iter	RMSE
0	0.01716719965
1	0.01649744466
2	0.01585228626
3	0.01525016124
4	0.01464449739
5	0.0140797098
6	0.01353730168
7	0.01304476007
8	0.01255055025
9	0.01207899233
10	0.01164363121
11	0.01125435179
12	0.01085363507
13	0.01048466312
14	0.01014215631
15	0.009799264568
16	0.009476671223
17	0.009173948996
18	0.008866572726
19	0.008589618921
20	0.008331322652
21	0.008074119451
22	0.007828740821
23	0.007593955921
24	0.007380832003
25	0.007170351422
26	0.006977867766
27	0.006793445383
28	0.006612041034
29	0.006447163706
30	0.006282701433
31	0.006124732589
32	0.005974856878
33	0.00582733019
34	0.005689715354
35	0.005558534188
36	0.005430351498
37	0.005308584299
38	0.005190851842
39	0.00508136893
40	0.004974424133
41	0.004873737451
42	0.004774971871
43	0.004683352129
44	0.004602793353
45	0.004519320814
46	0.004444795408
47	0.004368002749
48	0.004293199314
49	0.004223157841
50	0.004164449853
51	0.004110453132
52	0.00406456506
53	0.004002109852
54	0.003948427182
55	0.003891573086
56	0.003844868929
57	0.003791672326
58	0.003748062892
59	0.003705359899
60	0.003664547211
61	0.00362152251
62	0.003579827598
63	0.003543474986
64	0.003505223425
65	0.003468480986
66	0.003434337187
67	0.003401401644
68	0.003367735892
69	0.003334320437
70	0.003291161014
71	0.003260039329
72	0.003229304469
73	0.003198206554
74	0.003168476132
75	0.003139865405
76	0.003104167049
77	0.003075645386
78	0.003049363535
79	0.003022786415
80	0.002985623539
81	0.002950750459
82	0.002926538535
83	0.002897221699
84	0.002872954407
85	0.002849241198
86	0.00281992342
87	0.002786872327
88	0.002759066308
89	0.002738318951
90	0.002715750278
91	0.002687624313
92	0.002664830928
93	0.002644567375
94	0.002623697615
95	0.002600712411
96	0.002581934422
97	0.002563604139
98	0.002542626563
99	0.002525782585
100	0.002508334037
101	0.002482775511
102	0.002461369531
103	0.00244423982
104	0.002418398453
105	0.002401555147
106	0.002375253565
107	0.002358348477
108	0.002335822496
109	0.002320905532
110	0.002304776523
111	0.002291000852
112	0.002270611411
113	0.002256261388
114	0.002242988784
115	0.002224162415
116	0.002211743451
117	0.002199061615
118	0.002186170965
119	0.002172318077
120	0.002157290872
121	0.002134791689
122	0.00212386501
123	0.002111961481
124	0.002097283198
125	0.002083904476
126	0.002072890301
127	0.002061277476
128	0.002050565704
129	0.00203694346
130	0.002016398089
131	0.002006234328
132	0.001996994346
133	0.001987579599
134	0.001978886696
135	0.00196180136
