iter	Passed	Remaining
419	3362	640
420	3370	632
421	3378	624
422	3386	616
423	3395	608
424	3403	600
425	3411	592
426	3418	584
427	3427	576
428	3435	568
429	3443	560
430	3452	552
431	3460	544
432	3468	536
433	3476	528
434	3484	520
435	3492	512
436	3500	504
437	3507	496
438	3515	488
439	3523	480
440	3532	472
441	3540	464
442	3548	456
443	3556	448
444	3564	440
445	3572	432
446	3580	424
447	3587	416
448	3595	408
449	3603	400
450	3611	392
451	3619	384
452	3627	376
453	3634	368
454	3642	360
455	3650	352
456	3658	344
457	3666	336
458	3674	328
459	3682	320
460	3690	312
461	3697	304
462	3705	296
463	3712	288
464	3720	280
465	3728	272
466	3736	264
467	3744	256
468	3752	248
469	3761	240
470	3768	232
471	3776	224
472	3784	216
473	3791	207
474	3799	199
475	3807	191
476	3815	183
477	3823	175
478	3830	167
479	3838	159
480	3846	151
481	3854	143
482	3862	135
483	3870	127
484	3878	119
485	3886	111
486	3893	103
487	3901	95
488	3909	87
489	3917	79
490	3925	71
491	3932	63
492	3940	55
493	3948	47
494	3956	39
495	3964	31
496	3971	23
497	3979	15
498	3987	7
499	3995	0
