---- START at 2025-08-16 11:52:09, Target=2039/2039 ----
[9/2039] MAGNEQ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=109.8s, Completed=1/2039, ETA=2025-08-19 02:04:31
[24/2039] UTOTUT01_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=114.8s, Completed=2/2039, ETA=2025-08-17 20:22:34
[7/2039] KAXFUM_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=115.0s, Completed=3/2039, ETA=2025-08-17 09:34:55
[17/2039] VEMMIK_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=135.6s, Completed=4/2039, ETA=2025-08-17 07:03:56
[18/2039] WEXNIW_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=147.5s, Completed=5/2039, ETA=2025-08-17 04:35:01
[19/2039] UXEDIL_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=154.8s, Completed=6/2039, ETA=2025-08-17 02:28:48
[10/2039] GEKVEZ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=162.3s, Completed=7/2039, ETA=2025-08-17 01:00:04
[20/2039] NUDLIJ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=168.0s, Completed=8/2039, ETA=2025-08-16 23:45:49
[23/2039] OXALAB_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=173.5s, Completed=9/2039, ETA=2025-08-16 22:47:27
[12/2039] NIHBIQ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=175.0s, Completed=10/2039, ETA=2025-08-16 21:46:56
[21/2039] UGIGAS01_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=181.2s, Completed=11/2039, ETA=2025-08-16 21:11:52
[25/2039] LUZJAT_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=229.9s, Completed=12/2039, ETA=2025-08-16 22:43:20
[15/2039] MAFJIO_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=232.1s, Completed=13/2039, ETA=2025-08-16 21:58:58
[8/2039] OKIQAB_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=244.0s, Completed=14/2039, ETA=2025-08-16 21:44:32
[31/2039] AXIPEE_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=113.1s, Completed=15/2039, ETA=2025-08-16 21:58:59
[16/2039] FOVPUD_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=267.9s, Completed=16/2039, ETA=2025-08-16 21:21:12
[5/2039] HURFOR_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=285.0s, Completed=17/2039, ETA=2025-08-16 21:21:58
[1/2039] APARAM_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=289.9s, Completed=18/2039, ETA=2025-08-16 20:59:24
[2/2039] RUVBOB_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=292.1s, Completed=19/2039, ETA=2025-08-16 20:34:41
[3/2039] QUSQIG_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=295.5s, Completed=20/2039, ETA=2025-08-16 20:14:21
[27/2039] BEPMIU_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=183.8s, Completed=21/2039, ETA=2025-08-16 19:55:23
[11/2039] CADZIT_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=320.7s, Completed=22/2039, ETA=2025-08-16 20:07:37
[4/2039] WOPSAX02_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=339.1s, Completed=23/2039, ETA=2025-08-16 20:13:12
[35/2039] XUNSEG_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=166.8s, Completed=24/2039, ETA=2025-08-16 19:56:09
[30/2039] AGONAM_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=198.3s, Completed=25/2039, ETA=2025-08-16 19:42:19
