fold,R2,MAE,RMSE,MAPE_percent,n_train,n_test
1,0.7490765848335323,0.604814956203753,0.8251536548517281,18.895481257896645,6212.0,1554.0
2,0.5951891928461598,0.6307091718879949,1.5378697531022114,20.014712752693253,6213.0,1553.0
3,0.7585733589252692,0.5937179606613279,0.7832028367670756,18.725243390921,6213.0,1553.0
4,0.7464890971590736,0.6032889075675449,0.7869541485235549,19.394576982603493,6213.0,1553.0
5,0.7271177803853548,0.6226268831053852,0.8791321123317987,21.185530686003023,6213.0,1553.0
mean,0.715289202829878,0.6110315758852012,0.9624625011152738,19.643109014023484,6212.8,1553.2
