folder,mean,std,count,GAS,TEMP,SAMPLING,MODEL,TRAIN_RATIO,QT_FRAC,LOW,HIGH,input
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.9633456593540574,0.0017351872732016,5,Ar,293,random_with_input,cat,RATIO0.55,0.55,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.9629924011354658,0.0014222562317872,5,Ar,293,random_with_input,cat,RATIO0.5,0.5,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.9640901330891908,0.0012489080330636,5,Ar,293,random_with_input,cat,RATIO0.65,0.65,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.9633745201446964,0.0011358072482613,5,Ar,293,random_with_input,cat,RATIO0.6,0.6,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.9655723949831112,0.0025828364201088,5,Ar,293,random_with_input,cat,RATIO0.75,0.75,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.9648264293548208,0.0024164349640411,5,Ar,293,random_with_input,cat,RATIO0.7,0.7,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.9660814471959578,0.002808010372024,5,Ar,293,random_with_input,cat,RATIO0.8,0.8,0.01,15,struct+input
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.669787775078793,0.0068140121178586,5,Ar,293,random_struct,cat,RATIO0.05,0.05,0.01,15,struct
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.7129897311912552,0.0066699172717531,5,Ar,293,random_struct,cat,RATIO0.15,0.15,0.01,15,struct
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.6981280767929083,0.0080850568530729,5,Ar,293,random_struct,cat,RATIO0.1,0.1,0.01,15,struct
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.7294516802202756,0.0029530035720271,5,Ar,293,random_struct,cat,RATIO0.25,0.25,0.01,15,struct
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.7218335137128349,0.0051886956775591,5,Ar,293,random_struct,cat,RATIO0.2,0.2,0.01,15,struct
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.7427530501097267,0.0060356814645599,5,Ar,293,random_struct,cat,RATIO0.35,0.35,0.01,15,struct
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.7341437425508686,0.0064244909564273,5,Ar,293,random_struct,cat,RATIO0.3,0.3,0.01,15,struct
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.750528592806947,0.0048250426426057,5,Ar,293,random_struct,cat,RATIO0.45,0.45,0.01,15,struct
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.7488448443070882,0.0030007332306969,5,Ar,293,random_struct,cat,RATIO0.4,0.4,0.01,15,struct
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.7577468755892913,0.0052096660054046,5,Ar,293,random_struct,cat,RATIO0.55,0.55,0.01,15,struct
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.7538352249470038,0.0031475084249788,5,Ar,293,random_struct,cat,RATIO0.5,0.5,0.01,15,struct
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.7598151242151248,0.0049278808526736,5,Ar,293,random_struct,cat,RATIO0.65,0.65,0.01,15,struct
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.7591418093258857,0.001755696887122,5,Ar,293,random_struct,cat,RATIO0.6,0.6,0.01,15,struct
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.7684572110035879,0.0109401478129669,5,Ar,293,random_struct,cat,RATIO0.75,0.75,0.01,15,struct
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.7678262899265011,0.0102609004962658,5,Ar,293,random_struct,cat,RATIO0.7,0.7,0.01,15,struct
./try09_all\Ar_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.7750843955978993,0.0110976951805655,5,Ar,293,random_struct,cat,RATIO0.8,0.8,0.01,15,struct
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.9265573289391164,0.013708875226979,5,Ar,293,qt_then_rd,cat,RATIO0.05,0.05,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.9678216269244684,0.0041988673978869,5,Ar,293,qt_then_rd,cat,RATIO0.15,0.15,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.9553818786762416,0.0112787218646798,5,Ar,293,qt_then_rd,cat,RATIO0.1,0.1,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.9800099750995418,0.0017962378315029,5,Ar,293,qt_then_rd,cat,RATIO0.25,0.25,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9762164342422744,0.004455752983247,5,Ar,293,qt_then_rd,cat,RATIO0.2,0.2,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.9841556282708334,0.0006922220795195,5,Ar,293,qt_then_rd,cat,RATIO0.35,0.35,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.982318246809734,0.0014927282407463,5,Ar,293,qt_then_rd,cat,RATIO0.3,0.3,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.9847310456036872,0.0008346091527834,5,Ar,293,qt_then_rd,cat,RATIO0.45,0.45,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.9846511608799636,0.0006411764393993,5,Ar,293,qt_then_rd,cat,RATIO0.4,0.4,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.9857147618168915,0.0010726111444333,5,Ar,293,qt_then_rd,cat,RATIO0.55,0.55,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.9847012902430832,0.001264799187949,5,Ar,293,qt_then_rd,cat,RATIO0.5,0.5,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.9859769000917084,0.0010358080903851,5,Ar,293,qt_then_rd,cat,RATIO0.65,0.65,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.9864258667004632,0.0004605560336231,5,Ar,293,qt_then_rd,cat,RATIO0.6,0.6,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.9858512441529892,0.0007620664357183,5,Ar,293,qt_then_rd,cat,RATIO0.75,0.75,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.985496116313155,0.0002695624606669,5,Ar,293,qt_then_rd,cat,RATIO0.7,0.7,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.9849173448844418,0.0019152886068794,5,Ar,293,qt_then_rd,cat,RATIO0.8,0.8,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__random_with_input__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.8042121488461328,0.061335704949725,5,Ar,293,random_with_input,cat,RATIO0.05,0.05,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__random_with_input__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.8907472167724547,0.0176785169346224,5,Ar,293,random_with_input,cat,RATIO0.15,0.15,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__random_with_input__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.8610108315645263,0.0389355918546874,5,Ar,293,random_with_input,cat,RATIO0.1,0.1,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__random_with_input__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.9079180113333344,0.0120461124698882,5,Ar,293,random_with_input,cat,RATIO0.25,0.25,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__random_with_input__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9011054179422744,0.0119228127023045,5,Ar,293,random_with_input,cat,RATIO0.2,0.2,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__random_with_input__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.9158312917520104,0.0196064116088672,5,Ar,293,random_with_input,cat,RATIO0.35,0.35,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__random_with_input__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.9084908845022588,0.0130290029802077,5,Ar,293,random_with_input,cat,RATIO0.3,0.3,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__random_with_input__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.9245313735477908,0.0092430861415379,5,Ar,293,random_with_input,cat,RATIO0.45,0.45,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__random_with_input__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.9247418632100356,0.0065993613981333,5,Ar,293,random_with_input,cat,RATIO0.4,0.4,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__random_with_input__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.927431973331612,0.0158670102214338,5,Ar,293,random_with_input,cat,RATIO0.55,0.55,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__random_with_input__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.9252795907927354,0.0101316097991642,5,Ar,293,random_with_input,cat,RATIO0.5,0.5,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__random_with_input__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.9386453869365902,0.0204157921231941,5,Ar,293,random_with_input,cat,RATIO0.65,0.65,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__random_with_input__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.9374817816375604,0.0200636220444112,5,Ar,293,random_with_input,cat,RATIO0.6,0.6,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__random_with_input__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.9421135173561196,0.0233372424031552,5,Ar,293,random_with_input,cat,RATIO0.75,0.75,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__random_with_input__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.941391806962183,0.0271421833491519,5,Ar,293,random_with_input,cat,RATIO0.7,0.7,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct+input__random_with_input__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.9368265293835076,0.026558358698724,5,Ar,293,random_with_input,cat,RATIO0.8,0.8,0.01,1,struct+input
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.141971800622126,0.037821671767293,5,Ar,293,random_struct,cat,RATIO0.05,0.05,0.01,1,struct
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.2114128691370463,0.0287230615221126,5,Ar,293,random_struct,cat,RATIO0.15,0.15,0.01,1,struct
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.1835582443173403,0.042415201194337,5,Ar,293,random_struct,cat,RATIO0.1,0.1,0.01,1,struct
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.257919655672469,0.0277414950248215,5,Ar,293,random_struct,cat,RATIO0.25,0.25,0.01,1,struct
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.2372387364732318,0.02344987002008,5,Ar,293,random_struct,cat,RATIO0.2,0.2,0.01,1,struct
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.2887009797741471,0.0150624297075597,5,Ar,293,random_struct,cat,RATIO0.35,0.35,0.01,1,struct
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.2758891921486306,0.0167509834552592,5,Ar,293,random_struct,cat,RATIO0.3,0.3,0.01,1,struct
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.3089171347238184,0.0087244507564171,5,Ar,293,random_struct,cat,RATIO0.45,0.45,0.01,1,struct
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.3003920169547015,0.0093635056274416,5,Ar,293,random_struct,cat,RATIO0.4,0.4,0.01,1,struct
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.319524756897188,0.0058102209871327,5,Ar,293,random_struct,cat,RATIO0.55,0.55,0.01,1,struct
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.321313390992017,0.0037836966129713,5,Ar,293,random_struct,cat,RATIO0.5,0.5,0.01,1,struct
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.3414321596499198,0.0300215814852004,5,Ar,293,random_struct,cat,RATIO0.65,0.65,0.01,1,struct
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.3288227938369628,0.0137314102022464,5,Ar,293,random_struct,cat,RATIO0.6,0.6,0.01,1,struct
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.3461150621593932,0.0217706190914267,5,Ar,293,random_struct,cat,RATIO0.75,0.75,0.01,1,struct
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.3461900059848247,0.022810775449051,5,Ar,293,random_struct,cat,RATIO0.7,0.7,0.01,1,struct
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.3632668240054044,0.0292664934888199,5,Ar,293,random_struct,cat,RATIO0.8,0.8,0.01,1,struct
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.9366580419712338,0.0024464496151428,5,Ar,293,qt_then_rd,cat,RATIO0.05,0.05,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.9538461351946572,0.0018330615827457,5,Ar,293,qt_then_rd,cat,RATIO0.15,0.15,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.9494455725440144,0.003386424194968,5,Ar,293,qt_then_rd,cat,RATIO0.1,0.1,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.9570615145498113,0.0013266968687873,5,Ar,293,qt_then_rd,cat,RATIO0.25,0.25,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9561746543994076,0.0022451698409366,5,Ar,293,qt_then_rd,cat,RATIO0.2,0.2,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.9594330704736004,0.0014388497129172,5,Ar,293,qt_then_rd,cat,RATIO0.35,0.35,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.957905749576616,0.0007870428778352,5,Ar,293,qt_then_rd,cat,RATIO0.3,0.3,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.9598404340747454,0.0011848807682272,5,Ar,293,qt_then_rd,cat,RATIO0.45,0.45,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.9590837721255522,0.0013294886813887,5,Ar,293,qt_then_rd,cat,RATIO0.4,0.4,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.960030439664504,0.0020460593204438,5,Ar,293,qt_then_rd,cat,RATIO0.55,0.55,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.9598617627927832,0.0028569861659038,5,Ar,293,qt_then_rd,cat,RATIO0.5,0.5,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.9602003600010672,0.0017743860858448,5,Ar,293,qt_then_rd,cat,RATIO0.65,0.65,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.9612776026270144,0.0009369902789697,5,Ar,293,qt_then_rd,cat,RATIO0.6,0.6,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.9606333876736592,0.0014001136909496,5,Ar,293,qt_then_rd,cat,RATIO0.75,0.75,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.9587518488937604,0.0017125490207009,5,Ar,293,qt_then_rd,cat,RATIO0.7,0.7,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.9585963482355012,0.0025597013660105,5,Ar,293,qt_then_rd,cat,RATIO0.8,0.8,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__random_with_input__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.9007193064415366,0.0289588032017885,5,Ar,293,random_with_input,cat,RATIO0.05,0.05,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__random_with_input__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.9411583765749268,0.0072014353734219,5,Ar,293,random_with_input,cat,RATIO0.15,0.15,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__random_with_input__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.9286526082204556,0.0193458873963422,5,Ar,293,random_with_input,cat,RATIO0.1,0.1,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__random_with_input__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.9480317705422736,0.0033849032473682,5,Ar,293,random_with_input,cat,RATIO0.25,0.25,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__random_with_input__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9435207711981732,0.0049289461120473,5,Ar,293,random_with_input,cat,RATIO0.2,0.2,0.01,5,struct+input
./try09_all\Ar_293_0.01_to_5__struct+input__random_with_input__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.9494532205599756,0.0053626548784359,5,Ar,293,random_with_input,cat,RATIO0.35,0.35,0.01,5,struct+input
