GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
He,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.15,0.15,0.98835808305504,0.0009838260966203267,0.01601929489406456,0.00036922971054168755
He,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.3,0.3,0.9218052586754247,0.010254836131407563,0.01601822840001238,0.0002928753958262191
He,293,0.01,5,struct,random_struct__cat_TRAIN_RATIO0.2,0.2,0.9187651113811572,0.02278095884523433,0.00569838937928228,0.00019545370542186082
He,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.55,0.55,0.9321631440092503,0.04191764830010287,0.00106167781832822,3.742521628548465e-05
Ar,293,0.01,5,struct,random_struct__cat_TRAIN_RATIO0.8,0.8,0.9597834751826607,0.006654341749072319,0.081182579724113,0.002833275368547702
Ar,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.35,0.35,0.958843928993917,0.0024787283942665655,0.19460575974725952,0.0010899987539571972
Ar,293,0.01,5,struct+input,random_struct__cat_TRAIN_RATIO0.55,0.55,0.954849472769529,0.0028900956062690394,0.08460531669835758,0.000754665478143801
Ar,293,0.01,5,struct,random_struct__cat_TRAIN_RATIO0.5,0.5,0.954270646687496,0.003097008971392626,0.0852055091022812,0.0010739580547528046
He,293,0.01,5,struct,random_struct__cat_TRAIN_RATIO0.45,0.45,0.9271656339446801,0.027850552363602375,0.005289377259908639,8.253386493094244e-05
He,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.05,0.05,0.884357249186011,0.021475872866530892,0.02104500420400768,0.0006277351735529622
He,293,0.01,15,struct,random_struct__cat_TRAIN_RATIO0.3,0.3,0.9218052586754247,0.010254836131407563,0.01601822840001238,0.0002928753958262191
He,293,0.01,1,struct+input,random_struct__cat_TRAIN_RATIO0.25,0.25,0.9164003945354511,0.014444206554470209,0.0011298466354403,2.9538708934205113e-05
He,293,0.01,1,struct+input,random_struct__cat_TRAIN_RATIO0.75,0.75,0.9683941692076825,0.04268706299041233,0.00099061419456442,4.872154921538028e-05
He,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.25,0.25,0.9164003945354511,0.014444206554470209,0.0011298466354403,2.9538708934205113e-05
He,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.25,0.25,0.9164632248645072,0.015012184366776407,0.016218707340303957,0.0004032054197700993
Ar,293,0.01,15,struct,random_struct__cat_TRAIN_RATIO0.45,0.45,0.9611070033027375,0.0026735527910057406,0.19074643920826354,0.001447337715945731
He,293,0.01,15,struct,random_struct__cat_TRAIN_RATIO0.75,0.75,0.9674111378417527,0.045666644775807286,0.01439033020217576,0.0007427283220214551
Ar,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.15,0.15,0.9511049945986467,0.0027826912712508455,0.21035439067937517,0.001549966680461801
He,293,0.01,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.7,0.7,0.9810662171355892,0.0006047902917494193,0.00091617207436992,1.0799662722387499e-05
He,293,0.01,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.55,0.55,0.9843721819111447,0.000384054527173988,0.00093600910071974,9.495360046317874e-06
Ar,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.5,0.5,0.9252795907927354,0.009061987292973682,0.02090355497248264,0.0005650408871512744
Ar,293,0.01,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.65,0.65,0.9859769000917085,0.0009264549206981914,0.01239860667897136,0.00017254638482749177
Ar,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.8,0.8,0.9660814471959578,0.002511560829348067,0.18054339687518842,0.001963633300573899
He,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.25,0.25,0.9889604686406196,0.0004212580264250092,0.01459250770316298,0.00015295419366871343
He,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.35,0.35,0.9192923735284053,0.010682584572271787,0.01580990212659226,0.00025718319236521655
He,293,0.01,15,struct,random_struct__cat_TRAIN_RATIO0.35,0.35,0.9192923735284053,0.010682584572271787,0.01580990212659226,0.00025718319236521655
Ar,293,0.01,1,struct+input,random_struct__cat_TRAIN_RATIO0.3,0.3,0.9084908845022589,0.011653494537116735,0.022305762392969664,0.0007665182638107046
Ar,293,0.01,5,struct,random_struct__cat_TRAIN_RATIO0.3,0.3,0.949108179451898,0.0037407234564002557,0.08885084785457996,0.0011586222065057322
Ar,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.35,0.35,0.9158312917520103,0.01753650766090728,0.02203078590721366,0.0006696302777194069
He,293,0.01,5,struct+input,random_struct__cat_TRAIN_RATIO0.05,0.05,0.8896598876514867,0.02053730420940656,0.00719485403096932,0.0001763278769448097
Ar,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.25,0.25,0.9564881396325859,0.002237641929174974,0.19975565341181706,0.0009832339518228588
Ar,293,0.01,15,struct,random_struct__cat_TRAIN_RATIO0.4,0.4,0.959910156974755,0.002359827090136501,0.1925995550364748,0.0013331815532063257
He,293,0.01,15,struct,random_struct__cat_TRAIN_RATIO0.45,0.45,0.9233637513395705,0.031083980161770917,0.01552979553542202,0.00025842042830059116
Ar,293,0.01,5,struct+input,qt_then_rd__cat_TRAIN_RATIO0.05,0.05,0.9366580419712338,0.0021881710571949944,0.11093035562167897,0.0012126832630538046
He,293,0.01,5,struct,random_struct__cat_TRAIN_RATIO0.3,0.3,0.927253660086155,0.009981839241834734,0.0054470705437452,9.288899325595034e-05
He,293,0.01,1,struct+input,random_struct__cat_TRAIN_RATIO0.3,0.3,0.9236795513339284,0.009449884175572786,0.00110328307960652,2.0354403760221033e-05
He,293,0.01,1,struct+input,random_struct__cat_TRAIN_RATIO0.5,0.5,0.9198827379622878,0.026562931517288668,0.00107854184365518,1.4106792070787436e-05
He,293,0.01,15,struct,random_struct__cat_TRAIN_RATIO0.55,0.55,0.9285042476097946,0.04458256080469633,0.015532665929037298,0.0006082277806793714
He,293,0.01,5,struct+input,random_struct__cat_TRAIN_RATIO0.6,0.6,0.9585426434869946,0.038962533825972215,0.0050479601387823205,0.00019985167679767055
He,293,0.01,5,struct+input,random_struct__cat_TRAIN_RATIO0.1,0.1,0.9063174923261859,0.013976289985960847,0.006264025267841559,0.00020966816895725453
He,293,0.01,1,struct+input,random_struct__cat_TRAIN_RATIO0.15,0.15,0.915085285635568,0.021680538645062246,0.00117440083191058,4.995818329206432e-05
Ar,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.6,0.6,0.9633745201446964,0.0010158968865797437,0.18645165125124827,0.0014649530723632484
Ar,293,0.01,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.45,0.45,0.9847310456036871,0.0007464971201068943,0.0140021304242896,0.00014929505942241626
Ar,293,0.01,1,struct+input,random_struct__cat_TRAIN_RATIO0.45,0.45,0.9245313735477907,0.008267267573746082,0.02116073274990768,0.00033915205228553577
Ar,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.35,0.35,0.9531009856413206,0.0039589762926042354,0.19759813703249024,0.0010912352884374595
Ar,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.15,0.15,0.9465557052230501,0.00277967065670805,0.21792846530636742,0.0032026270221629455
He,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.5,0.5,0.9169787592404033,0.02891929832055994,0.01570341478344036,0.00029615151133248463
