GAS,TEMP,MODEL,SAMPLING,LOW,R2_MEAN_HIGH_1,R2_STD_HIGH_1,MAE_MEAN_HIGH_1,MAE_STD_HIGH_1,INPUT_HIGH_1
Ar,273,0.3,random_struct__gbm_TRAIN_RATIO0.3,0.01,0.9376363575236658,0.0047560195378,0.0345109046920845,0.0010998055240065,struct+input
Ar,273,0.3,random_struct__rf_TRAIN_RATIO0.3,0.01,0.9356691810757864,0.0047319466918772,0.0356082647034276,0.001398427296119,struct+input
Ar,273,0.35,qt_then_rd__cat_TRAIN_RATIO0.35,0.01,0.9786862118011618,0.0006609956984867,0.0232079174089081,0.0002743990098178,struct+input
Ar,273,0.35,qt_then_rd__gbm_TRAIN_RATIO0.35,0.01,0.9780525594693936,0.0013554958639669,0.0214365829366391,0.0003405406601421,struct+input
Ar,273,0.35,qt_then_rd__rf_TRAIN_RATIO0.35,0.01,0.9762790720260854,0.0010917946621373,0.0213426737960002,0.0003406108391338,struct+input
Ar,273,0.35,random_struct__cat_TRAIN_RATIO0.35,0.01,0.9477321066037412,0.0072989893984532,0.0326279148353557,0.0008412026695739,struct+input
Ar,273,0.35,random_struct__gbm_TRAIN_RATIO0.35,0.01,0.9457699575716052,0.007168286580313,0.0329676808682779,0.0008961315565005,struct+input
Ar,273,0.35,random_struct__rf_TRAIN_RATIO0.35,0.01,0.9444179515033968,0.0081897639146677,0.0336296926410962,0.0014878719999453,struct+input
Ar,273,0.4,qt_then_rd__cat_TRAIN_RATIO0.4,0.01,0.9791933489483642,0.0010178394896834,0.0224252881497492,0.0001073183011798,struct+input
Ar,273,0.4,qt_then_rd__gbm_TRAIN_RATIO0.4,0.01,0.9785673531654152,0.0013213978461222,0.0204354339974433,0.0002726911805256,struct+input
Ar,273,0.4,qt_then_rd__rf_TRAIN_RATIO0.4,0.01,0.976134536172038,0.0026871378385495,0.0206384183073978,0.0002206310042915,struct+input
Ar,273,0.4,random_struct__cat_TRAIN_RATIO0.4,0.01,0.945506513439214,0.0120541116768834,0.033194589673062,0.0013593625777053,struct+input
Ar,273,0.4,random_struct__gbm_TRAIN_RATIO0.4,0.01,0.9447969351144904,0.0088388325806405,0.0330139727672729,0.0008415097009076,struct+input
Ar,273,0.4,random_struct__rf_TRAIN_RATIO0.4,0.01,0.9411029453464153,0.0086895225744314,0.0341332422998154,0.0012789313672101,struct+input
Ar,273,0.45,qt_then_rd__cat_TRAIN_RATIO0.45,0.01,0.9792602616957689,0.0002998521265772,0.0214778796772016,0.0004314797797178,struct+input
Ar,273,0.45,qt_then_rd__gbm_TRAIN_RATIO0.45,0.01,0.978464046960992,0.0017055602012697,0.020026684971872,0.0003923237767866,struct+input
Ar,273,0.45,qt_then_rd__rf_TRAIN_RATIO0.45,0.01,0.9757542872223028,0.0023076514521259,0.020198222039963,0.0004329596987286,struct+input
Ar,273,0.45,random_struct__cat_TRAIN_RATIO0.45,0.01,0.9481418286829838,0.0063089986262416,0.0326164066846191,0.0009664551641025,struct+input
Ar,273,0.45,random_struct__gbm_TRAIN_RATIO0.45,0.01,0.9467595723843274,0.0119303504710796,0.0324446679360737,0.0011255289159916,struct+input
Ar,273,0.45,random_struct__rf_TRAIN_RATIO0.45,0.01,0.9421656701851546,0.0091455592187693,0.0338484669552684,0.0011120382342711,struct+input
Ar,273,0.5,qt_then_rd__cat_TRAIN_RATIO0.5,0.01,0.9816280102743644,0.0011360883405991,0.0202204270114227,0.0002844525520411,struct+input
