folder,mean,std,count
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.9312480210467783,0.007859964559058904,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.961765750208218,0.008427401508435229,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.9508344812190053,0.003832173996018708,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.9762586414616775,0.0018502912537859853,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9692713100747371,0.009506187715690305,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.9786862118011618,0.0007390156573256569,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.9762717630877358,0.0014025882217246902,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.9792602616957691,0.0003352448691124012,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.9791933489483642,0.001137979144557993,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.9809071640882022,0.0017142839664606867,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.9816280102743645,0.0012701853790123862,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.9809881413222845,0.0013502831458918597,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.9824041569315659,0.0010060215308622682,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.9809772608416942,0.0013765807837563978,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.9815025586093146,0.0016642115415419466,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.9826655498420956,0.0013630386622919641,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.05_QTFRAC_0.05,0.9310309789638659,0.009145672551768224,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.15_QTFRAC_0.15,0.9625997163226657,0.005018069422751607,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.1_QTFRAC_0.1,0.9497722408074148,0.007194855556065228,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.25_QTFRAC_0.25,0.9742934432406509,0.001567331050519414,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.2_QTFRAC_0.2,0.9679760952558926,0.006295588934272759,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.35_QTFRAC_0.35,0.9780525594693937,0.0015154904475249364,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.3_QTFRAC_0.3,0.976129806847306,0.0012757451730139968,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.45_QTFRAC_0.45,0.9784640469609919,0.0019068742748786947,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.4_QTFRAC_0.4,0.9785673531654151,0.001477367704625537,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.55_QTFRAC_0.55,0.9811390388624488,0.0013027897072167675,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.5_QTFRAC_0.5,0.9814935231250288,0.001455790962490858,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.65_QTFRAC_0.65,0.9808289736568498,0.002214424590281634,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.6_QTFRAC_0.6,0.9821002843882848,0.0008454965967322924,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.75_QTFRAC_0.75,0.9816118109601281,0.0016687300903322289,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.7_QTFRAC_0.7,0.9819298833186482,0.0012605310862815074,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.8_QTFRAC_0.8,0.9826299100318409,0.000896823407604191,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.05_QTFRAC_0.05,0.930105776996275,0.005705671704438502,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.15_QTFRAC_0.15,0.9611722834207725,0.006117167396146531,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.1_QTFRAC_0.1,0.9509677390108395,0.0046025706435489505,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.25_QTFRAC_0.25,0.97305094212921,0.002253882489718787,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.2_QTFRAC_0.2,0.9672285227944422,0.00602222241968563,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.35_QTFRAC_0.35,0.9762790720260854,0.0012206635410052567,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.3_QTFRAC_0.3,0.9736902513550334,0.0015325729957177125,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.45_QTFRAC_0.45,0.9757542872223027,0.0025800327576648674,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.4_QTFRAC_0.4,0.976134536172038,0.0030043114359543078,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.55_QTFRAC_0.55,0.9792098394535188,0.001798630078800241,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.5_QTFRAC_0.5,0.9790609618365093,0.0012041877815708324,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.65_QTFRAC_0.65,0.9800528672430424,0.002287351298019717,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.6_QTFRAC_0.6,0.9805442308413473,0.0015718190918660993,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.75_QTFRAC_0.75,0.9794155707411937,0.002514963560380817,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.7_QTFRAC_0.7,0.980417870659769,0.000832375197162428,5
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.8_QTFRAC_0.8,0.9809879834908557,0.0017090226800180429,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.8472879388358059,0.021762551468743112,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.9263462371252998,0.01412736474559878,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.9114287760645349,0.01306729849252903,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.9315963067971863,0.006926907002356097,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9293615915455644,0.012326184024367305,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.9477321066037412,0.008160518230995915,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.9378440170607731,0.007645430804381717,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.9481418286829838,0.007053674899114617,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.9455065134392141,0.013476906558942696,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.953869103512036,0.00977729232518884,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.9511604541209977,0.00749603080926726,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.9506951260946686,0.009218900036101737,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.9561241265041407,0.011721473687397866,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.9490363262341696,0.011250175256593085,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.9532680999318206,0.006191883162060111,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.9599358588118386,0.017864848491835467,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.05_QTFRAC_0.05,0.8657189739492962,0.03698160380792718,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.15_QTFRAC_0.15,0.9232591431677856,0.008879000943215247,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.1_QTFRAC_0.1,0.8949575105977285,0.02483838210831344,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.25_QTFRAC_0.25,0.9323582644389934,0.007377886450995737,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.2_QTFRAC_0.2,0.9156650221040964,0.028079753684174404,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.35_QTFRAC_0.35,0.9457699575716052,0.008014388037889722,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.3_QTFRAC_0.3,0.9376363575236658,0.0053173914944191015,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.45_QTFRAC_0.45,0.9467595723843274,0.013338537324365423,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.4_QTFRAC_0.4,0.9447969351144903,0.00988211524602608,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.55_QTFRAC_0.55,0.9539541413374628,0.009978297365820574,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.5_QTFRAC_0.5,0.9474928850094202,0.00901493497617609,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.65_QTFRAC_0.65,0.9480967803125969,0.016577925193492587,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.6_QTFRAC_0.6,0.9536895182618836,0.016121754169050605,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.75_QTFRAC_0.75,0.9502740384077768,0.011103338338059576,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.7_QTFRAC_0.7,0.9575199119114537,0.008700628942746135,5
./try09\Ar_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.8_QTFRAC_0.8,0.9587264095996517,0.01605130465388952,5
