folder,mean,std,count,GAS,TEMP,SAMPLING,MODEL,TRAIN_RATIO,QT_FRAC,LOW,HIGH
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.9868676581374264,0.000996460329485,5,He,273,qt_then_rd,cat,RATIO0.25,0.25,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9857638247819522,0.0019945239207643,5,He,273,qt_then_rd,cat,RATIO0.2,0.2,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.9865389110834772,0.0006489683870732,5,He,273,qt_then_rd,cat,RATIO0.35,0.35,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.9871286828954836,0.0007547065832404,5,He,273,qt_then_rd,cat,RATIO0.3,0.3,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.9850941227452548,0.0004652886663458,5,He,273,qt_then_rd,cat,RATIO0.45,0.45,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.9855424664363296,0.0007102694196958,5,He,273,qt_then_rd,cat,RATIO0.4,0.4,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.9834490180426704,0.0002579455797291,5,He,273,qt_then_rd,cat,RATIO0.55,0.55,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.984149870382484,0.0003940548999378,5,He,273,qt_then_rd,cat,RATIO0.5,0.5,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.9808888312789156,0.0005760046088163,5,He,273,qt_then_rd,cat,RATIO0.65,0.65,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.9822083259336876,0.0006941972796137,5,He,273,qt_then_rd,cat,RATIO0.6,0.6,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.9765950964248596,0.0004944475070057,5,He,273,qt_then_rd,cat,RATIO0.75,0.75,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.9797779181728736,0.0006420223719351,5,He,273,qt_then_rd,cat,RATIO0.7,0.7,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.9764032094741564,0.0006291383342815,5,He,273,qt_then_rd,cat,RATIO0.8,0.8,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.05_QTFRAC_0.05,0.9555540695641828,0.0186529845847731,5,He,273,qt_then_rd,gbm,RATIO0.05,0.05,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.15_QTFRAC_0.15,0.9903294297905584,0.0001672626369981,5,He,273,qt_then_rd,gbm,RATIO0.15,0.15,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.1_QTFRAC_0.1,0.9768918820357524,0.0187072494000157,5,He,273,qt_then_rd,gbm,RATIO0.1,0.1,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.25_QTFRAC_0.25,0.9887899538041952,0.0002478554470273,5,He,273,qt_then_rd,gbm,RATIO0.25,0.25,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.2_QTFRAC_0.2,0.9891885020394116,0.0006461067642733,5,He,273,qt_then_rd,gbm,RATIO0.2,0.2,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.35_QTFRAC_0.35,0.986988769942232,0.0001133700442295,5,He,273,qt_then_rd,gbm,RATIO0.35,0.35,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.3_QTFRAC_0.3,0.9878819698818324,0.000284988951693,5,He,273,qt_then_rd,gbm,RATIO0.3,0.3,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.45_QTFRAC_0.45,0.9853150128762336,0.0004563194293828,5,He,273,qt_then_rd,gbm,RATIO0.45,0.45,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.4_QTFRAC_0.4,0.986265502579022,0.0002861628737758,5,He,273,qt_then_rd,gbm,RATIO0.4,0.4,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.55_QTFRAC_0.55,0.9833675553002144,0.0002772889571134,5,He,273,qt_then_rd,gbm,RATIO0.55,0.55,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.5_QTFRAC_0.5,0.9842973462086888,0.0003294555523763,5,He,273,qt_then_rd,gbm,RATIO0.5,0.5,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.65_QTFRAC_0.65,0.9809804107131675,0.0005804596112555,5,He,273,qt_then_rd,gbm,RATIO0.65,0.65,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.6_QTFRAC_0.6,0.9819295008817216,0.0003669004572452,5,He,273,qt_then_rd,gbm,RATIO0.6,0.6,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.75_QTFRAC_0.75,0.976564888294907,0.0007987813158985,5,He,273,qt_then_rd,gbm,RATIO0.75,0.75,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.7_QTFRAC_0.7,0.9792299196275838,0.0004592327157621,5,He,273,qt_then_rd,gbm,RATIO0.7,0.7,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.8_QTFRAC_0.8,0.9761843133001076,0.0006602764817018,5,He,273,qt_then_rd,gbm,RATIO0.8,0.8,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.05_QTFRAC_0.05,0.9566358748679512,0.0229130025433508,5,He,273,qt_then_rd,rf,RATIO0.05,0.05,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.15_QTFRAC_0.15,0.9903313296882224,0.0004411088231394,5,He,273,qt_then_rd,rf,RATIO0.15,0.15,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.1_QTFRAC_0.1,0.974180500101147,0.0227036133895389,5,He,273,qt_then_rd,rf,RATIO0.1,0.1,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.25_QTFRAC_0.25,0.9889069534769448,0.0001255033883957,5,He,273,qt_then_rd,rf,RATIO0.25,0.25,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.2_QTFRAC_0.2,0.989213693302644,0.0008481728392215,5,He,273,qt_then_rd,rf,RATIO0.2,0.2,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.35_QTFRAC_0.35,0.987007320340479,0.0001989878321874,5,He,273,qt_then_rd,rf,RATIO0.35,0.35,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.3_QTFRAC_0.3,0.9878502079999822,0.000254615382008,5,He,273,qt_then_rd,rf,RATIO0.3,0.3,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.45_QTFRAC_0.45,0.9851331311589562,0.0006186931193446,5,He,273,qt_then_rd,rf,RATIO0.45,0.45,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.4_QTFRAC_0.4,0.9860585813679372,0.0002802531820924,5,He,273,qt_then_rd,rf,RATIO0.4,0.4,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.55_QTFRAC_0.55,0.9831121018501374,0.0002662020598739,5,He,273,qt_then_rd,rf,RATIO0.55,0.55,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.5_QTFRAC_0.5,0.9841256549943256,0.0004345510991925,5,He,273,qt_then_rd,rf,RATIO0.5,0.5,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.65_QTFRAC_0.65,0.9808648507794212,0.0004665058595302,5,He,273,qt_then_rd,rf,RATIO0.65,0.65,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.6_QTFRAC_0.6,0.9817175151024748,0.000546072036524,5,He,273,qt_then_rd,rf,RATIO0.6,0.6,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.75_QTFRAC_0.75,0.9761544811339998,0.0006751261991085,5,He,273,qt_then_rd,rf,RATIO0.75,0.75,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.7_QTFRAC_0.7,0.9790455431077746,0.0007463211451813,5,He,273,qt_then_rd,rf,RATIO0.7,0.7,0.01,1
./try09\He_273_0.01_to_1__struct+input__qt_then_rd__rf_TRAIN_RATIO0.8_QTFRAC_0.8,0.9760806638636128,0.0002649605390694,5,He,273,qt_then_rd,rf,RATIO0.8,0.8,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.884290784194414,0.0253766312216873,5,He,273,random_struct,cat,RATIO0.05,0.05,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.9123751207708368,0.0233402952672655,5,He,273,random_struct,cat,RATIO0.15,0.15,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.8983924154675769,0.0181895208525239,5,He,273,random_struct,cat,RATIO0.1,0.1,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.9161637294344044,0.0145024488872903,5,He,273,random_struct,cat,RATIO0.25,0.25,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.91305692738012,0.026077120286751,5,He,273,random_struct,cat,RATIO0.2,0.2,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.9209361851995452,0.0085386314068626,5,He,273,random_struct,cat,RATIO0.35,0.35,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.920355193832388,0.0099108044394829,5,He,273,random_struct,cat,RATIO0.3,0.3,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.922475591101282,0.0311035737737876,5,He,273,random_struct,cat,RATIO0.45,0.45,0.01,1
