GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
O2,293,0.01,5,struct,random_struct,cat,0.3845439735685943,0.08584267242102332,0.3210308114216867,0.007053225723718655
N2,293,0.01,5,struct,random_struct,gbm,0.31685446251857663,0.04976392801870495,0.3350201664431334,0.003519942579785981
He,273,0.01,1,struct,random_struct,rf,0.9498361424535162,0.04242363067051347,0.00153631661610832,5.930665137411442e-05
Ar,293,0.01,1,struct,random_struct,rf,0.3872895819412143,0.0283627737927333,0.1371818030904318,0.001975083861620968
He,293,0.01,1,struct,random_struct,gbm,0.944685232603739,0.03650339718574963,0.0013559994778720003,4.475867870842716e-05
Ar,313,0.01,1,struct,random_struct,gbm,0.2541288608885069,0.06493823262219209,0.10713985824553526,0.005035441207924324
He,313,0.01,5,struct,random_struct,gbm,0.9544926164753391,0.03308899030799452,0.0057171311837272195,0.00022013788313065804
Ar,273,0.01,5,struct,random_struct,cat,0.5362652394503648,0.029918008438573902,0.46660195103981783,0.01788240315992648
He,273,0.01,1,struct,random_struct,gbm,0.944981306037689,0.03339453205982717,0.0016166989468212802,3.6893309653518885e-05
Ar,313,0.01,5,struct,random_struct,rf,0.46425133119029294,0.040441670839505374,0.2756542560182353,0.008535733714644314
He,273,0.01,15,struct,random_struct,cat,0.9524365002153322,0.05330244022032618,0.02342741006698194,0.0008138198369241712
He,293,0.01,1,struct,random_struct,cat,0.9541179972746845,0.04959174539939156,0.00139990641659702,6.10360984617946e-05
H2,293,0.01,5,struct,random_struct,cat,0.19622381785608617,0.11017669221393447,0.2694045741342241,0.007228064007335079
He,273,0.01,15,struct,random_struct,rf,0.949595068692075,0.04392973453516939,0.02182888084960042,0.0007523414412293305
Ar,273,0.01,15,struct,random_struct,gbm,0.7294466905294312,0.017086995021405545,0.6403554059391904,0.022424699039083375
O2,293,0.01,5,struct,random_struct,rf,0.37271291266531736,0.07979198725217906,0.3077296607713403,0.00858252976312396
He,273,0.01,1,struct,random_struct,cat,0.9497990613335704,0.050290772072847344,0.0016658506539783398,6.810811206167746e-05
He,313,0.01,1,struct,random_struct,rf,0.9554572357948242,0.04519148621106595,0.0011117620738144598,5.4403900669911144e-05
Ar,313,0.01,1,struct,random_struct,rf,0.3389722750072662,0.054819179358562085,0.09721044294976645,0.0038534478364296585
Ar,293,0.01,5,struct,random_struct,gbm,0.5268160114089084,0.018122309910834793,0.36585732453445524,0.002048293240071165
Ar,273,0.01,5,struct,random_struct,gbm,0.4820325344905677,0.021857247295297182,0.4860799669965442,0.01763041843437031
Ar,273,0.01,5,struct,random_struct,rf,0.5318279057573673,0.03536594213617623,0.4472147095310469,0.019539976893195858
Ar,273,0.01,1,struct,random_struct,gbm,0.2886773758616358,0.0231654155273406,0.2262396671479896,0.00686375523482149
He,313,0.01,15,struct,random_struct,gbm,0.9502228732364133,0.03990705493627385,0.01685824304072094,0.0006323218886426739
Ar,293,0.01,1,struct,random_struct,gbm,0.3259089624261231,0.031462609411875064,0.15089062978717177,0.0024603442289928925
Ar,293,0.01,15,struct,random_struct,rf,0.7773495515984721,0.009834420450852643,0.4801169502643983,0.004722513572576995
He,273,0.01,5,struct,random_struct,gbm,0.9501201683654206,0.033608347581539896,0.00786462177009294,0.00019373582038548622
He,273,0.01,5,struct,random_struct,rf,0.9490362539175138,0.03872448036667286,0.007553437080273459,0.00027513640774907776
Ar,293,0.01,5,struct,random_struct,rf,0.5689528882129773,0.017833244591053458,0.33750050645958185,0.0019676610090283648
He,313,0.01,15,struct,random_struct,rf,0.9545276605369409,0.04700084617928181,0.016144325364503602,0.0007418125639146684
He,313,0.01,1,struct,random_struct,gbm,0.950834561659134,0.037673405883505304,0.00116112431249882,4.0384725957198643e-05
He,293,0.01,15,struct,random_struct,cat,0.9543325182085718,0.054860525935904327,0.02004901126051886,0.0007497626373131045
H2,293,0.01,5,struct,random_struct,gbm,0.1701000975913114,0.09843206186949864,0.27353487266295956,0.007686543301752715
He,273,0.01,15,struct,random_struct,gbm,0.9553893796820846,0.0370229147456528,0.02264778001229294,0.0005056329430312916
He,293,0.01,5,struct,random_struct,rf,0.9541874319449762,0.04109360425835061,0.006368543696872101,0.00027001036802262675
Ar,273,0.01,1,struct,random_struct,cat,0.3922699828404989,0.0332009696503892,0.2120076051528578,0.006754842406129608
Ar,313,0.01,5,struct,random_struct,cat,0.48094294882251304,0.01857054240904024,0.28482758423005927,0.005667131768443422
Ar,293,0.01,5,struct,random_struct,cat,0.5616129782653845,0.016559802426449815,0.35430065180849846,0.0034051218420936623
Ar,313,0.01,5,struct,random_struct,gbm,0.4207578672270462,0.020785471771335495,0.2988105014255944,0.006731891520351388
He,313,0.01,5,struct,random_struct,rf,0.95380624612096,0.04046637545306738,0.005510116122677541,0.0002588301550108254
Ar,313,0.01,15,struct,random_struct,gbm,0.6599149805033189,0.00978250195454394,0.4693639999607083,0.010581294224846395
