,name,gas,pressure,temp,cutoff,path,Average loading absolute [mol/kg framework],Average loading excess [mol/kg framework],Average loading absolute [molecules/unit cell],Average loading excess [molecules/unit cell]
0,00958972.2016.1250260_1436516_clean,helium,0.01,293.0,14.0,00958972.2016.1250260_1436516_clean_helium_293.0K_0.01bar_14.0/Output/System_0,0.0001142349,0.0001142349,6.66667e-05,6.66667e-05
1,00958972.2016.1250260_1436519_clean,helium,0.01,293.0,14.0,00958972.2016.1250260_1436519_clean_helium_293.0K_0.01bar_14.0/Output/System_0,7.50702e-05,7.50702e-05,0.0001708333,0.0001708333
2,00958972.2016.1253069_1472494_clean,helium,0.01,293.0,14.0,00958972.2016.1253069_1472494_clean_helium_293.0K_0.01bar_14.0/Output/System_0,4.55085e-05,4.55085e-05,0.00071875,0.00071875
3,ABAYOU_clean,helium,0.01,293.0,14.0,ABAYOU_clean_helium_293.0K_0.01bar_14.0/Output/System_0,0.0002520554,0.0002520554,0.0028125,0.0028125
4,ABETAE_clean,helium,0.01,293.0,14.0,ABETAE_clean_helium_293.0K_0.01bar_14.0/Output/System_0,6.23661e-05,6.23661e-05,0.0003916667,0.0003916667
5,ABEXEM_clean,helium,0.01,293.0,14.0,ABEXEM_clean_helium_293.0K_0.01bar_14.0/Output/System_0,7.95911e-05,7.95911e-05,0.0002222222,0.0002222222
6,ABEYEN_clean,helium,0.01,293.0,14.0,ABEYEN_clean_helium_293.0K_0.01bar_14.0/Output/System_0,8.34334e-05,8.34334e-05,0.0002416667,0.0002416667
7,ABEYIR_clean,helium,0.01,293.0,14.0,ABEYIR_clean_helium_293.0K_0.01bar_14.0/Output/System_0,5.86024e-05,5.86024e-05,0.0001722222,0.0001722222
8,ABIYIV_clean,helium,0.01,293.0,14.0,ABIYIV_clean_helium_293.0K_0.01bar_14.0/Output/System_0,5.13452e-05,5.13452e-05,0.0001958333,0.0001958333
9,ABUWOJ_clean,helium,0.01,293.0,14.0,ABUWOJ_clean_helium_293.0K_0.01bar_14.0/Output/System_0,0.0002300141,0.0002300141,0.000725,0.000725
10,ac403674p_si_001_clean,helium,0.01,293.0,14.0,ac403674p_si_001_clean_helium_293.0K_0.01bar_14.0/Output/System_0,0.0001420758,0.0001420758,0.0003125,0.0003125
