---- START at 2025-03-26 22:58:37, Target=6012/6012 ----
[1/6012] __pycache__ FAILED: Command '/home/ys/Research/PSID_server_room/simulations/[02]RASPA/bin/simulate simulation.input' died with <Signals.SIGSEGV: 11>.
[44/6012] ISIYUF_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=81.9s, Completed=41/6012, ETA=2025-03-27 04:32:06
[38/6012] VUQKAU01_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=90.7s, Completed=42/6012, ETA=2025-03-27 04:24:33
[54/6012] LOMFIC_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=65.9s, Completed=43/6012, ETA=2025-03-27 04:19:46
[46/6012] HOMRIL_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=80.4s, Completed=44/6012, ETA=2025-03-27 04:17:08
[36/6012] AJAYIT_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=104.6s, Completed=45/6012, ETA=2025-03-27 04:11:09
[40/6012] BAXFIR02_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=98.5s, Completed=46/6012, ETA=2025-03-27 04:19:09
[51/6012] DUCHEP_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=81.0s, Completed=47/6012, ETA=2025-03-27 04:13:39
[24/6012] RAVJOP_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=148.9s, Completed=48/6012, ETA=2025-03-27 04:09:31
[64/6012] REXDUV_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=47.0s, Completed=49/6012, ETA=2025-03-27 04:05:25
[50/6012] OQERUY_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=86.1s, Completed=50/6012, ETA=2025-03-27 04:03:28
[58/6012] TILHAY_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=73.9s, Completed=51/6012, ETA=2025-03-27 04:05:16
[41/6012] ECALIF_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=104.7s, Completed=52/6012, ETA=2025-03-27 03:59:56
[69/6012] CEKNIQ_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=38.6s, Completed=53/6012, ETA=2025-03-27 03:57:29
[60/6012] BEXVAD_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=70.5s, Completed=54/6012, ETA=2025-03-27 03:52:47
[52/6012] VEDVUW_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=96.3s, Completed=55/6012, ETA=2025-03-27 03:59:38
[68/6012] ZEDQEG_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=55.2s, Completed=56/6012, ETA=2025-03-27 04:07:19
[47/6012] COQJID_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=116.0s, Completed=57/6012, ETA=2025-03-27 04:07:59
[59/6012] QOSJUF_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=96.8s, Completed=58/6012, ETA=2025-03-27 04:11:59
[71/6012] WEZCIO_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=64.1s, Completed=59/6012, ETA=2025-03-27 04:18:31
[66/6012] CUVGIK_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=85.3s, Completed=60/6012, ETA=2025-03-27 04:23:24
[81/6012] DAHPAE_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=47.0s, Completed=61/6012, ETA=2025-03-27 04:18:36
[78/6012] HUJVOX_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=56.6s, Completed=62/6012, ETA=2025-03-27 04:16:05
[63/6012] IJENER_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=104.3s, Completed=63/6012, ETA=2025-03-27 04:13:53
[61/6012] HIQNIG_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=108.4s, Completed=64/6012, ETA=2025-03-27 04:10:37
[55/6012] UJOKIP03_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=126.9s, Completed=65/6012, ETA=2025-03-27 04:06:41
[39/6012] NIGLUK_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=154.5s, Completed=66/6012, ETA=2025-03-27 04:05:12
[77/6012] XOBXIW_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=64.8s, Completed=67/6012, ETA=2025-03-27 04:01:35
[72/6012] SUXYIU_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=79.8s, Completed=68/6012, ETA=2025-03-27 04:00:28
[57/6012] HAPNOE_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=125.1s, Completed=69/6012, ETA=2025-03-27 03:59:07
[65/6012] WAKLAW_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=102.4s, Completed=70/6012, ETA=2025-03-27 03:56:45
[85/6012] POJNIM_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=53.2s, Completed=71/6012, ETA=2025-03-27 03:54:02
[83/6012] NABMUA_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=60.5s, Completed=72/6012, ETA=2025-03-27 03:51:38
[70/6012] XOMHIS_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=88.7s, Completed=73/6012, ETA=2025-03-27 03:49:47
[62/6012] TONVAV_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=122.7s, Completed=74/6012, ETA=2025-03-27 03:47:57
[75/6012] DUMXEQ01_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=77.9s, Completed=75/6012, ETA=2025-03-27 03:45:02
[80/6012] KEGYAX_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=69.1s, Completed=76/6012, ETA=2025-03-27 03:43:44
[87/6012] VOGTIV_clean_h_helium_293.0K_0.05bar_14.0 Done. TimeForThis=60.2s, Completed=77/6012, ETA=2025-03-27 03:42:40
[88/6012] acs.inorgchem.6b01211_ic6b01211_si_002_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=60.5s, Completed=78/6012, ETA=2025-03-27 03:39:58
[90/6012] VOYGOH_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=47.7s, Completed=79/6012, ETA=2025-03-27 03:37:56
[67/6012] HOVGEG_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=115.5s, Completed=80/6012, ETA=2025-03-27 03:42:15
[84/6012] PENYIR_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=80.0s, Completed=81/6012, ETA=2025-03-27 03:45:47
[91/6012] c5cc05867h_c5cc05867h2_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=57.0s, Completed=82/6012, ETA=2025-03-27 03:43:21
[93/6012] ja512137t_si_002_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=54.3s, Completed=83/6012, ETA=2025-03-27 03:51:36
