,name,0.01 bar,0.05 bar,0.1 bar,0.2 bar,0.35 bar,0.5 bar,1.0 bar,5.0 bar,15.0 bar
0,00958972.2016.1250260_1436516_clean,0.0001142349,0.0005369041,0.0012032745,0.0022789866,0.004000126,0.0057345928,0.0114177799,0.057601053,0.1699092076
1,00958972.2016.1250260_1436519_clean,7.50702e-05,0.0003423932,0.0007946452,0.0014922484,0.002607315,0.0037754801,0.0076736358,0.0365408611,0.1096738508
2,00958972.2016.1253069_1472494_clean,4.55085e-05,0.0002156706,0.0004531062,0.0008891962,0.0016117918,0.0022766113,0.0044910937,0.0223288362,0.0663525555
3,ABAYOU_clean,0.0002520554,0.0013034064,0.0025692845,0.0051816986,0.0090062189,0.0129091565,0.0254867202,0.1288781584,0.3663737034
4,ABETAE_clean,6.23661e-05,0.0003326193,0.000684258,0.0012628032,0.0023137385,0.003332385,0.0065179222,0.032626323,0.0968324567
5,ABEXEM_clean,7.95911e-05,0.0004278019,0.0008347112,0.0015788875,0.0028025999,0.0040830209,0.0082038476,0.0403427143,0.1206849065
6,ABEYEN_clean,8.34334e-05,0.0003346926,0.0007192535,0.0014730312,0.002460806,0.0035253011,0.0070189551,0.0352635604,0.103500578
7,ABEYIR_clean,5.86024e-05,0.0003242038,0.0007079552,0.0014697869,0.002394193,0.0035558445,0.0067988276,0.0341633289,0.102872793
8,ABIYIV_clean,5.13452e-05,0.0002534486,0.0005090821,0.0010421981,0.0018615362,0.002520284,0.0051006528,0.0257064598,0.0747465763
9,ABUWOJ_clean,0.0002300141,0.000890313,0.001764763,0.003727814,0.006349181,0.0087425169,0.0180977436,0.089959289,0.2651586133
10,ac403674p_si_001_clean,0.0001420758,0.0007728925,0.0013923431,0.0028528827,0.0050124353,0.0073708941,0.0141507527,0.0708352203,0.2108481097
11,ACAJIZ_clean,8.74849e-05,0.0004228435,0.0009040103,0.0018226013,0.0030920432,0.0044589942,0.0088295922,0.0434900017,0.1294803327
12,ACAKUM_clean,5.99133e-05,0.0003438504,0.0006968181,0.001314186,0.0023262004,0.0033121655,0.0064706403,0.0322242575,0.0967300808
13,ACECIV_ion_b,1.58892e-05,6.46526e-05,0.0001271137,0.0002860058,0.0004618829,0.0006810444,0.0013242835,0.0065540254,0.0195256482
14,ACOCOM_clean,0.0010395098,0.0051928561,0.0105006918,0.0214753813,0.0369859004,0.0532918909,0.1060534675,0.5200810797,1.5213472686
15,ACODAZ_clean,0.0011476426,0.005515324,0.0107176545,0.021961707,0.0376374622,0.0535953857,0.1087699657,0.534794359,1.5558856906
16,ACOGAB_clean,0.0001644276,0.0007387978,0.0014933627,0.0030723177,0.0053134879,0.0077438625,0.0152061709,0.0771030121,0.2259437425
