,name,0.01 bar,0.05 bar,0.1 bar,0.2 bar,0.35 bar,0.5 bar,1.0 bar,5.0 bar,15.0 bar
17,ACOGEF_clean,0.0001410797,0.0006542825,0.0014455553,0.0028297716,0.004770128,0.006857698,0.0134352813,0.0687978004,0.2016171392
18,ACOLEL_clean,8.407e-06,4.9241e-05,9.60801e-05,0.0001909592,0.0003422853,0.0005392495,0.0009379819,0.0049036878,0.0144168182
19,ACOLIP_clean,0.0001284871,0.0007977708,0.001524586,0.0031354693,0.0054041299,0.0078664801,0.0152324357,0.0763194315,0.2238916831
20,ACOLOV_clean,0.000317421,0.0015344675,0.0030529842,0.0060278095,0.0107620086,0.014987377,0.0301087408,0.1500731554,0.4409281218
21,acs.cgd.5b00681_AJUPEC1449470_clean,8.7976e-05,0.0004969015,0.0008813892,0.0019045175,0.0033349422,0.0047018286,0.0094590495,0.0477351275,0.1400186962
22,acs.cgd.5b01178_MAHFOT1419063_clean,0.0001703469,0.0010664185,0.0023311862,0.0045386958,0.0078429597,0.0108298649,0.0218954153,0.1095307475,0.3215940168
23,acs.cgd.5b01554_VAGNUP1452791_clean,8.67399e-05,0.0004946022,0.0009255336,0.0019442666,0.0034299188,0.0048925019,0.0097693168,0.0487284699,0.1437659189
24,acs.cgd.5b01632_ZAHKOL1438120_clean,0.0002835006,0.0015583731,0.0029459415,0.005780948,0.0105071327,0.0150360996,0.0301215037,0.1448318533,0.4389910701
25,acs.cgd.5b01684_CUTGIJ1438510_clean,0.0003800186,0.0019823357,0.0040696018,0.0080144214,0.0135076748,0.0198290284,0.0407527372,0.1974423325,0.5862041612
26,acs.cgd.6b00119_OLISUZ1440339_clean,0.0003040239,0.001594466,0.0030030658,0.0061110133,0.010581094,0.0151162279,0.0298222227,0.1502807427,0.4357379488
27,acs.cgd.6b00151_AKECEA1449783_clean,0.0001322686,0.0007427389,0.0015923102,0.0029217789,0.005243262,0.007483349,0.015212582,0.0736413775,0.2163761283
28,acs.cgd.6b00151_AKECOK1449785_clean,5.29074e-05,0.0002136646,0.0004395387,0.0008587283,0.0016421652,0.0021346113,0.0045805625,0.0227827535,0.0672310996
29,acs.cgd.6b00151_AKEDAX1449787_clean,0.0001371302,0.000666453,0.0012835391,0.0025423948,0.0045828929,0.0065548259,0.0131041666,0.0642098678,0.1931040742
30,acs.cgd.6b00151_AKEDEB1449788_clean,0.0001338338,0.000557969,0.0011730142,0.0023745665,0.0040307602,0.0056564476,0.0115490726,0.057992365,0.1743431699
31,acs.cgd.6b00163_UKEBAP1448505_clean,0.000278183,0.0013763832,0.00284411,0.0055470526,0.0097405579,0.0138800874,0.0278162267,0.1372853995,0.4114908239
32,acs.cgd.6b00163_UKEBOD1448508_clean,6.98757e-05,0.0002872666,0.0005978251,0.0011612669,0.0020696505,0.0029503056,0.0059527406,0.0299389469,0.0873357001
33,acs.chemmater.5b03723_cm5b03723_si_004_clean,0.0004255735,0.0021012693,0.0036528394,0.0076869218,0.0136538173,0.0195276186,0.039197095,0.1941546222,0.5768294504
34,acs.chemmater.5b03723_cm5b03723_si_005_clean,0.0004946843,0.002504997,0.0049573679,0.0098200091,0.0165929736,0.024192166,0.0482896053,0.2408480902,0.715523964
35,acs.chemrev.6b00346_cr6b00346_si_001_clean,0.0003212067,0.0015378443,0.0032389835,0.0062303329,0.0109622994,0.0155435321,0.0316720551,0.1558283055,0.4609979773
36,acs.inorgchem.5b02242_ic5b02242_si_002_clean,0.0001464075,0.0008075528,0.0016043178,0.0031038386,0.005324609,0.0079460735,0.0155931674,0.0792573052,0.2322777822
37,acs.inorgchem.5b02378_ic5b02378_si_002_clean,5.56564e-05,0.0002702637,0.0005631673,0.0010791681,0.0019069391,0.0028106481,0.0054467803,0.0271754151,0.080757904
38,acs.inorgchem.5b02434_ic5b02434_si_007_clean,0.0001904271,0.0009579501,0.0017225659,0.0036646317,0.0063611378,0.0091855644,0.0183086221,0.0902653591,0.2709981335
39,acs.inorgchem.5b02464_ic5b02464_si_002_clean,0.0002168669,0.0010132917,0.0022228854,0.0043728587,0.0077380342,0.0112976421,0.0221372465,0.1104301051,0.3242645766
40,acs.inorgchem.5b02666_ic5b02666_si_002_clean,6.47929e-05,0.0003869578,0.0007991128,0.0015730284,0.0025503218,0.0038731775,0.0078687417,0.0381918339,0.1112242673
41,acs.inorgchem.5b02786_ic5b02786_si_002_clean,0.0001218161,0.0006142483,0.001250645,0.00259136,0.0044400111,0.0064355797,0.0127264568,0.0631420664,0.1847137631
42,acs.inorgchem.5b02973_ic5b02973_si_002_clean,0.0001671779,0.0009869923,0.001750545,0.0035509219,0.006388123,0.0089504451,0.0177144227,0.0887939456,0.2630479246
43,acs.inorgchem.6b00001_ic6b00001_si_004_clean,3.80688e-05,0.0001595962,0.0002957655,0.0006969524,0.0011420649,0.0016296387,0.0032051026,0.0160430832,0.0478905872
44,acs.inorgchem.6b00044_ic6b00044_si_002_clean,0.0002033894,0.0010145681,0.0020683867,0.0041010911,0.0071733412,0.0100505278,0.0202663838,0.103037535,0.2985518198
45,acs.inorgchem.6b00136_ic6b00136_si_002_clean,0.0001929651,0.0008988372,0.0017296868,0.0036743347,0.0061028949,0.0089563782,0.0178097751,0.08918985,0.2581872489
46,acs.inorgchem.6b00158_ic6b00158_si_002_clean,0.0001694567,0.0008195364,0.0015994337,0.0032256238,0.0056297293,0.0080893293,0.0160270395,0.0788717042,0.2372384359
47,acs.inorgchem.6b00276_ic6b00276_si_002_clean,0.0001562257,0.0009148354,0.0017705583,0.0036860829,0.0062110286,0.0089358306,0.0178449199,0.0892302294,0.2631868833
48,acs.inorgchem.6b00276_ic6b00276_si_003_clean,0.0001354654,0.0007402216,0.0013691681,0.0027915547,0.0048767541,0.0072264335,0.0140529217,0.0693034491,0.2066605177
49,acs.inorgchem.6b00292_ic6b00292_si_002_clean,4.78403e-05,0.0002930218,0.000484383,0.0010484999,0.0017920179,0.002617263,0.0052823663,0.0259314353,0.0765424849
50,acs.inorgchem.6b00413_ic6b00413_si_003_clean,3.19526e-05,0.000243195,0.0004437866,0.0007881649,0.0014591702,0.0021195247,0.0041964458,0.0213266074,0.0631490536
51,acs.inorgchem.6b00505_ic6b00505_si_002_clean,5.02657e-05,0.0003278695,0.0005654892,0.0011424024,0.0021557134,0.0029839552,0.0059736224,0.0292055184,0.0882003228
52,acs.inorgchem.6b00661_ic6b00661_si_002_clean,0.0004958717,0.0027107652,0.0056619531,0.0115012179,0.0195764132,0.02819857,0.0559553635,0.279921071,0.8225970366
53,acs.inorgchem.6b00876_ic6b00876_si_002_clean,6.99083e-05,0.0003389492,0.0006969643,0.0014341789,0.002458441,0.0034498675,0.0067567408,0.0347772489,0.1024844733
54,acs.inorgchem.6b00971_ic6b00971_si_002_clean,7.73985e-05,0.0004256917,0.0008679068,0.0017232036,0.002950709,0.00437345,0.0086381942,0.0429739942,0.1284623746
55,acs.inorgchem.6b01060_ic6b01060_si_003_clean,0.0001145996,0.0005250743,0.0011459955,0.0021378026,0.0036651021,0.0053007502,0.0106848456,0.0524845117,0.1561866891
56,acs.inorgchem.6b01231_ic6b01231_si_003_clean,0.0002673891,0.0012496349,0.0025232803,0.0049035892,0.0088052877,0.0124341401,0.0254085154,0.1238262677,0.3643935369
57,acs.inorgchem.6b01416_ic6b01416_si_001_clean,0.0003682248,0.0017880995,0.0035290663,0.0076826418,0.0127553064,0.0182227079,0.0371936485,0.1834289647,0.5487609705
58,acs.inorgchem.6b01416_ic6b01416_si_004_clean,0.0001137451,0.000673443,0.0014299379,0.0028833471,0.0049596459,0.0069294215,0.0139599498,0.0696715599,0.2040568392
59,acs.inorgchem.6b01713_ic6b01713_si_002_clean,0.0001912203,0.0008978392,0.0016925987,0.0034763259,0.005965178,0.0084480545,0.0173457756,0.0840742018,0.2510080575
60,acs.inorgchem.6b01762_ic6b01762_si_002_clean,9.99331e-05,0.0004812163,0.0010554473,0.0019986619,0.0035330193,0.0049712872,0.0098979889,0.0492793164,0.1479870802
61,acs.inorgchem.6b01836_ic6b01836_si_002_clean,0.0003555495,0.0016900451,0.003363498,0.0069735102,0.0119440918,0.0170782261,0.0337700884,0.1688859969,0.4929954097
62,acs.inorgchem.6b01845_ic6b01845_si_007_clean,0.0001238893,0.0006065027,0.0012962147,0.0025720894,0.0043971449,0.0060983111,0.0127254629,0.0629061681,0.1847281602
63,acs.inorgchem.6b02007_delta-Ru_phen_2_4_PF6_2_clean,0.0001390096,0.0007395851,0.0014859182,0.0028476725,0.0048923284,0.0072581909,0.0142707532,0.0714833284,0.2101109961
64,acs.inorgchem.6b02160_ic6b02160_si_002_clean,0.0001220887,0.0005957419,0.0012144952,0.0023593167,0.004185534,0.0059944927,0.0117531176,0.059875253,0.1757317039
65,acs.inorgchem.6b02332_ic6b02332_si_002_clean,0.0001214923,0.0005706457,0.0012940773,0.0025605427,0.0044988974,0.0063636204,0.0126352013,0.0627526239,0.1859255875
66,acs.inorgchem.6b02383_ic6b02383_si_001_clean,0.0001167268,0.0004685512,0.0008894252,0.0019136615,0.0032075203,0.0047003079,0.0096373574,0.0473384627,0.1412278935
67,acs.inorgchem.6b02407_ic6b02407_si_003_clean,0.0002472349,0.0011032274,0.0021248206,0.0043615967,0.0075861461,0.0108515126,0.0222581376,0.1082550633,0.322800139
68,acs.inorgchem.6b02413_ic6b02413_si_002_clean,0.0003648682,0.0019083041,0.0038351295,0.0076097563,0.0133038,0.0186928607,0.0373042281,0.1847968138,0.5382738839
69,acs.inorgchem.6b02514_ic6b02514_si_002_clean,0.0001222373,0.0005684627,0.0012306801,0.0023782864,0.0042676237,0.0059504631,0.0119661984,0.0600505446,0.1769105658
70,acs.inorgchem.6b02696_ic6b02696_si_002_clean,0.0002937094,0.0015574325,0.0031148651,0.0060687053,0.0109445384,0.0155099155,0.0306462532,0.15269924,0.4465618984
71,acs.jpcc.6b04690_jp6b04690_si_004_clean,0.0001045113,0.0004877195,0.0009158788,0.001713761,0.0032600792,0.0046344593,0.0092588046,0.0458984532,0.1359074293
72,acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,0.000207524,0.0007857532,0.0016530971,0.0031944505,0.0058585619,0.0081537418,0.0166178827,0.0824313673,0.2441812421
73,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,0.0004619524,0.0026413615,0.0053261739,0.0101629527,0.0178720692,0.0260431381,0.0519307675,0.2617966562,0.7666054291
74,acscombsci.5b00188_3001288_clean,0.0024884451,0.01144285,0.0244647133,0.048909439,0.0852267462,0.1247220677,0.2410094058,1.2180788859,3.5729174698
75,acscombsci.5b00188_34903_clean,0.0001692774,0.0009093501,0.001743351,0.0034381897,0.0059948981,0.0085381882,0.0169525149,0.0842516454,0.2446409739
76,acscombsci.5b00188_5020072_clean,0.0007949001,0.0039710294,0.0078656929,0.0153530272,0.0269745363,0.0388112586,0.0775565649,0.3899453692,1.138699627
77,acscombsci.5b00188_5024922_clean,0.0010749032,0.0062573089,0.0122676188,0.0247822366,0.0426850927,0.061827518,0.1234812219,0.611189967,1.7676165841
78,acscombsci.5b00188_5036495_clean,0.0012512244,0.0051352334,0.0104963822,0.0198371197,0.0359640117,0.0501793108,0.0996634969,0.5078146252,1.5050230723
79,ACUJOZ_manual,0.0004161571,0.0022075716,0.0044658577,0.0089645307,0.0154231693,0.0218818079,0.0446153208,0.2185943385,0.6359357534
80,ADASOP_clean,0.0005620276,0.0025934086,0.0053888533,0.0103001667,0.0184109969,0.026117755,0.051622055,0.2595649349,0.7619037699
81,ADATIK_clean,0.0010531237,0.0046441027,0.0094694807,0.0188267433,0.0328367408,0.0474941503,0.0959594187,0.4797539327,1.4033563241
82,ADATUW_clean,0.0004513691,0.0021105865,0.0041427161,0.0085333946,0.0146685276,0.0210235335,0.0426301661,0.212466028,0.6088862789
83,ADAVAE_clean,0.0004019703,0.0021367388,0.0041601509,0.0082796206,0.0145154883,0.0207126118,0.0419085567,0.2064180694,0.5962101682
84,ADAVEI_clean,0.0004000331,0.0020747482,0.004235702,0.0082524997,0.0146394695,0.0209421708,0.0419473008,0.2084317955,0.5962372891
85,ADAVIM_clean,0.0004248725,0.0021846416,0.0042944202,0.0085392557,0.0150960974,0.0214312665,0.0430326765,0.2145868392,0.6149469707
86,ADAXEK_clean,0.0001291929,0.0007466909,0.0015021407,0.0026320308,0.0049180876,0.0071844369,0.0140075718,0.0701188783,0.2071005368
87,ADOBIF_clean,0.0001349594,0.0005919811,0.0010965453,0.002203826,0.0036607743,0.00529409,0.0106740633,0.0531310701,0.1574945765
88,ADOCEC_clean,0.0001124458,0.0005606454,0.0010531899,0.0021903182,0.0038770057,0.0053752276,0.0111701475,0.0545235599,0.1631953322
89,ADODOO_clean,0.0001055749,0.000554882,0.0011539581,0.0023987597,0.0042573687,0.0060938807,0.0119201414,0.059355184,0.1755808592
90,ADUROI_clean,0.0008111043,0.0040466329,0.0083999299,0.0167287493,0.0295530867,0.0421596482,0.0831970835,0.4199342736,1.193525596
91,ADUWIH_clean,0.00033413,0.0019980973,0.0038732347,0.0076074714,0.0135095434,0.0192338582,0.038171009,0.1906331829,0.5510124154
92,ADUWON_clean,0.0006774941,0.0031930593,0.0065275086,0.0121713293,0.0212497506,0.0310822523,0.0609332326,0.2987572361,0.8937679258
93,AFITEP_clean,0.0001466575,0.0008979554,0.0016904203,0.0034580288,0.0059177577,0.0083697677,0.0169736728,0.0840244403,0.248705345
94,AFITUF_clean,0.0001399879,0.0006354715,0.0013096239,0.0025934606,0.0046306534,0.0067507338,0.0132970115,0.0662474466,0.1968874997
95,AFOVEX_clean,0.0002331315,0.0011573314,0.0022480538,0.0046730378,0.0083136361,0.0117752226,0.0236815817,0.11574563,0.3481527638
96,AFUKIX_clean,0.0003485391,0.0015939856,0.0033227397,0.0060994347,0.01116487,0.0157539685,0.0318100042,0.1572538826,0.4640844926
97,AFUPEX_clean,0.000193901,0.0009473448,0.0019168496,0.0037949191,0.0066055599,0.0093977339,0.0189653621,0.0924889186,0.2782257397
98,AGAXOV_clean,0.000327626,0.0017027637,0.003470161,0.0068400284,0.0117856208,0.0170788979,0.0343650694,0.1686092634,0.4988540368
99,AGAYOW_clean,0.0001027538,0.0004658174,0.0009145092,0.0018324435,0.0032835562,0.0045086103,0.0094647707,0.0461593099,0.133920226
100,AGESIP_clean,4.17842e-05,0.0002126353,0.0004382701,0.0008291848,0.0015376597,0.0021644231,0.0044161289,0.0217482275,0.0645046375
101,AGOFEJ_clean,0.0005316933,0.0025509656,0.0047649016,0.0100731182,0.017548784,0.0249779629,0.0503975509,0.2496721283,0.748153473
102,AGONEQ_clean,0.0002873325,0.0012642632,0.0024308334,0.0049785153,0.0086084832,0.0127460719,0.0254040285,0.1246601844,0.3725266505
103,AGOVOJ_clean,0.0004492124,0.0029115621,0.0053850034,0.0107145485,0.0191109391,0.0274019588,0.0542715177,0.2676751554,0.7931483384
104,AHAMAY_clean,4.03826e-05,0.0002196421,0.0004550432,0.0008204567,0.0014852926,0.0019964775,0.0042618443,0.0204887645,0.0605276438
105,AHEQAH_clean,0.0003810975,0.0018892211,0.0038156225,0.007810175,0.0134453057,0.0195568083,0.0382003769,0.1929794087,0.5692179161
106,AHOKIR01_clean,8.93357e-05,0.0004341155,0.0009073154,0.0016973777,0.0029215556,0.0042936956,0.0086809146,0.0423255654,0.1245688206
107,AHOKIR_clean,9.22132e-05,0.0004782221,0.0008159799,0.001724173,0.0029443899,0.0041764016,0.0081812437,0.0410230933,0.1217686446
108,AHOKOX_clean,8.79689e-05,0.000443984,0.0010194038,0.001974642,0.0035270335,0.0051135776,0.0101226275,0.0499062821,0.14794705
109,AHUTIH01_clean,3.96542e-05,0.0002190424,0.0004107046,0.0008506777,0.0015096933,0.0021356637,0.0043260881,0.0216474352,0.0648856566
110,AHUTIH_clean,4.3697e-05,0.0002479328,0.0004502687,0.0009822318,0.0016832831,0.0023368377,0.004723072,0.0238252954,0.0700015885
111,AJAKON_clean,0.0001229148,0.0005387007,0.0011517573,0.0022033618,0.0039029246,0.005396112,0.0107876716,0.0541265238,0.1587528256
112,AJAMEF_clean,5.93608e-05,0.0002705749,0.000604652,0.0011319969,0.0020541602,0.002985987,0.0059388423,0.0294595293,0.0863989739
113,AJOXAA_clean,0.0001460341,0.0006897502,0.0013390803,0.0027316195,0.0049990593,0.0070200665,0.013684175,0.0682396363,0.2030186552
114,AJUNOK_clean,6.33964e-05,0.0003348985,0.0008089934,0.0014140157,0.0024738385,0.0036838831,0.0074394317,0.0364364017,0.1077739092
115,AKEDIF_clean,0.0002189231,0.0011238051,0.0022257179,0.0046922512,0.0081050186,0.0111018322,0.0234077414,0.1154648933,0.3384039876
116,AKOXIJ_clean,0.00017404,0.0009411054,0.0018746905,0.0037816106,0.0064212178,0.0092692433,0.0182559402,0.0918039696,0.2710920634
117,AKUHOD01_clean,1.56648e-05,0.0001029401,0.0002282585,0.0004498036,0.0007989048,0.0011312224,0.0022467799,0.0116456602,0.0338963903
118,AKUHOD_clean,2.46161e-05,0.0001264373,0.0001980478,0.0004240685,0.0007754076,0.0011345791,0.0023004878,0.0111958567,0.0337721908
119,AKUKUO_clean,0.0001197479,0.0005562481,0.0010893193,0.0022288554,0.0041815181,0.0059159307,0.0115112461,0.0582187068,0.1704282482
120,ALAHUS_clean,0.0001682016,0.0007327943,0.0015020519,0.0029676406,0.005168376,0.0072773652,0.0148040921,0.0746497464,0.2201547055
121,ALALUU01_clean,3.42526e-05,0.0001511838,0.0002976432,0.0005468602,0.000983876,0.0013582922,0.0028004442,0.013516779,0.0413617689
122,ALEJAE_clean,0.0013559135,0.006747912,0.0138413974,0.0266882823,0.0480188596,0.0675872769,0.1364645182,0.6811829905,1.9563088625
123,ALEJIM_clean,0.000595076,0.0027814787,0.0057568585,0.0112496102,0.0202559847,0.0286940281,0.0558769644,0.2837241964,0.8278108428
124,ALIPEQ_clean,8.34141e-05,0.0003533383,0.0008097727,0.0016560977,0.0028238949,0.004015123,0.0080846058,0.0405345604,0.1183702138
125,ALIXOJ_clean,0.0002080516,0.00130306,0.0025491796,0.0049976185,0.0087688276,0.0129539499,0.0249574324,0.1262019128,0.370255204
126,ALONEV_clean,9.68276e-05,0.0005320077,0.0009737155,0.0019343755,0.0035380142,0.0050328578,0.0099166664,0.0490948422,0.1478306776
127,ALUJIB_clean,0.0001355741,0.0006689509,0.0013789308,0.002575907,0.0044935663,0.0065129061,0.0132594991,0.0651147901,0.1916107323
128,ALUKAU_clean,0.0001206481,0.0004859911,0.0009362975,0.0018420082,0.003328869,0.0044673796,0.0091760554,0.0461266711,0.1372279085
129,ALUKOI_clean,0.0005229973,0.0027648183,0.0057162194,0.0112204129,0.0197692989,0.0282107584,0.0557317257,0.2795943698,0.8304151523
130,ALUREF_clean,0.0001458883,0.0008347346,0.0015857421,0.0029685092,0.0055539031,0.007767599,0.0155098262,0.0762513596,0.2239042451
131,ALURIJ_clean,0.0001370682,0.000737376,0.0014303317,0.0029901168,0.0050867521,0.0073242631,0.0148046316,0.0742960253,0.2164928305
132,AMAFOK_clean,9.71589e-05,0.0004394573,0.0009955053,0.0019880211,0.0034483945,0.0048624306,0.0098205254,0.0483612297,0.1449132873
133,AMAGAX_clean,0.000100055,0.0005330662,0.0010964011,0.0021692599,0.003691105,0.0052810548,0.0108505035,0.053156957,0.1555090288
134,AMALND_clean,6.01749e-05,0.000261938,0.0006052891,0.001130345,0.0021143824,0.0028671591,0.0057413976,0.0287990204,0.0851711442
135,AMIWID_clean,5.82874e-05,0.0003129112,0.000609461,0.0013140225,0.002262982,0.0032610256,0.0066099935,0.0320181786,0.0959031932
136,AMIWUP_clean,7.21471e-05,0.000345705,0.0006062362,0.0013156829,0.002150385,0.0033087471,0.0065092735,0.0321315217,0.0944105194
137,AMIXAW_clean,6.94269e-05,0.0003094457,0.0006476541,0.0012596029,0.0022385226,0.0030746212,0.0062394974,0.0312788156,0.0934337706
138,AMIXEA_clean,5.71285e-05,0.0003161767,0.0006382632,0.0012341725,0.0021501984,0.0030553896,0.0063186086,0.0304022096,0.0928072115
139,AMIZIG_clean,7.7983e-05,0.0003221036,0.0006679411,0.0014025634,0.0023157553,0.0033928246,0.0068839755,0.0339192042,0.0999549628
140,AMIZON01_clean,6.13759e-05,0.000343413,0.0006371406,0.0012085214,0.0023147495,0.0032748445,0.0063436412,0.0321536826,0.0945350126
141,AMOYOR_clean,8.30362e-05,0.0004736138,0.0008272865,0.0017160813,0.0030954047,0.0046408005,0.008929466,0.0450686616,0.1339758191
142,AMOZAE_clean,4.16127e-05,0.000183474,0.0003896458,0.0007755085,0.0013760548,0.001921748,0.003817961,0.0194699933,0.0578179453
143,AMUFAR_clean,7.54758e-05,0.0003494857,0.0007285054,0.0014602924,0.0026350894,0.0038164495,0.0074638989,0.0365204359,0.1079664714
144,AMUFOF_clean,0.0001276543,0.0004871019,0.0010128361,0.0019467281,0.0034819391,0.004923089,0.0103332799,0.0492795998,0.1481142638
145,AMUPOP_clean,5.85031e-05,0.0003709343,0.0006397995,0.001343081,0.0022368086,0.0032400739,0.0064901057,0.0327169043,0.0958890093
146,AMUWUB_clean,0.000208283,0.0012005527,0.0023777028,0.0048747587,0.0084132298,0.0123542253,0.024041477,0.1200622887,0.3551763724
147,ANENIR_clean,6.81927e-05,0.0004003573,0.0008513092,0.0017224162,0.0030796714,0.0041773543,0.0084624972,0.042611654,0.1259519628
148,ANIDIL_clean,5.17019e-05,0.0002524975,0.0005272388,0.001085138,0.0018696838,0.0026019265,0.0052272992,0.0259020341,0.0766089407
149,ANOMOG_clean,0.0003779617,0.0018924517,0.0039699196,0.007876405,0.0137572779,0.0195773597,0.0396754079,0.1980440102,0.5844556821
150,ANONAT_manual,0.0004355402,0.0017828113,0.0039140547,0.0072444856,0.0128484363,0.0184523871,0.0363472826,0.1844861237,0.5407522113
151,ANUGIA_clean,0.0005470694,0.0031207041,0.005790678,0.0118600517,0.0207507897,0.0295967987,0.0590181223,0.2971240582,0.8697646534
152,APAGIJ_clean,5.47826e-05,0.0002840045,0.0004685353,0.0011071849,0.0018698162,0.0024709831,0.0052548035,0.0263417751,0.0783491928
153,APARAM_clean,0.0001743159,0.0009986506,0.0019630897,0.0037974789,0.0067315242,0.0096020338,0.0191307573,0.0966442913,0.2871356748
154,APAYUN_clean,0.0002090799,0.0011875738,0.0022706077,0.0047879296,0.0080746656,0.011585117,0.0234754907,0.1155187332,0.3418100861
155,APAZEY_clean,0.0002664061,0.0014109008,0.0027324153,0.0055191634,0.0095643298,0.0136059909,0.0271821864,0.1339602086,0.3971992394
156,APAZIC_clean,0.0003101543,0.0014564558,0.0031251225,0.0057387624,0.0103602435,0.0147586313,0.0299942835,0.1481830423,0.4364560935
157,APAZOI_clean,0.0001949492,0.0011154057,0.0022221743,0.0043777204,0.0076030196,0.010936898,0.0215924768,0.1060536092,0.3180164664
158,APEBEE_clean,0.0001180914,0.0006064152,0.0012287886,0.0024336398,0.0042704395,0.0061982014,0.0120979827,0.0594462412,0.1761109458
159,AQEGUY_clean,0.0001009626,0.0006594119,0.0012478345,0.0024325674,0.0043098406,0.0063070069,0.0125793079,0.0618490524,0.181442397
160,AQEQIW_clean,0.0001782731,0.0010454286,0.0023505636,0.0044612288,0.0076437334,0.0110507301,0.0223017423,0.1109386776,0.3296225237
161,AQETIA_clean,3.81866e-05,0.0001796184,0.0003776229,0.0006831156,0.001267229,0.0017226394,0.0036022681,0.0173296393,0.0519563886
162,AQETUM_clean,0.000103088,0.0004343214,0.0009041322,0.0017271459,0.0029642015,0.0043753237,0.0087506473,0.0426970074,0.1271615407
163,AQIQAU_clean,0.0002887858,0.0014716772,0.0030677071,0.0059648147,0.0105360579,0.0149120367,0.0302629046,0.1482591482,0.4354468876
164,AQIXUV_clean,0.0001459779,0.0008077442,0.0016099273,0.0033588811,0.0056403065,0.0078049497,0.0158059268,0.0794731285,0.2377103503
165,AQMAND01_clean,2.33977e-05,0.0001134787,0.0002655635,0.0004948607,0.0009125091,0.0013933312,0.0027679443,0.0137437909,0.0400895665
166,AQOLID_clean,0.0002614668,0.0013860554,0.0027172872,0.0054697178,0.0094971507,0.0135765958,0.0271855236,0.1342069973,0.3977149742
167,AQOMAW_clean,0.0002781621,0.0013731708,0.0026717127,0.0054031286,0.0091535674,0.0133422811,0.0261689447,0.1326358158,0.3865312972
168,AQOSEG_clean,0.0002493136,0.000970812,0.0019699551,0.003875693,0.0069600042,0.0097534496,0.0195900036,0.0978725798,0.2916723381
169,AQOTIK_clean,0.0001454139,0.0007086841,0.0015092965,0.0029567502,0.0049139885,0.0070784834,0.0142539094,0.0716289035,0.2115371755
170,AQUCOF_clean,0.000236887,0.0011342706,0.0024887066,0.0047419198,0.0083453886,0.0116743473,0.0235075482,0.1162947813,0.3455818608
171,AQUDAS_clean,0.0002313132,0.0011314836,0.002301984,0.0046694602,0.0083844053,0.0118067253,0.0237040251,0.1167978177,0.3455247292
