,name,0.01 bar,0.05 bar,0.1 bar,0.2 bar,0.35 bar,0.5 bar,1.0 bar,5.0 bar,15.0 bar,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,FSR_overlap,from_CSD,public,CSD_overlap_inCoRE,CSD_of_WoS_inCoRE,DISORDER,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE
9257,PUDSUD_clean,0.0002666807,0.0013229454,0.0026406617,0.0052447202,0.0091691096,0.0128242037,0.026370014,0.1327050167,0.3882792387,PUDSUD_clean,7.08521,6.02588,7.08155,0.996555,2169.83,2177.33,0.0,0.0,0.6624,0.66469,0.0,Nd,Yes,Nd,clean,Y,Y,Y,N,,,,,,,,
9258,PUFNUB_clean,5.01865e-05,0.0002837466,0.0005906562,0.0011909637,0.0021715302,0.0029494205,0.0060011443,0.0294826239,0.086558158,PUFNUB_clean,4.95108,3.29964,4.95034,1.53377,0.0,0.0,393.158,256.335,0.3948,0.257405,0.0,Sm,No, ,clean,Y,Y,Y,N,,,,,,,,
9259,PUFXUL_clean,9.03354e-05,0.0004316026,0.0009707474,0.0018038408,0.0031316283,0.0045210732,0.0088930213,0.0437252162,0.1313649229,PUFXUL_clean,4.50657,3.0834,4.38751,1.24643,0.0,0.0,500.349,401.426,0.512,0.410774,0.0,Cd,Yes,Cd,clean,Y,Y,Y,N,,,,,,,,
9260,PUGFOO_clean,0.0001300116,0.0006283894,0.0013463423,0.0027735806,0.0048003169,0.0067996063,0.0138476792,0.068253197,0.1986692703,PUGFOO_clean,5.53782,2.93974,5.53782,1.24874,0.0,0.0,867.644,694.817,0.4948,0.39624,0.0,"Mn,Co",Yes,"Mn,Co",clean,N,Y,Y,N,,,,,,,,
9261,PUGHIK_clean,0.0001435429,0.0007162648,0.0014151305,0.0026533696,0.0047456168,0.0069161601,0.0136249804,0.0695110339,0.2045225988,PUGHIK_clean,5.58453,2.94571,4.54434,1.24413,0.0,0.0,889.639,715.072,0.4992,0.401246,0.0,Mn,Yes,Mn,clean,N,Y,Y,N,,,,,,,,
9262,PUGPEO_clean,0.0002436525,0.0012711304,0.002535365,0.0048730496,0.0086657534,0.0125733875,0.0251674625,0.1250649799,0.3730595327,PUGPEO_clean,9.53093,8.66388,9.24995,1.0567,1899.67,1797.75,0.0,0.0,0.6656,0.629888,0.0,Eu,Yes,Eu,clean,Y,Y,Y,N,,,,,,,,
9263,PUGSER_clean,0.0003610232,0.0018362586,0.003669057,0.0075088215,0.0130752688,0.019114622,0.0371173386,0.1858577488,0.5344135496,PUGSER_clean,9.40538,8.82837,9.39896,0.800645,2377.49,2969.47,0.0,0.0,0.7256,0.906269,0.0,Zn,Yes,Zn,clean,Y,Y,Y,N,,,,,,,,
9264,PUGSOB_clean,0.0003414682,0.0016219739,0.0031959289,0.0067642716,0.0113047316,0.0164737065,0.0330904027,0.1623041037,0.4716401459,PUGSOB_clean,9.50607,8.86576,9.50607,0.864037,2169.58,2510.98,0.0,0.0,0.6944,0.803669,0.0,Zn,Yes,Zn,clean,Y,Y,Y,N,,,,,,,,
9265,PUGSUH_clean,0.0003745476,0.0018355024,0.003658958,0.0074121005,0.0127554277,0.018411973,0.0363311202,0.1814770887,0.5201809499,PUGSUH_clean,9.30915,8.71365,9.30507,0.821567,2358.23,2870.4,0.0,0.0,0.708,0.861767,0.0,Zn,Yes,Zn,clean,Y,Y,Y,N,,,,,,,,
9266,PULHOT_clean,0.0001181054,0.0005331614,0.0011996132,0.0023519842,0.0039818384,0.0057179875,0.0114849044,0.0567681934,0.1654926297,PULHOT_clean,5.02589,2.8012,5.01307,1.81033,0.0,0.0,869.819,480.476,0.5112,0.28238,0.0,"Ga,Mn",No, ,clean,Y,Y,Y,N,,,,,,,,
